Hybridization REF	TCGA-BH-A0HX-01A-21R-A056-07
C9orf90	0.537125
MGC87631	-1.143
KDR	3.2961
ST3GAL2	-1.13975
RLN2	1.51066666666667
HPD	-4.1405
MOXD1	-1.31033333333333
PDGFRL	1.72166666666667
SMYD4	-0.939428571428571
FAM103A1	-0.855
MFAP4	-1.28266666666667
LOC285141	0.52025
TMEM45B	0.229
SMCR7L	-0.590928571428571
GZMH	3.17475
CBLN1	-1.03
CNNM1	-0.3255
PHF17	-0.980083333333333
NUP98	-0.827916666666667
RMI1	-0.59375
PTPRS	-0.07725
ANKRD57	1.12275
CLDN15	-0.867166666666667
OR51A2	0.4625
GUCA2B	1.675
DOCK9	1.272
ITGB1BP1	-0.774333333333333
DLG2	-0.185375
BRAP	-0.13275
SESN3	-0.60825
ZC3H7B	0.5245
FAM101A	1.7555
FKSG24	-0.36175
ZYG11B	0.004875
RFC2	-0.97525
SH2D3A	0.975833333333333
DVL3	-0.109166666666667
ADFP	-1.00883333333333
KRIT1	-0.691625
SERTAD3	1.86366666666667
LEFTY2	-3.42825
KRT27	1.112
SCFD2	0.978
MN1	-1.11825
RORA	0.68575
PTPRD	-0.22275
PIAS2	-0.998666666666667
CYP4X1	5.679
FBXL15	0.31825
MYH15	1.08183333333333
CRX	0.1965
TBC1D13	-0.541
SLC22A17	1.3725
PLK2	0.179666666666667
ARHGAP9	0.822
EIF1B	-0.74775
C20orf185	-0.8745
DEFA7P	0.684
PRIM1	-1.18316666666667
CRYAA	-2.21725
BACE1	0.09675
AGTRL1	1.2055
ACAD9	0.199
GRASP	0.41175
RBP4	-3.04183333333333
TFB2M	-0.034
METTL9	-0.4762
ATP5O	-1.20175
SP100	-0.1216
CPSF1	-0.762833333333333
S100A4	0.18075
LIME1	-1.463
GPR137C	2.77525
OR2A2	1.162
C2orf29	-0.72525
NUP188	-0.663
SDPR	0.8165
RAI1	0.3565
RPS20	-0.0109
LAMB1	-0.86325
ADM2	2.30116666666667
ZNF229	-0.42225
DKFZp434K1815	-1.359625
EPN3	3.38983333333333
CLIC3	-1.546
MEIG1	1.1125
HMGB4	0.02375
STARD10	2.470375
KLF8	1.9305
EPB41L2	-0.391
JMJD6	0.421375
CTSL1	-0.502833333333333
GPR27	0.5135
ELAVL4	2.341
MMP21	-0.0415
PPM1B	0.21475
SUV39H1	-0.90075
AAMP	0.17225
TUSC4	0.779
MBD6	0.317
KLK13	-1.739375
FMNL3	0.869166666666667
TRIM13	0.00233333333333334
C15orf5	-2.07375
IQCF1	0.231625
CACNG8	-0.1045
SLC35D3	0.497833333333333
ZDHHC9	1.1205
ODF3L1	0.15675
C9orf86	-0.0275
TSEN2	-0.88125
C17orf64	-0.084
SEPX1	0.2069
TSPO	1.07116666666667
SYMPK	-0.94
ADORA1	0.315
TSPAN10	1.018125
SEMA6C	0.412333333333333
RTTN	-1.3464
IL2	0.403666666666667
ARRDC3	0.251916666666667
TBPL1	-1.93366666666667
STX12	0.6975
MRPL39	-1.58875
OR8H3	0.5235
IFIT5	1.20466666666667
CASC5	-2.82842857142857
FAM46A	-1.4805
HPCAL1	-0.821875
CYLC1	-0.4095
VGLL2	-0.0775714285714286
C20orf191	0.352
CDH1	2.35416666666667
ITPA	0.5275
CCDC101	0.19625
D15Wsu75e	0.187
EDA	-0.756
CREG1	-0.5715
OR7G2	0.239
SAP18	0.394583333333333
IFIT1	1.63725
CALML3	-0.5215
FLJ37440	2.286
FNDC5	-0.31525
SERPINB6	0.432142857142857
JUNB	1.0673
SYS1	2.17775
SCN2A	0.588333333333333
ZKSCAN5	-0.8969
WNT7A	-0.0888333333333333
TSHZ3	2.4565
RNF148	0.674
H6PD	0.15175
CAD	-0.992166666666667
ZNF449	0.43575
DOCK10	-0.733
FAIM2	0.688833333333333
HEXDC	0.8305
PRB1	0.54625
C14orf148	-0.5695
ETHE1	0.92275
IRF5	1.2448
GNMT	-0.051
MGC16291	-2.313625
RPAIN	-0.908928571428572
CAGE1	0.5695
CNTNAP3	-3.662625
ACTR1B	-0.82225
EEF1E1	-1.17675
MSX1	-0.436125
ESF1	0.6609
HSPC171	0.38275
MRPL2	-0.607333333333333
RDH12	-0.702666666666667
CELP	0.0415
METRNL	0.2325
C10orf116	4.205
C19orf48	-1.15275
ZNF346	0.08625
NCR1	-2.1135
C10orf64	0.67
CD52	0.83125
VPS18	0.79225
AP4S1	0.259
NPBWR1	1.2355
TPK1	0.777
UBA52	-0.894277777777778
RIPK1	0.354333333333333
CPNE3	1.4228
HSPC159	0.21225
C8orf38	1.89375
LRRC4B	-1.347
PARP10	1.103
ANKRD50	2.30975
CXCL9	5.90825
FGF18	2.15481818181818
EIF2A	-0.105125
SLC20A2	1.62466666666667
KIAA1549	0.103083333333333
SPINT1	1.3775
ZNF584	-0.0985
CRBN	0.215333333333333
ABCF3	0.399333333333333
NCBP1	-0.652166666666667
PLA2G4F	0.874833333333333
PCDH10	-0.14725
TTC21A	1.15875
C20orf144	0.6635
FGFR1OP2	-0.429
SLC9A1	0.9579
CHRND	-0.0755
FOXF1	-2.04975
KIAA1467	2.3055
TPO	1.39683333333333
LTF	1.17707142857143
DNAJB9	0.6505
MRPS27	-0.58475
bA16L21.2.1	-0.09975
WBP2	1.33533333333333
MRGPRX3	-2.13583333333333
PRPF18	0.155
C10orf58	0.8615
SMOC1	-1.4773
ADAT3	0.0806666666666667
TMEM138	-0.6745
TMEM131	-0.695
TIMM8B	0.159
MYH7	-1.5295
ST6GAL2	1.447
KIF1C	-0.00575
SUHW2	-1.3835
PAPSS1	0.86875
CABP2	0.1955
HOXA4	-1.879
ELF2	0.46875
SEMA3D	-0.0713
MC5R	0.7755
OGFR	0.564
FLJ30092	0.681833333333333
TGFA	-0.3577
MMP17	1.22425
KIF15	-3.08475
CHIA	0.24625
CATSPER3	0.46325
CEACAM7	2.6925
PADI2	0.833625
HOXA9	0.499333333333333
LNX2	0.905
TMEM144	2.5815
HIF1AN	0.67025
METTL7A	-1.534
C6orf165	2.96166666666667
KIAA1468	-0.025375
DSG3	-1.487
ZNF180	-0.0201666666666667
EIF4E3	1.1855
SLC46A1	2.49
DKK1	-5.8605
ZNF205	1.09516666666667
LOC162073	0.658
COX7A1	4.80175
MAGEA1	-3.5185
NEDD8	-0.772916666666667
KLHDC5	0.0635555555555555
C3orf19	0.6625
MRPS2	-0.67225
POLR3H	0.811
ABHD11	1.447
TMEM17	1.2725
PAIP2B	0.7854
MAT1A	-3.8715
LGI3	0.084
THUMPD2	-0.09725
TKTL2	0.054
XAGE3	-2.576
CALM3	0.204
C6orf136	-0.905333333333333
KCNC4	-0.252833333333333
RGS9	-0.583
ACIN1	-0.907666666666667
SPATS1	-0.71825
XKR8	-0.32075
FAM84A	3.28566666666667
MS4A7	5.28572727272727
AGXT2L2	0.241
OR1F1	-0.5975
SMAP1L	-0.134583333333333
IPO11	0.744375
ZC3H11A	-0.2311875
C1orf151	0.460125
RNASEH2A	-1.5805
CCR10	-0.8865
TXNDC11	0.34725
TMEM112	1.679
MAP1B	-0.692571428571429
NVL	-0.5565
PKM2	-1.2462
ARC	-1.57325
NUP54	-0.591
PPFIBP2	0.825666666666667
STAT2	0.957
PTAFR	1.67933333333333
ROBO2	0.75125
RNF40	0.595833333333333
CCDC135	-0.00300000000000001
IFT81	-0.3565
MORF4	-0.72625
TM7SF3	-0.218375
OR10H3	0.1795
ABP1	-0.1565
CHRD	0.04075
PLEKHA8	-0.354166666666667
NCALD	1.77525
OR5AK2	0.63975
ACCN1	-0.0135
SLITRK1	-0.253
ARMET	0.99025
C9orf52	0.73575
REEP4	-0.5005
MTSS1	1.401125
ADH1B	2.81716666666667
DLD	-0.64475
CDK5	-0.26275
PPFIA1	1.63725
WFDC3	1.4765
DNAJB12	1.01257142857143
RANGRF	0.383
MLANA	-5.27025
AMY2B	0.441
KIAA0319	-0.0785
RPS7	-0.903
JAK3	-0.0719
ARFGEF1	1.62975
CXCL5	0.0305833333333334
TRAPPC4	-0.48025
CETN2	1.08875
HSPC111	-0.24175
RHOBTB3	-1.9817
PHLPP	-0.192
RGS10	0.0025
TMEM58	0.74075
CHERP	-0.4085
HSP90AB3P	-0.236166666666667
FSTL3	-1.01533333333333
PEX11A	1.35225
OR5V1	0.8255
FCN3	1.9435
PTPN3	0.381375
NPTX1	-2.890625
C21orf84	-0.991
C11orf51	0.074
ZBED2	0.44475
FLJ90757	1.182
NPY2R	-0.22275
PLD3	0.45
SYT17	1.61866666666667
SGSM2	0.01375
OR1A2	-0.223
FOXP1	1.577625
SLC5A1	-0.43075
POFUT1	-0.2188
EPHB6	-3.44416666666667
MYO1G	-1.54675
STAC	-2.5661
KLHL17	-0.280166666666667
RGMA	0.4245
TJP2	-0.1207
FAM114A1	0.0558333333333333
SERINC1	0.71325
SLC9A8	0.484625
PEX19	0.294625
EDN2	3.3815
PSMD7	0.0327777777777778
C3orf41	-2.55825
UQCR	-0.20375
PPP1R3C	0.26675
LRP4	-2.03683333333333
TM2D1	0.07275
TTC17	1.044125
C4BPB	-5.47475
CCL25	0.33875
ZNF253	-1.03866666666667
CHRNA9	-4.4615
SOX11	-1.30075
HIVEP3	1.1415
CGN	2.82041666666667
C3orf35	0.1435
PKD2L1	2.491
SYVN1	0.000250000000000049
PDE8B	1.174625
LOC439951	1.03925
LTC4S	2.5455
MIF4GD	1.34016666666667
SMARCA2	1.36775
TUBGCP6	-0.269166666666667
CABLES1	-0.4085
C16orf77	1.76783333333333
ZNF791	0.111
FUT5	-1.9985
ADH6	-2.728
P4HB	1.3415
CLDND2	-1.587
ALKBH8	0.3335
PLAC4	-1.88725
F11R	0.279
MGC35295	1.31283333333333
PDZD4	-0.360833333333333
LOC389073	-0.49675
FAM80B	0.648666666666667
PSMB1	-1.257875
TXN	-0.434833333333333
VIPR1	1.7662
WBSCR18	0.4151
EXOSC6	-0.558166666666667
ACTA2	3.67666666666667
SP5	-3.22416666666667
ANKRD1	-2.82925
DDR1	1.2813
ATP6V1D	-0.65725
PTGS1	-1.262
RNF157	0.55075
DCC	0.078
SPAG7	0.406
FBXO18	0.1055
UBE3C	-0.6222
HOXC6	1.06175
LRP2BP	0.964333333333333
MYST2	0.718
PDSS2	-0.6545
ATE1	-0.36575
ARAF	0.25
KLF10	0.91575
PLA2G2E	0.22125
ASCL1	3.99516666666667
TSNAXIP1	1.30775
FAM131B	-0.571125
IFNA10	1.3835
NUP43	-2.292125
FAM44B	0.538375
L1TD1	-5.47266666666667
NMD3	-0.907416666666667
C18orf54	-0.9693
PHOSPHO1	-0.9115
RAG2	-1.5725
EMILIN3	-0.188
METTL3	-0.9945
VPS13C	0.6035
REXO2	-1.2735
ANXA4	-0.28025
CA1	-1.29975
DCP1B	-0.01575
TULP3	-0.3825
ATP2A2	0.474214285714286
ATIC	-0.8235
ADAM15	-0.584416666666667
NPL	1.00033333333333
LGR4	-0.532875
UEVLD	0.3145
GAB1	1.5145
SNAI2	-0.448833333333333
ZGPAT	0.5999
SNF1LK	0.718
DLEU1	-1.86325
UBE2Q1	0.80475
ZMYM6	-0.1051875
JPH3	-1.73233333333333
FAM38A	-0.354083333333333
PXK	0.0375
DENND2D	1.982
BAX	-1.15275
CP	-5.09263636363636
RPL37	-0.3694
G6PC3	0.78
NCOA4	0.376833333333333
LRRC14	0.816625
GORASP1	0.71075
FCHO2	1.0775
CYP24A1	-4.1602
FXYD3	2.79475
SMARCAL1	0.094
ABCB8	0.748333333333333
CCDC44	0.91925
PRDM7	-3.59325
USH1C	-1.35975
DNAH5	1.49433333333333
SRF	-0.16075
MAL2	3.49383333333333
PGPEP1	-0.386083333333333
SIN3B	-0.9895
SEMA3C	1.06533333333333
GRAMD3	1.55675
FBXO10	-0.3305
OR5D13	-0.057
FLJ31818	-0.336625
CACNA1I	1.011
S100A13	-0.734
TP63	-0.1515
ANXA11	0.3946
WDR66	2.11
CSF2RB	0.0315
IFI44	-0.06125
DACT1	1.77066666666667
ANKRD23	-2.0415
ATP5G1	0.2895
C21orf70	-0.724
PPWD1	-1.28425
DNAJC13	-0.311
PAH	-2.39316666666667
PTCH2	1.165
TRMU	-0.5785
CCDC9	0.901
USP3	-0.3994
DCLRE1C	-0.0669
FAM55C	0.91325
FRMD4B	1.24175
CYP2R1	-0.61
RFPL1	-0.1053
XPO5	-1.13575
ARL6IP2	-0.8145
OSBPL5	1.08275
MMP9	4.05054545454546
KIAA0802	-0.984125
DHRS2	-4.02716666666667
SGEF	2.118375
TXNDC10	-1.1538
EXOC6	0.4045
RPS27	0.371
PNCK	-0.600333333333333
FSTL1	-0.56675
AACS	0.50575
SLMAP	0.226666666666667
SAMD4A	-1.0638
ABRA	0.17075
SMARCD3	0.692
PKNOX2	-2.792
A4GNT	0.3675
C9orf39	-0.339333333333333
RALYL	3.07
MGC33556	-2.721
C10orf25	-0.947
BBOX1	2.467
NHEDC1	1.96025
XDH	-0.0235
GCSH	-1.0355
EDN1	2.19383333333333
MTERF	-0.7335
CLK4	0.23325
ZNF799	-0.152666666666667
KCNG1	-1.17325
CXCR4	0.261333333333333
PTPRR	-1.635
IRAK1	-0.16725
LOC401397	-0.905
TMSB10	-0.0920714285714286
CXCL3	-3.726
TMC4	2.45175
OR7A10	-0.237
STYK1	2.376
CHRNA10	-1.203
CCNI	0.76975
EP300	1.29557142857143
LOC165186	0.474
HIC2	-3.21575
SDR-O	-0.6545
OR2W1	0.7485
KCNA6	-0.2225
TRIM74	-0.30375
REEP6	-0.87875
ATP5G2	0.29925
ERG	1.007
TMEM42	0.26375
PARN	0.00233333333333333
SOD2	-1.021
DIRAS1	-0.0303333333333333
PNPT1	-0.757
JOSD3	-2.2305
hCG_40738	-0.1735
PDE1C	-2.113
SEMA4D	-0.34975
AGPAT1	-0.269
NOSTRIN	0.603
MAP3K3	-0.110666666666667
MAX	0.0291428571428571
CAPS	3.205
SERPINA12	0.3635
OSBPL8	0.32225
RICS	1.7062
NR4A2	0.294333333333333
PPCS	0.886166666666667
LONP1	-0.95225
SCYL3	1.372
HERC2P2	-2.076
FIBCD1	-1.134
C15orf41	-1.515
DMC1	-0.981
C20orf27	-0.048
RPS6KA5	0.0191
FAHD1	0.461
SLC12A4	0.4165
BRCA1	-1.47275
GBL	0.1235
SLK	0.212666666666667
NUDT9P1	-0.876
NOXO1	-1.2505
USP52	-0.5125
BAZ1B	0.070375
SLCO2B1	2.65525
BBS12	1.33166666666667
LRGUK	-0.230166666666667
TERF2IP	0.85625
COL1A1	4.6125
KIAA0090	0.36475
GRK5	-0.428833333333333
AP1S2	-1.6238
TMEM52	0.141833333333333
CA11	0.479
OR4A15	0.291666666666667
ACBD3	1.1841
SPAG11B	0.0925714285714286
PRDM2	0.6624
FOXP3	0.07625
SMYD3	0.0551
LOC389199	1.3695
LGI2	1.64733333333333
NAPE-PLD	-0.333
ANKRD6	1.013
WDR45	0.791833333333333
SHROOM1	-0.37725
PSCD3	0.7725
PYY	1.406
KCNC1	1.2355
ARHGEF9	0.6143
OR8J1	0.35775
GPR55	0.125166666666667
NS3BP	-1.622
C10orf22	0.337166666666667
NAT8L	0.735
DUSP4	-0.658833333333333
FOXM1	-1.87633333333333
GRAMD2	-0.121
ZBTB48	0.217
BUD31	-0.77
PABPC5	1.666
CCDC41	-0.4625
FBXO11	-0.269166666666667
C6orf148	-0.68625
RFXAP	-1.454
C6orf15	-0.0281666666666667
CDK8	-1.40216666666667
C6orf70	-2.04525
TESSP2	0.595
ALG2	0.57875
PPP1R3D	2.30575
TPM3	0.711055555555555
SYT13	1.15575
EPB42	-0.764833333333333
CETN3	-0.18325
PRY	0.05
NTHL1	0.485
POLR2B	0.608
RPS28	-0.25525
P2RX3	0.23875
LYZL4	-0.045
WBP4	-0.5191
PMM1	-0.0925
C11orf79	0.16725
CBLL1	-0.531
IL1F10	0.679666666666667
VAX2	-0.1175
SETDB1	-0.0155
LRAP	-2.88333333333333
GCLM	-0.114166666666667
CPEB3	1.61025
PPM1A	-0.15175
INTS1	-0.374
CAMTA1	1.41425
SAMSN1	-2.28125
LOC158830	-2.77633333333333
GMPPA	-0.15825
AIPL1	0.3205
IL24	1.78325
BDKRB1	-1.124
MLF1	1.4724
TAF12	0.03175
ID1	-2.63325
THADA	0.049875
PIK3CB	-0.49225
OR4N5	-0.113
TBC1D17	0.00133333333333333
COX8A	-0.63325
CDCA4	-1.40025
C2orf44	-0.26525
ZNF534	-0.91675
IMMP1L	-0.5475
NIPSNAP3B	-0.09025
FTMT	0.2975
PWP2	-0.818833333333333
MMP15	-0.8551
DNAH11	-1.118
MTMR14	0.146625
DNAL4	1.739
IPP	0.97425
TMEM59	0.696375
C1orf157	1.0295
RGS4	0.258
DDX18	-0.423666666666667
SNX6	1.303
ZNHIT2	0.586
NCDN	0.485166666666667
FLJ33534	0.507
RAG1	-2.76414285714286
OR4D10	0.1825
PTPN5	-0.389666666666667
POMT1	0.570125
LRRC8A	0.0686
CYP1A1	-1.83475
CAPN1	-0.0575
DDHD2	0.55325
GRIK2	-0.1475
GNRHR	0.15025
PPBP	1.0335
HTR3A	-1.16925
SLITRK4	1.36525
ANKRD49	-0.805
BTF3	0.0316
SARS	-0.03275
C13orf18	-0.271833333333333
CACNB1	-0.402428571428571
QKI	-0.374863636363636
SETMAR	0.15125
MAN2B1	0.192
EML3	-0.476
ACADL	0.528
OFD1	-0.4965
DEFB114	0.243
CGA	-3.4298
PEX16	0.155
LRRC10	-0.3245
GNG12	-1.077
C1orf152	-0.0346666666666667
CHRM1	0.487
CD53	0.01925
DBH	-1.05475
TFAP2B	-2.610625
HIST1H2BJ	-0.8425
FAM46D	0.5835
TMEM11	0.042
C3orf32	-2.638
PCCB	-0.6775
IPO13	0.445
C6orf105	-4.08725
COMMD5	1.071
SUV420H1	0.2591
LTBR	1.04625
ARHGAP15	-1.4755
HDHD2	-0.713
TDRKH	0.272333333333333
LOC401052	1.417
PSG4	-2.19625
GNB4	-0.7357
SPATA4	3.62
SLC9A3	-1.144
OSBP	0.413
NBPF3	-0.362583333333333
DOCK11	-0.3625
SLC39A5	-2.26983333333333
PRR5	0.9527
C10orf63	1.5125
SMTNL2	-2.554
ADRA1A	0.88475
ASAH1	1.9291
DOM3Z	-0.3342
GIPR	1.09666666666667
AHI1	-1.069
NADSYN1	2.2155
RGS14	-0.6739
IL18BP	0.636
RTN4RL1	1.79341666666667
ARMC6	-0.2935
PSMD5	-0.0523333333333333
HK3	1.8972
OR4S1	0.668
RSU1	1.0987
MAD2L1	-1.95088888888889
EIF4A3	0.85425
DLEC1	-0.52
E4F1	0.210333333333333
CHMP2B	0.8302
CAMSAP1	-0.104
RPS21	-0.351
ARID5A	-0.412
UBE2N	0.0912
IGSF8	1.099
MAGEB6	-1.7055
ACAD11	-1.4487
MGC4172	-1.29575
LMO4	-1.04175
KLKB1	0.82575
HP	-1.311
HDAC3	-0.182
SCHIP1	0.10175
CLCA1	0.2315
OLFML2A	1.6115
C1orf112	-1.434
KIF19	0.834416666666667
HAPLN4	-0.6435
CXCR7	1.88983333333333
GOT2	0.3705
RAB38	-2.17525
DCX	-0.621
PPM1H	-0.101083333333333
NFYC	0.531083333333333
KIN	-0.16775
ZNF228	0.58075
PLSCR4	2.4345
HIG2	0.5215
FAM79B	4.742
C21orf86	-0.8895
KCNK10	-0.414
ZNF738	-2.574125
FSTL5	-1.84433333333333
OR6A2	-0.2195
OTOA	1.33966666666667
EXOC1	0.716875
AHRR	-4.07675
PDAP1	-1.62716666666667
C19orf6	-0.606
ZAN	0.655
LY6G6E	-0.028
EIF4E2	-1.02725
C20orf198	0.52225
ZNF324	0.431
CYP3A5	-4.5505
ENTPD7	1.15466666666667
MBOAT5	-0.242333333333333
GJB5	-2.5385
TTC13	0.3615
S100Z	-1.67433333333333
KIAA0664	-0.0805
PDGFRB	2.32641666666667
IL17D	-1.13675
OR56B4	-0.0365
RDX	-2.70766666666667
SLC34A3	1.067
IL28B	0.6655
JUND	0.85475
CHRNB1	0.08275
CAMK2B	1.97225
FETUB	-2.2485
CXorf23	1.263125
MRTO4	-1.00575
TTC3	0.2126
NDUFB8	-0.328833333333333
EDG2	-1.5755
SEMA3G	1.71575
IL23A	-1.696
GRHL1	0.5185
LOC441054	1.204
WDR65	1.76957142857143
PSTK	-0.23525
STOML3	0.1745
R3HDM2	-0.0117
C5	-1.992
SLC2A10	1.88016666666667
C3orf22	0.86675
PAQR3	-0.566846153846154
ANKRD26	-1.0645
HCRTR1	-0.1575
LOC399947	-1.193
PSD2	-0.3865
TIGD2	-0.445166666666667
SCRN1	-1.829
COQ10A	-0.6075
DDI2	-0.1565
METTL7B	-0.3225
UCN2	0.27025
FAM92A3	-0.6715
WDR16	2.48125
ZNF511	-0.141333333333333
ZMYM5	-1.30725
POLR3G	-2.9105
ZNF586	0.00625
C1orf49	0.1815
TANK	-0.764833333333333
RCAN1	-0.849
PELI3	1.572
LIMD2	-0.772083333333333
TMEM189	0.6375
NTN4	-0.96625
LOC151300	0.5135
CLEC2A	-2.0385
GPR135	-0.46725
DPYSL4	-2.4654
JAK2	-0.585333333333333
TSHZ1	0.441666666666667
TM9SF4	0.326875
ZNF264	1.0625
SIRPG	1.5815
BICD1	0.81775
HERC6	1.38583333333333
METTL5	-0.986
CASP1	-0.0905
PRRT1	-0.600666666666667
PLA2G4C	1.756
ICA1L	0.449071428571429
TPTE2	-0.384166666666667
OTUD7A	1
AQP11	-1.13
APOA2	-4.8266
KALRN	-0.1481
SECTM1	0.91675
IFNAR1	-0.1925
TALDO1	-0.4805
RAB11FIP4	-0.446166666666667
EIF5A	-1.459
FAM49A	1.55775
NEGR1	1.06266666666667
YTHDC2	1.3115
EHD2	-0.139875
NCF1	1.4283
SCRT2	1.042
HOXA5	-1.043
NUP133	-0.064
FGF12	1.361125
SLMO2	0.189125
SNTA1	0.656
CACNG2	0.391375
GCM1	-0.09475
ELF1	0.815666666666667
TLR5	3.308
TCFL5	-1.24591666666667
RBMY2FP	-0.2635
LOC100125556	0.823875
FAM129B	0.524
MAP3K7IP1	0.201375
NCK2	0.21
OXA1L	-0.9815
FMO9P	-0.4395
ZSCAN12	-0.90875
PSMD12	0.592
HSCB	-0.3
CLDN10	-3.19175
MGC13053	-0.712333333333333
HPCAL4	-1.07516666666667
ASZ1	-0.3705
MEX3D	-0.00366666666666671
NFAT5	-0.3437
CSPG4LYP1	-0.814166666666667
FBXO3	0.1908
DVL1	-0.63
CMKLR1	3.66983333333333
TYMS	-3.643625
PEF1	1.3685
ZNF750	0.865
MCM5	-0.9532
MEGF11	-1.295
KCNK7	0.345
PTP4A3	0.7675
C1QTNF2	-1.01916666666667
OR6S1	0.488
FAM122B	-1.17325
ZNF551	-0.430875
HBQ1	-2.7055
GEMIN6	0.3905
ARSK	-0.32475
RBP7	2.90266666666667
CPNE9	-0.15625
DSC1	0.508
LOC730112	-0.92
MAP2K4	0.319
HS3ST5	-1.3645
EPB41L3	-0.57975
TEKT2	3.18325
CDKN2B	1.33941666666667
ZNF480	-0.3685
MAP3K6	0.0513
MAP6	2.33633333333333
HN1	0.7564
OR2L13	0.45425
SLC16A11	0.60475
FAM96A	-0.8315
APOL1	0.47675
C5orf32	0.4325
RTP1	-0.4862
RNF175	-0.567375
ZBTB41	1.71825
AHCTF1	-0.0115
SAE2	-0.1999
ITGA2	-0.0716666666666667
MME	-0.585833333333333
CCDC14	-1.343
MAST4	2.37635714285714
KRT33B	-0.25
KCTD2	1.1545
WDR26	0.28475
MFI2	-1.003625
NR4A3	-0.125125
ARSA	1.20725
UNKL	0.4635
SULT6B1	0.0895
CCNA2	-2.41016666666667
SOX15	0.65
PPAPDC1B	1.39216666666667
C19orf44	-0.0515
MCAT	1.26358333333333
ARID1B	-0.62875
OR52N1	0.1985
C12orf48	-1.8375
MAGI1	1.2095
NIPA2	-1.54775
GBX2	-2.0645
RSHL3	1.244875
RAVER1	0.417833333333333
C15orf17	-0.06425
SLC30A2	2.324875
ZNF518	-0.0965
PCYT1B	-1.8615
C10orf114	-0.68
EIF3H	1.33425
SLC25A39	-0.342833333333333
KIF1B	-0.17675
AMOTL2	0.2255
C6orf120	-0.5065
PSRC1	-2.16225
PLA2G10	3.992125
KIF5C	0.877
MRPL37	-0.634
C17orf62	0.8425
C9orf135	-0.141333333333333
DUSP10	1.2045
CLCNKB	0.118
PSMA5	-0.148625
C8orf53	2.222
AMPD3	-0.205333333333333
PIAS1	-0.2345
ADCYAP1R1	0.279
GYLTL1B	-0.8695
CDH20	0.157833333333333
FBXO7	-0.334
TMEM134	1.398
FLJ14213	0.898
ZNF3	-0.2905
LRRFIP1	0.507458333333333
CNOT2	0.351666666666667
ABI3	2.14625
ALDH5A1	-1.1835
HNT	3.804
SERPINA4	-3.146
TK2	0.05925
STMN1	-2.00133333333333
GUCA2A	0.2645
GALNT10	0.800071428571429
DPP6	-0.86105
C9orf93	0.28825
PRELID2	-0.50475
STK39	-0.252375
SFTPA1	-1.459
CKS2	-1.31266666666667
RHO	0.1145
C20orf135	-0.25325
XKR3	-3.393
CR1	0.056875
RPS6KA2	0.660214285714286
C20orf112	0.776
MRPL22	-0.28225
C4orf23	0.113833333333333
GADD45B	1.70875
KLHDC1	2.56716666666667
C2orf48	-1.9505
ZNF287	1.8105
DAAM2	-0.9925
DPPA2	-3.7285
TCTN3	0.5725
DNAJB11	0.621125
FPR1	3.6775
DEFB4	0.2805
PTCD2	-0.1621
SMOC2	4.76
CABP7	1.0875
SERPINB11	-0.039
MAGEF1	0.14275
NDE1	0.760666666666667
ITGA10	0.272
FSHB	-0.227
ANXA2	0.298375
HORMAD2	-0.04375
HLCS	-0.242
MCF2L	1.67016666666667
FH	-0.378875
TBC1D24	1.245
KIAA1505	0.9195
LGALS2	-1.18925
CNBD1	-1.08
SYNPO2L	1.2515
PTPN23	0.371785714285714
C1orf183	-0.733833333333333
MAGEA8	-3.6005
DGCR8	-1.90025
GSR	0.2815
PAQR7	0.45125
ZNF676	-1.34575
CACNA1C	-0.1298
SP7	-0.5255
PDCD6	-0.14925
NRN1L	-1.7945
BRI3BP	0.593416666666667
KIAA1183	0.9605
ASB4	0.349
CCL23	1.0912
OBSL1	-1.6105
SLC12A7	1.58866666666667
KIAA0240	0.762875
CD1B	-3.29116666666667
FCGR2A	1.183875
MDC1	-1.59
HTR1A	0.626833333333333
OCEL1	0.27525
ATP11B	-1.0341875
FBXO34	-0.286
PCDH12	3.87683333333333
RPE	-1.5085
C17orf74	0.0775
CSDC2	1.0505
PET112L	0.974
TMBIM1	0.87175
P2RXL1	0.08375
TCHP	-0.769
TRMT1	-1.37016666666667
F2RL2	0.144166666666667
LRRC32	3.2795
IMPG2	0.344
BGLAP	-0.81875
LOC493869	-1.51
MRAS	1.649375
SLC35F5	0.01475
CBWD1	-1.027
AXL	-1.76525
ATP2C2	2.004
TELO2	0.04575
PNPLA3	-4.24725
PCDHB14	0.70125
CD276	0.419
KRT80	-0.421375
DUSP28	-0.058
CSNK1E	-0.187
SRP14	-0.256
KCNQ4	-0.739
KRT72	0.338333333333333
CCDC117	3.291375
C6orf89	-0.064
TUBB2B	-3.747
RTN4IP1	-1.41475
CR1L	-3.66216666666667
CEND1	0.518375
C12orf41	-0.177666666666667
RNF31	-0.33925
UBN1	0.209333333333333
C17orf32	1.703875
SLC5A7	1.35225
GPR92	1.11133333333333
ESAM	2.7688
CTNNA1	0.779916666666666
HRBL	-0.0728
CBX4	1.603
TMEM182	-0.35775
SH3TC2	-2.494
IL10	0.983666666666667
PXMP4	1.8295
RNF167	0.142
PAK7	-0.475833333333333
ETV3	-0.2805
ATPIF1	-0.415333333333333
LOC554207	-1.93566666666667
OR8H1	-0.08725
WDFY3	1.37025
DPM1	-0.38475
GPSM1	0.465
WDR92	0.1961
