Hybridization REF	TCGA-BH-A0BA-01A-11R-A056-07
ITGBL1	2.55116666666667
NETO1	-1.53475
TAP2	-0.145375
ABBA-1	0.44775
GNAI1	-0.09325
VPS4B	0.89525
NOPE	0.2386
GALNT6	1.03833333333333
SESN1	-0.4875
GBE1	-1.78
CLASP1	0.22525
RASGEF1B	0.73025
ACOT11	0.0445714285714286
AFAP1	0.4185
OR2H2	-0.09075
DPY19L2P1	-0.806
DZIP1	-1.63875
SEC22C	-0.0544166666666667
GPR161	-0.515166666666667
RNF146	0.49875
WDR74	-1.19375
GALP	0.061
PURA	1.16425
DNPEP	0.38525
RP11-78J21.1	-1.82625
ERBB2	2.781
FANCM	-1.0295
NEO1	1.05216666666667
DDX3Y	-4.6303
RPS3A	0.094625
MXRA7	-0.203285714285714
LGALS3	0.232
GLT8D1	0.22575
CFL2	-1.23833333333333
UPB1	-0.10575
NAP1L5	-0.45175
CLDN14	1.3935
DHX38	-0.98075
BTBD1	0.09475
TARS2	0.5065
ABCF1	-0.4657
FCF1	0.47
LRRC49	0.66475
GUCY1B2	-1.631
C1orf177	0.313833333333333
SMARCA4	-0.9985
LRP8	-3.33216666666667
TAGLN3	-2.22525
MRPL14	-0.52825
TTRAP	-0.4025
ZDHHC20	0.219
NFE2L3	1.26525
KIAA1377	0.6725
PALMD	1.2884
TMEM43	-0.33225
TTL	-1.67275
STAT5B	-1.1065
SSB	-1.289375
OR10H5	-0.303
SLC22A13	-0.26325
AKAP3	1.0545
TIMM23	-0.0593333333333333
OAS2	1.473
KIAA0423	0.69075
TRIM11	1.213
GLIS3	1.894625
TMEM50B	0.423166666666667
ARHGEF4	-1.134375
DEGS1	1.25636363636364
TBL1XR1	1.36956666666667
G6PD	-1.98425
SP140	0.67
MUC17	0.413571428571429
NUDC	-0.2831
DNAJC5B	2.38833333333333
SCARA3	0.112666666666667
CPA3	4.662
BCAT2	-0.45375
MFN1	-0.1029
NRG3	1.6345
SNX11	0.203
PLEKHH1	-0.803833333333333
GPR177	-0.373833333333333
HCFC2	-0.043
TCAP	-1.10625
MOCOS	-0.81975
C14orf93	0.203
PRDM10	-0.378333333333333
SLC16A4	-0.26725
SRGAP1	-1.28183333333333
VIP	0.6455
DUSP27	0.842666666666667
LILRA1	1.0175
MC2R	-0.6635
MGC24103	-0.85575
MBTD1	-2.524
FUT11	-0.297
USP33	-0.1466
C15orf39	-0.3725
MAP3K12	0.580375
PAAF1	-1.50133333333333
BARHL1	-0.3775
FLJ16165	0.862
PIWIL2	-2.83375
SYNE1	0.356166666666667
CMTM4	-0.588125
TSPYL1	0.1725
GUF1	-1.0205
TMEM157	1.7855
WDR44	0.12675
HIST1H3C	-0.00549999999999999
DKFZp666G057	3.16825
RNPEP	1.1185
GAS2L2	0.686166666666667
ADH4	-5.1065
GRPR	3.737
FBXL17	2.325
ZBTB10	0.82925
Gcom1	0.463944444444444
HTRA1	2.536
ZNF585A	-0.468666666666667
SLC26A2	-0.124571428571429
OTOP3	-0.221333333333333
WISP1	2.58033333333333
ATP2B4	0.308666666666667
FLJ10769	0.33575
CRAMP1L	0.569
CHST12	0.2075
RAB22A	0.0985833333333333
TARDBP	-0.380571428571429
STAU1	-0.49225
CRB3	2.67183333333333
MIG7	-1.467
CHMP1A	-0.679333333333333
ZNF160	-0.33875
B3GALT6	0.29575
BARX1	-1.32383333333333
C6orf167	-2.7614375
NXNL1	-0.0515
DHX29	0.508125
HADHB	-0.2645
PLXNB2	0.893125
ILDR1	-0.8885
SLC15A3	3.588
GAS2	-3.51566666666667
C20orf69	-0.4535
NUMB	0.27875
TNIP1	-0.04875
MESP1	2.117
PSKH1	-0.31425
NSFL1C	-0.26
RHOG	0.1455
HEY1	-1.863
KNG1	-1.927125
ITGAX	2.5211
LIN9	-0.730166666666667
CANT1	-0.045
XRN1	0.199642857142857
CCDC96	2.1745
HEATR6	-1.4175
GNG7	-0.160333333333333
RUNX2	1.81
SOX1	-0.0351666666666666
FCRL5	0.8729
ZNF99	-0.732875
FAM9A	0.475
SNX22	0.7
MBNL3	-2.32416666666667
ODC1	-2.6212
ADORA2B	-1.7435
NR2F6	0.25675
ZFYVE16	-0.487277777777778
SYNJ2BP	0.4877
POLE	-1.056875
E2F2	-1.56875
THRA	0.479833333333333
PTGES2	-0.8445
HIP1R	0.5045
TMUB1	0.152
ENO3	-2.065
RSPH10B	-0.0345
CXorf39	1.18625
IRGC	-0.41975
GPR109B	0.3345
FLJ13305	-0.8085
LCE3A	-0.4875
TNFRSF18	1.44766666666667
DET1	0.732
TRPM3	-0.738833333333333
C16orf79	-1.4685
FECH	-0.0851666666666667
RAP2A	-0.225333333333333
CRIP1	3.42116666666667
AZIN1	0.6095
SLC7A7	4.2825
IL10RA	0.8646
TMEM64	-2.39175
CDC42EP4	0.4346
C16orf58	0.5611
ARG2	-2.78675
POU5F1P4	-4.438
FAM62B	0.254625
DNAH8	-1.7885
ASH2L	0.4585
TSLP	-3.882
CNTNAP5	0.230166666666667
TMEM16C	-0.29625
IFNA14	0.1715
SLC1A3	1.408375
CABYR	1.10725
BCL7B	0.2542
NUDT13	-0.414833333333333
C13orf28	0.207
C1orf53	-1.0565
ARL6IP4	0.3649
RPL35A	-0.1325
EMR3	0.79
RAB40C	0.71725
SLC41A1	-0.697666666666667
LRCH1	-0.1985
LY6G5B	-1.212
FAM124A	-0.105076923076923
MGC10981	-3.631
CLIP3	0.1306
MAP4K2	-0.5525
CHIC1	0.14425
SULF1	5.55483333333333
C20orf30	-0.541071428571429
PRDM5	-0.746875
ELOVL1	-0.531
C11orf48	-0.68175
SLC39A10	-0.3735
KCNV1	0.4315
ACP1	-1.06383333333333
ZMYM2	-0.377875
B3GNT6	-0.4465
C9orf69	-0.289
C2orf15	1.128
C20orf166	1.647
HSP90AA6P	-0.6055
EDG7	-0.529
NEURL	0.549375
LPL	2.8785
CLEC2D	-0.504214285714286
GRRP1	2.3725
CD8B	-2.5476
HIST1H3D	0.925333333333333
SLC6A12	0.792625
FAM27L	-0.036
CD84	2.6325
RASA1	-0.786
PHKG1	0.7455
MAGEA11	-2.1475
IMPA1	-1.3545
NPM3	-1.073
RARRES1	3.6545
SH3BP1	0.201625
B3GNTL1	-0.0455
ARPC5L	-0.526833333333333
KLHL26	0.26075
SIM2	-1.584
GJC1	0.9265
C20orf194	0.256
EXO1	-3.26275
SLC2A2	-2.5292
LOC285074	-1.47425
LRG1	2.2345
KIRREL	0.231
PIK3R1	2.00321428571429
C4orf34	1.32175
MAF	-0.431722222222222
ADCY4	4.34166666666667
ZMIZ2	1.1585
SLC46A3	1.603
STAMBP	-0.459833333333333
CCDC16	0.489
MS4A12	0.6665
TCF20	0.34025
LRRC46	3.16075
C20orf152	-0.6635
MRPS6	-0.82775
ABCB11	-0.928
KCNC2	0.761166666666667
CDH19	-3.7918
C9orf123	-0.427666666666667
SSH3	1.597125
LDLRAD1	0.00225
CCBE1	-0.666
ZNF135	-0.36575
TAAR1	0.1215
WFDC12	-0.4515
CCDC42	0.501333333333333
FLJ12529	-0.904
PER1	-0.880333333333333
TIMM50	-0.870166666666667
SMARCAD1	-0.558333333333333
FAM26C	-0.23
TP53TG3	-1.6165
SH3RF1	1.3702
LMCD1	2.42525
GPR63	-0.5795
FLJ21986	-2.208625
AIFM3	-0.48925
MICAL1	0.517
BLZF1	0.549666666666667
IQCA	1.8365
PCDHGC3	0.3645
SAC	0.04775
BCL6B	2.65133333333333
DDO	0.09275
MARCO	4.756
DCHS1	1.30566666666667
C1orf170	1.19183333333333
CD200R1	0.886833333333333
C22orf15	0.2585
SEPT11	0.1305
ADNP	-0.45875
UST	-0.6341
C13orf34	-2.008
RFFL	0.548714285714286
APBA3	-0.5215
C2orf60	-1.136375
CUTL1	0.0157
PMS1	-1.45557142857143
ZNF689	0.124
EIF3E	-0.551166666666667
IL9	-0.892166666666667
RPL31	-0.5645
LY9	0.436666666666667
ATP2B3	0.1275
KDELR2	0.501375
TFCP2	-0.091875
NLRP12	0.647375
FLJ45422	-0.6185
TLE4	-0.897
ZNF570	-0.7135
FLJ43806	-1.8155
TLK2	-0.806125
CIR	0.88
MARS2	-0.861
COL24A1	1.3485
SDF2L1	-0.5735
HIBADH	-0.0476666666666667
IGFBP3	-2.68878571428571
C12orf23	0.7245
PSPC1	-0.60875
C20orf43	-0.53275
TRAV20	0.00700000000000001
ARHGAP24	1.198625
KIAA1975	-0.296125
C1QA	4.0617
DNTT	-4.153
C10orf6	-0.375833333333333
C11orf41	0.96525
HNRPF	0.44375
COL11A1	7.964
UBAP2	-0.825666666666667
CDKN2AIPNL	-1.8965
C20orf174	3.106
SPRED2	0.646
PLA2G12A	0.3185
ICEBERG	-2.567
SCN10A	1.1065
C11orf65	0.2895
GBP5	4.81675
PITPNC1	-1.61183333333333
POU3F3	2.2005
NCOA7	0.49425
LIN7C	-0.3229
LOC348840	-0.817
NKX2-2	-4.07233333333333
ANKRD13D	0.107
LOC123688	-0.502
FUT2	3.44933333333333
TAAR8	0.2715
FZD4	0.9195
PNMA3	-0.0978333333333333
OR4L1	-0.1415
WIT1	-1.82775
EXOC3L	1.99875
ATPBD4	-0.6044
KRBA1	-0.33725
UBXD6	0.15325
HOXB7	-0.555642857142857
C7orf23	-0.552
UNQ338	-1.22475
STAB2	0.37125
CDC20B	3.32175
IRF9	2.417
CENTG1	0.983416666666666
TNPO2	-1.13175
MCPH1	0.367125
BMS1P5	-1.7285
SLC26A7	0.39675
HIST1H3J	1.203
C9orf3	-0.1534
LBH	1.73875
MYO1D	0.75
PTDSS2	0.3795
NFU1	0.31175
DEPDC4	-1.90775
WNT7B	1.4551
GLP2R	-0.935666666666667
SETD4	-0.8887
DYNLT3	-0.5513
FKBP11	-0.786166666666667
SESTD1	0.777
FLII	0.57775
RPS16	-0.4013
CHPF	-0.246333333333333
CSNK2A1	-0.664666666666667
SUMO1P1	-0.54575
FKBP6	-0.498
ZNF214	1.29683333333333
TWIST1	0.8825
DDX56	-0.678
TRAM1L1	1.3512
EPO	-2.92666666666667
MRPS18B	0.20675
ZNF682	-1.478
RPL14	-0.0586666666666667
MAFF	-0.65775
LOC51136	-1.236875
LY96	1.07975
DDX20	-0.4955
ABTB1	0.868333333333333
ARL5A	-0.1838
CCT6A	-1.134
HEPACAM	-0.397833333333333
EHHADH	-0.404333333333333
RBAK	-0.00416666666666667
CGB1	-0.1375
ITGB5	1.5753
YIPF3	-0.38875
FKBP2	-0.21675
NR1D1	-0.5481
TMEM110	0.3315
NEK2	-1.4945
PRAMEF8	-2.68525
C20orf52	-0.308
PCDHGA3	-0.6265
VWA3B	-0.38875
NDUFA5	-0.015625
THAP9	-1.17225
FLVCR2	0.1125
AP1S1	-0.611375
SMAD6	-0.7695
SAV1	1.00775
SAT1	1.51875
ZNF251	1.5915
ADAMTS7	0.4158
RPP38	0.2605
C1orf211	-1.5655
YPEL2	0.93725
RBMS1	-0.3485
ZNF445	-0.795833333333333
NRXN2	0.805833333333333
PGBD4	-0.2185
UGT2B28	-0.5975
WBSCR16	-0.3965
NLRC3	0.466125
ASTL	0.11325
ST6GALNAC1	-3.32325
ZADH2	-0.3525
MLLT4	0.0785
ARL6	0.833666666666667
MEF2C	1.44925
CBFA2T3	-0.936
AFF3	0.482214285714286
COG7	0.310166666666667
MYB	-0.935166666666667
PLXNA3	0.51
XRCC2	-2.55066666666667
MMS19	-0.50975
ST8SIA5	-0.602125
CHPT1	-0.781333333333333
KIAA1712	-1.1485
OR6X1	0.4365
ACTR3	-0.3615
UGCG	0.825333333333333
OR4P4	0.404
ZAP70	-2.528
LPP	1.34125
ZNF485	-0.1555
PTPRCAP	0.30125
IL12RB1	0.472
ATRX	-0.0786
CHST8	-0.67075
C14orf109	0.28125
ARV1	0.184
NMB	-0.0988571428571429
COX5A	-0.742333333333333
EIF6	-0.68375
MPPED2	-1.102
SEMG1	-1.418
CHRDL1	0.912
TRAF3IP2	1.03775
WNK2	-0.3075
LILRA4	3.01683333333333
LAMA2	4.28775
PXT1	0.4055
RLBP1	-2.52175
CD300C	0.782
SLTM	-0.100875
FLJ10404	-0.00762500000000002
APOBEC3D	-2.136
RENBP	1.21666666666667
ATXN7L1	0.731
NID1	0.39975
TUBGCP3	-0.9395
ITIH5	1.66794117647059
CCDC110	2.15325
C8A	-2.3815
MGC87042	-0.46225
HOXC13	2.48825
TFDP2	-1.84125
HCP5	1.002375
POLI	0.6915
UCN	0.0356666666666667
ZNF764	0.629833333333333
C8orf45	-0.521
FHL3	-0.75375
SPATA5L1	-0.49975
MMRN2	3.434
NDST1	1.32816666666667
COL20A1	-0.141
ZNF248	-0.920833333333333
PELP1	-0.0123333333333333
MBL2	-2.97233333333333
RNF41	-0.34025
C5orf24	0.4955
THOC5	-0.219714285714286
SERINC3	-0.292583333333333
RP11-151A6.2	0.29175
CDCP2	0.30175
HIST1H2AA	0.17075
C11orf75	0.505
FKBP7	-0.3665
DDOST	-0.58775
GPNMB	2.07666666666667
TTF2	-2.22466666666667
KCNT1	-0.548333333333333
SLC39A14	-0.33825
NGRN	0.6801
GPR137B	2.83175
MECP2	-0.00962499999999999
PSMA1	-0.62725
C16orf73	-5.88775
TMEM60	-0.0803333333333333
CSN3	0.686
NOS1	-0.692833333333333
RAB7L1	1.09666666666667
YBX2	0.7745
KIAA1166	-0.38775
FUBP3	-0.516666666666667
ABCG1	2.4215
ACACA	-0.838333333333333
ARL11	1.0196
ATOH1	-0.503
ODF1	0.478166666666667
CREB3L3	-1.893
TMEM127	1.49092857142857
DSCAML1	-0.6415
PLN	2.443
LYPLA1	-0.868583333333333
PRDM9	-2.04475
SASP	0.14675
PLUNC	-0.366333333333333
INTU	0.214
HISPPD1	-0.5715
LNPEP	0.0978333333333333
YARS2	-1.0305
APCDD1L	-1.4135
ZCCHC4	-0.5726
FBXO22	-0.823333333333333
TTLL13	-0.652
ZNF669	-0.238166666666667
PTGDR	2.20275
DDX27	-0.6095
KIAA0409	-0.2255
GJB6	-0.201
ASB8	0.612
PLP2	-0.323666666666667
MEPE	1.17675
OR10J5	-0.341
KRT222P	0.45175
COQ7	0.564
C1orf101	1.06325
RERG	1.0783
CHMP5	0.56425
THAP11	-0.34475
ZNF43	-1.383
ZRANB3	-1.46783333333333
KRT13	1.12275
MRPL19	-0.484375
RBBP9	-0.789
SPATA17	2.11325
BXDC5	-0.487666666666667
PAFAH1B1	-0.727166666666667
MAGEE1	0.4655
OSTF1	0.341
KIAA0323	0.33275
TXNDC13	-0.0943333333333333
CNTN4	2.95975
LCE1B	1.288
UNQ501	1.33
ZNF154	-0.565
C3orf64	-0.36675
SYT5	-0.00619999999999998
PON1	-0.723
FLJ10357	-0.194
ATP4A	-1.121
GNPDA1	-0.421833333333333
MGAT1	1.26983333333333
C14orf121	-0.389
SLC35B2	-0.2045
MIER3	-0.170166666666667
CHEK1	-3.5005
ZNF8	-0.211833333333333
TXNDC1	-0.558
CKB	-1.248
RTN3	0.192357142857143
FZD2	-0.907
PART1	-0.936714285714286
PSMB6	-0.656
PCDHB8	-1.1435
PHC3	-0.4859
PPP1R8	-0.325333333333333
NOVA2	1.95366666666667
TNFRSF11B	-0.298875
GOLPH3	1.0765
UBLCP1	-1.064
SUHW3	-0.958
TTLL1	1.61875
OPN4	0.191
OR13G1	-0.2475
ZPBP2	1.0275
HSD17B11	-1.21975
C9orf50	1.015
DHDDS	0.0655714285714286
CTSW	0.7391
NEFM	-2.414
MRPL28	-0.16625
SYN1	1.17516666666667
PIGV	0.3595
ZIM2	-0.902
APBB1	0.240666666666667
SND1	-0.15225
C1orf123	-0.5115
CHD3	-0.8385
BHLHB8	0.3455
RNASE2	0.395333333333333
BCAP31	0.072625
SLC25A44	0.380833333333333
CHD6	-0.2709
PIB5PA	2.46453846153846
SELS	0.274
LOC541471	0.97975
FAT2	-0.5045
ZNF81	-0.355
OR4C16	-0.325
FLJ10081	-0.4249
LRRC4	1.052
CS	-0.961833333333333
N4BP2	-0.702625
IGFBP7	1.88925
ZNF318	-0.205166666666667
NDNL2	0.93125
ZNF609	0.380375
SIRT4	-0.1215
EXOSC10	-0.112
ECE2	0.0245
OVGP1	1.12125
GTPBP3	-0.3925
PACS2	0.8577
C19orf36	-0.906833333333333
ARL4C	0.154
ATG4B	-0.529625
UBQLNL	1.4105
RHOXF2B	-3.2945
PLEKHG2	-0.374
GALR1	0.02
AQP4	0.2098
HDAC7A	0.128833333333333
DCUN1D3	0.776
OR8A1	-1.2875
CCRN4L	-0.25925
CBR4	-0.253166666666667
KIFC1	-2.581
SLC7A14	-1.202
LHX5	-1.272
TRPC7	-0.235
LPXN	0.1455
SERPINA1	-0.5105
RPS13	-0.632
BPIL3	0.904
PRKAA1	-1.35125
FADS2	0.7864
ENAH	0.8201875
PRO1768	-0.3785
APBA2BP	-0.332
LIPH	3.3055
C3orf33	-0.64675
RCC2	-0.584428571428571
ALDH1A2	-2.7269
RNF103	1.908
AHCY	-1.265625
ALG12	0.655
CCL17	1.361
ZNF543	1.079
ESRRG	1.7783
CNGA1	1.293
RDH5	0.168333333333333
OTX1	-0.1142
PTGFR	-0.899666666666667
CDR2	0.25275
SELE	4.62975
NLGN2	-0.600666666666667
EXOSC9	-1.497
ZNF566	-0.0821666666666667
KLRC2	-3.446
GPR12	0.9815
KIAA0196	1.7545
PDRG1	-1.07875
SSR3	-0.398071428571429
MSI1	-0.429
CST9	-0.8485
CC2D1A	0.11075
PLAGL1	-0.335611111111111
ZNF778	0.0775
RNF2	-0.391625
KLF6	1.60766666666667
THBD	1.35866666666667
tcag7.1314	1.027
NR5A1	-0.383666666666667
ABCD2	-0.06575
DNAJC7	-2.2455
CLEC4C	0.2765
TM2D3	0.275125
CCDC4	-1.3835
PLAC2	-0.87375
DCD	-0.577
FAAH	1.259375
POLA1	-1.10783333333333
TM7SF2	0.006875
FLJ39822	-0.7195
FLOT2	-0.39725
MAP4K1	-0.418666666666667
SRP68	-0.27425
C21orf74	-0.594
ARPC5	0.52625
LOC126075	1.83525
HECW2	0.052125
ZDHHC4	-0.1795
ANKRD42	2.2662
PDE9A	-0.832833333333333
ABCA8	1.26525
NDUFS2	0.18175
UBR5	0.361125
BTBD16	-2.98975
LOC554174	1.544
ZNF20	0.542
KIAA1843	1.0435
WDR17	-0.50725
C15orf33	0
RNF113A	-0.74175
CAMKK1	-0.185
CLCN2	0.313
ANXA6	-0.75
LOC340069	0.5655
EMID1	-0.093
DPM3	0.0451666666666667
ELA1	-0.661
SLC25A13	-0.7787
KRT24	0.38875
SMPD1	0.273166666666667
TH	0.90775
COL6A2	1.2475
ANKS1B	-0.40575
GPR126	-0.646
ZC3H12A	-0.2565
TMEM47	0.0723333333333333
C2orf51	-0.4895
C1orf88	4.18033333333333
HSF2BP	-0.005
AKAP10	0.106
RPAP3	-0.688
KLHDC8B	1.03175
STOM	1.9944
MUPCDH	-0.498875
C10orf72	-0.809
PLEKHA3	0.4
TCP11L1	-0.1915
CWF19L1	-0.496375
SPEF1	3.03207692307692
YSK4	2.991
ELN	1.6237
SAMD8	0.318333333333333
MPI	-0.593333333333333
MEPCE	0.3924
ABCC3	0.515
NANOGP1	-3.844
KCNK17	4.3565
HLA-DMB	4.96883333333333
RRAGA	0.69125
ANGEL1	0.41825
RBM32B	-0.5575
CPN1	-3.277
MGC52282	-0.6421
HLA-A	1.24741666666667
OR9G4	-0.259
EDNRB	-1.035875
SCD	-0.852785714285714
C14orf80	-0.459666666666667
BAGE2	0.055
RABL4	1.1755
RCVRN	-2.9465
SHANK1	-0.5585
NLRP7	-2.709
CD226	0.30925
STAT3	1
SYNJ2	-0.7453
TPCN2	-0.141666666666667
WDR36	-1.45758333333333
MBD4	0.0795
ROBO1	-0.7216
ST3GAL6	-2.83725
SLAMF8	3.9815
ATN1	0.910666666666667
GPR141	0.514666666666667
KRT36	-2.065
TPH1	1.5405
DDX52	-0.46025
ZSCAN29	0.169833333333333
TRPT1	-0.269833333333333
DPEP3	0.185
DENND4A	-0.556125
TSPAN16	0.0635
PTCHD2	-0.366
LOC145814	-0.7755
CAP1	0.108333333333333
EIF5A2	-0.6789
NT5DC3	-2.093125
SEPT9	-0.717375
SEZ6L2	-1.048375
EGFLAM	3.58475
VPS11	0.4635
NDUFB5	-0.396166666666667
CIDEA	4.888
IER5L	1.15925
N6AMT1	0.447
FAM83C	-0.79825
OXR1	1.71408333333333
IRX1	0.6665
DGKB	-0.413
GCN5L2	-1.7695
MIR16	0.7565
FBXW9	-0.1455
WDR4	-1.5305
PDC	-2.694
VPS33B	-0.53375
HEXB	-0.165
FLJ32214	1.63575
TCEB3	-0.645
CRLF1	-3.96175
ABI3BP	0.79975
C8orf22	-4.188
PYCR1	-0.575125
KIAA1706	1.4545
CDK5R2	1.11425
WAS	0.432
C12orf60	-0.50025
CCBL2	-0.89525
MADD	-0.053
C5orf34	-2.887
WDR42A	0.9541
KLF12	-0.400875
HSPA1A	2.37875
ITM2C	-1.31716666666667
DAPK2	2.23133333333333
LOC442590	0.3905
SUMF2	1.162375
CENPA	-3.35276923076923
TMED5	-0.923625
CDH6	-0.7077
BRP44	1.508375
THG1L	-1.0465
GABRA2	-2.55166666666667
C14orf166	-0.1155
MYL1	-1.29233333333333
TNFSF18	-0.8795
PAP2D	-1.87016666666667
PPIB	-0.827
KLHL4	-0.932875
SFN	0.0135
CCDC127	0.92075
FRAP1	-0.69475
GOLGA5	1.3325
SDCCAG1	0.189625
MGC21675	0.295333333333333
C10orf95	0.14425
KIAA1345	0.00233333333333333
C1orf163	-1.182
LACE1	-0.809833333333333
OR10K2	-1.6515
CENPN	-2.6794
TMED2	-0.20225
UGT1A6	-1.6275
ANG	1.457
U2AF1	-1.26116666666667
CASC2	0.959666666666667
NMT2	-0.783666666666667
OSGEPL1	-0.295
DFNB31	-0.918
SLC6A20	0.372625
DKC1	-1.385
FXYD4	-1.29275
WDR64	0.7775
MGC5590	-0.9545
CREBZF	-0.600833333333333
DAZ1	-1.053
PRPSAP1	-0.85475
GCHFR	0.271
TTC7A	-0.166375
LOC196993	0.3975
UBD	0.638666666666667
S100A1	0.941125
RPL6	0.0488333333333333
DNAJB6	0.5791
NAGS	1.0358
C2orf58	0.668
KERA	0.523166666666667
MT1X	-1.1883
UBE2B	0.4737
KEAP1	0.3225
MST1	-2.851375
OMA1	0.4355
ABLIM2	0.88175
BCL2L13	-0.039
JAZF1	-0.114333333333333
TMEM63B	1.2305
S100A8	1.582
ARFIP2	1.20825
UROS	0.5265
KHDRBS2	-0.398
POLQ	-3.294125
SOAT1	-0.55525
SPAG4	-0.71675
MRPS30	-1.08516666666667
LOC494141	-1.275
OR2T11	0.9945
ORAOV1	-1.167
ZNF184	-0.240166666666667
TCEB3B	-0.5534
ADAM21	-0.159
GDPD1	-0.1115
SPINLW1	0.3565
PRR14	0.725833333333333
KCTD9	0.2941
NUDT3	0.2285
KIAA1822	0.9314
HIST1H4K	1.681
DFNA5	-1.463
GABPA	-0.2685
C14orf44	0.155
POLB	0.592625
PTAR1	-0.898
SEC31A	0.9358
TRIM58	-1.41425
TAS2R14	-0.4525
VPS8	0.11575
H1F0	1.3215
PRKCB1	-2.41233333333333
UGT2A1	0.516
TOR1B	-0.64975
LSS	-1.46641666666667
C2orf19	-0.6175
HNRNPC	0.218285714285714
TMEM100	-0.1145
LOC116349	0.35475
OR51M1	0.517
CCDC142	-0.8845
ISG15	0.373125
ZCCHC14	-0.333125
CREBL2	0.913
TGDS	-1.87925
DC2	-0.993
CACNA2D3	-1.62271428571429
ZNF429	-0.959375
LYPD6	-1.00083333333333
SUCLG1	-1.06883333333333
OR51I1	-1.0035
MAGEH1	0.81225
PRPF40A	-0.327
SMR3A	0.7795
SPINK2	-1.16775
THAP2	0.690125
NPY5R	0.00775
IRF4	-1.69375
SPESP1	-2.28983333333333
OR10S1	1.168
DTD1	-1.40275
TUBE1	-1.78425
DDX19A	-1.2465
PDPN	-0.00787500000000001
TMEM34	0.420083333333333
MGAM	0.11225
COL3A1	6.44405555555556
GFM2	-0.491
OR5A2	0.096
PSG9	0.0775
ARHGEF11	0.762
IVNS1ABP	-0.8651875
SIGIRR	1.35
DUSP19	0.049625
DNAJC14	-0.1728
ACSS1	-0.041375
IL1RAPL2	-0.0885
C4orf30	-0.8705
SEPT4	1.68625
LANCL3	-3.0985
SPAG17	4.41966666666667
PRDX3	-0.665375
HNF1A	-0.987875
P4HA2	0.1955
RFWD3	-1.609
MOV10	-0.30525
DNAJA5	0.287928571428572
LOC729440	0.48925
LOC200383	0.987142857142857
SMC2	-2.57025
MIXL1	-1.11233333333333
TMEM9	0.5915
FAM86A	1.7535
ZNF174	0.8199
MYH14	-0.46525
CCR8	0.7065
VPS37C	0.652666666666667
GPATCH1	0.181166666666667
B3GNT8	3.705
TBX4	-0.35925
CNR2	0.287333333333333
PCDH1	1.69275
C5orf29	4.310125
OCIAD2	1.651
PLCG2	0.84175
KIAA0247	2.644375
HRH3	0.4131
CAPN13	5.629875
CCR1	0.4225
MGC15523	0.0348333333333334
UVRAG	-0.265333333333333
DNAJA2	-0.5125
ITGA2B	-1.3485
CLDN5	4.47075
PTPRN2	-1.64564285714286
ZNF512	-0.650166666666667
PSAP	0.787285714285714
CCDC140	-1.463
LRRC55	0.143666666666667
CYP26C1	-0.038
C8orf47	-1.01025
LYN	0.247125
DUSP6	0.417666666666667
TGFB3	3.36913333333333
ELK1	-0.5824
PCDH11Y	-0.8792
HGD	0.781
C17orf58	0.7625
MYO3A	-0.4345
SERPINE2	-4.18233333333333
AARSD1	-1.197125
C14orf73	-2.375
ADAM33	0.05675
ZNF491	-0.685
MAPK6	-1.52533333333333
TCN1	-2.071
SLC24A6	1.3135
UBE2R2	0.19825
H1FNT	0.6325
TATDN2	0.229833333333333
LILRB1	1.818
P2RY5	0.992
NUCB2	0.6935
C2orf37	-0.24225
SNX27	1.381
MTA3	0.351875
FOXO4	0.55475
ID4	-0.0855
SOX5	-1.47483333333333
PXMP3	1.13975
OR52M1	0.16
SFT2D3	-0.108125
INA	-3.20633333333333
MCOLN1	0.27175
NFIX	0.1103
CLEC14A	6.23333333333333
HIBCH	-0.2205
PLA2G5	2.10825
TIMM10	-1.20366666666667
MED17	-0.2873
COL4A4	-0.1885
TPP1	0.544833333333333
GJA3	-1.26983333333333
TMPRSS5	-1.61725
AADACL3	0.00900000000000001
DNMBP	-2.0815
ENPP5	2.3635
NQO1	-1.2372
ZSCAN2	-0.4445
SEC24C	-0.225666666666667
GTF2A1L	1.018
AXIN2	-0.0094
FAM33A	-1.53425
C16orf13	0.126125
SPNS2	1.35825
TAF1	-0.64925
AP1G2	0.212666666666667
RBM42	0.0225
HCN2	0.961
EFHB	0.0208333333333333
RUSC1	0.00416666666666667
GRIK5	-0.142
USP21	0.325
ATAD3C	1.434
ORMDL2	0.580625
PRSS7	-3.06675
PSAT1	-4.67775
FLJ13195	-2.37
TBC1D1	0.106666666666667
IFNG	1.69525
OTOS	0.103833333333333
ZNF773	0.499333333333333
EMD	-1.754
RETN	1.03525
CCL8	4.9245
APH1A	-0.074375
COX18	0.02075
GTF2IRD2	0.858
CCDC82	-1.85091666666667
PAFAH2	0.9414
NPEPL1	-0.524333333333333
RP11-114G1.1	0.027
TP53INP1	2.94125
ZNF300	-2.28916666666667
FOXL2	-2.81866666666667
LARP2	0.221333333333333
LATS1	-0.2655
HTR6	0.1065
SPOCK2	1.04033333333333
RNF144B	3.53216666666667
HTATIP2	-0.189375
MGC10334	0.407
CENTA2	3.30666666666667
FGF2	-1.8685
FXYD7	-0.164
PHYHIPL	-1.953375
GPR34	5.40625
DDX6	-0.0108333333333334
OR10W1	0.3055
LHFPL1	-0.793
ZNF313	-0.691142857142857
VPS28	1.834
AP3M1	-0.3039
