Hybridization REF	TCGA-AO-A0JF-01A-11R-A056-07
ASAH1	2.6755
DOM3Z	-0.9964
GIPR	0.505333333333333
AHI1	-0.5275
NADSYN1	-0.396833333333333
RGS14	-0.4977
IL18BP	1.1574
RTN4RL1	2.16291666666667
ARMC6	-0.621
PSMD5	0.5065
HK3	1.8971
OR4S1	-0.512
RSU1	1.2212
MAD2L1	-2.93966666666667
EIF4A3	-0.14725
DLEC1	-0.120833333333333
E4F1	-0.880833333333333
CHMP2B	1.0369
CAMSAP1	-0.4515
RPS21	-1.18833333333333
ARID5A	0.11725
UBE2N	0.3068
IGSF8	0.690833333333333
MAGEB6	-2.563
ACAD11	-1.511
MGC4172	-0.831
LMO4	0.78475
KLKB1	-0.08975
HP	-0.921
HDAC3	0.1405
SCHIP1	1.08075
CLCA1	0.374
OLFML2A	1.68525
C1orf112	-1.594
KIF19	1.18208333333333
HAPLN4	-0.5611
CXCR7	1.55533333333333
GOT2	-0.6389
RAB38	1.45475
DCX	0.2325
PPM1H	1.38608333333333
NFYC	0.49
KIN	-0.059
ZNF228	1.48125
PLSCR4	3.41616666666667
HIG2	-0.42625
FAM79B	6.969
C21orf86	-0.8249
KCNK10	1.95
ZNF738	-0.7695
FSTL5	-1.5526
OR6A2	-0.032
OTOA	1.73016666666667
EXOC1	0.1675
AHRR	-3.704625
PDAP1	-1.93575
C19orf6	-0.602875
ZAN	0.4035
LY6G6E	0.001
EIF4E2	-0.60925
C20orf198	-0.88375
ZNF324	0.161
CYP3A5	-3.291
ENTPD7	1.3735
MBOAT5	0.2515
GJB5	-2.83166666666667
TTC13	-0.488
S100Z	-1.04516666666667
KIAA0664	-0.6215
PDGFRB	2.52033333333333
IL17D	1.01525
OR56B4	0.1495
RDX	-1.20483333333333
SLC34A3	0.558
IL28B	-0.481
JUND	0.86425
CHRNB1	0.110625
CAMK2B	-1.256
FETUB	-2.735
CXorf23	0.96475
MRTO4	-1.80175
TTC3	0.9637
NDUFB8	0.0758333333333333
EDG2	0.28075
SEMA3G	2.69725
IL23A	-1.995
GRHL1	1.1998
LOC441054	-0.882
WDR65	0.46875
PSTK	-0.14275
STOML3	0.724
R3HDM2	-0.2984
C5	-2.09925
SLC2A10	1.06233333333333
C3orf22	0.43575
PAQR3	-0.966615384615385
ANKRD26	-0.620916666666667
HCRTR1	0.016
LOC399947	-1.3175
PSD2	-0.432
TIGD2	-0.471
SCRN1	-2.013375
COQ10A	-0.8545
DDI2	0.045
METTL7B	-0.6365
UCN2	0.52
FAM92A3	-0.765
WDR16	0.5455
ZNF511	-0.280666666666667
ZMYM5	-0.4425
POLR3G	-3.1975
ZNF586	0.31825
C1orf49	0.352
TANK	0.353833333333333
RCAN1	-0.301833333333333
PELI3	0.4905
LIMD2	-0.421916666666667
TMEM189	-1.0495
NTN4	2.7565
LOC151300	0.211
CLEC2A	-0.534
GPR135	-0.6
DPYSL4	-3.9192
JAK2	0.346
TSHZ1	0.681666666666667
TM9SF4	-0.630625
ZNF264	1.015
SIRPG	1.5585
BICD1	-0.45225
HERC6	0.6305
METTL5	-0.4775
CASP1	1.5735
PRRT1	-0.3495
PLA2G4C	2.583
ICA1L	-0.3375
TPTE2	0.07
OTUD7A	0.79
AQP11	-1.154
APOA2	-4.5506
KALRN	0.0853
SECTM1	0.873666666666667
IFNAR1	0.033
TALDO1	0.06875
RAB11FIP4	-0.17175
EIF5A	-0.998
FAM49A	2.4605
NEGR1	1.40533333333333
YTHDC2	0.051125
EHD2	0.58925
NCF1	1.7039
SCRT2	0.2985
HOXA5	0.437833333333333
NUP133	0.3325
FGF12	-0.690125
SLMO2	-0.707
SNTA1	0.266875
CACNG2	0.334333333333333
GCM1	1.00375
ELF1	1.03933333333333
TLR5	2.745
TCFL5	-1.14775
RBMY2FP	-2.625
LOC100125556	0.107625
FAM129B	0.207375
MAP3K7IP1	-0.438875
NCK2	0.2475
OXA1L	-0.519
FMO9P	0.111
ZSCAN12	0.37175
PSMD12	-0.606166666666667
HSCB	-0.37275
CLDN10	-2.4945
MGC13053	-0.8805
HPCAL4	-0.6295
ASZ1	0.844
MEX3D	0.476916666666667
NFAT5	-0.8546
CSPG4LYP1	-0.765666666666667
FBXO3	1.3042
DVL1	-0.951333333333333
CMKLR1	2.545
TYMS	-2.969
PEF1	1.54675
ZNF750	1.16583333333333
MCM5	-1.1767
MEGF11	-1.42233333333333
KCNK7	-0.011
PTP4A3	0.451
C1QTNF2	0.905166666666667
OR6S1	0.426
FAM122B	-1.6445
ZNF551	-0.3835
HBQ1	-2.9165
GEMIN6	-0.7055
ARSK	-0.12025
RBP7	3.50733333333333
CPNE9	0.9265
DSC1	-0.2135
LOC730112	-0.71825
MAP2K4	1.065625
HS3ST5	-2.957
EPB41L3	0.408
TEKT2	0.95525
CDKN2B	1.20958333333333
ZNF480	-1.004
MAP3K6	0.5367
MAP6	1.73966666666667
HN1	-0.6317
OR2L13	0.782666666666667
SLC16A11	0.144
FAM96A	-0.24725
APOL1	0.70275
C5orf32	0.59125
RTP1	-0.807666666666667
RNF175	0.153375
ZBTB41	1.751
AHCTF1	-0.7048
SAE2	-0.2263
ITGA2	-1.53391666666667
MME	0.7775
CCDC14	-1.5735
MAST4	1.47028571428571
KRT33B	-1.2945
KCTD2	0.276
WDR26	0.850666666666666
MFI2	-0.3275
NR4A3	0.746875
ARSA	1.5025
UNKL	-0.35
SULT6B1	0.0995
CCNA2	-3.3575
SOX15	0.2115
PPAPDC1B	0.533166666666667
C19orf44	-0.188
MCAT	0.727666666666667
ARID1B	-0.13375
OR52N1	2.027
C12orf48	-2.1725
MAGI1	0.578375
NIPA2	-0.17475
GBX2	-2.03
RSHL3	0.10075
RAVER1	0.1485
C15orf17	-0.20575
SLC30A2	0.95025
ZNF518	-0.04675
PCYT1B	-2.64775
C10orf114	-0.92675
EIF3H	0.63025
SLC25A39	-1.223
KIF1B	-0.479375
AMOTL2	0.628
C6orf120	0.637875
PSRC1	-2.4845
PLA2G10	2.6985
KIF5C	1.379875
MRPL37	-0.5885
C17orf62	0.225333333333333
C9orf135	-1.4904
DUSP10	0.3432
CLCNKB	0.678
PSMA5	-0.307
C8orf53	-0.271
AMPD3	1.14766666666667
PIAS1	-0.12475
ADCYAP1R1	0.155
GYLTL1B	-1.62275
CDH20	0.118
FBXO7	-0.03
TMEM134	0.588666666666667
FLJ14213	1.59433333333333
ZNF3	-0.53775
LRRFIP1	0.518791666666667
CNOT2	0.211666666666667
ABI3	2.911
ALDH5A1	-0.5525
HNT	3.0158
SERPINA4	-3.1675
TK2	0.646833333333333
STMN1	-2.06133333333333
GUCA2A	0.1625
GALNT10	0.758214285714286
DPP6	-0.92865
C9orf93	0.04175
PRELID2	-0.7025
STK39	-0.169625
SFTPA1	-1.52775
CKS2	-2.55477777777778
RHO	0.0625
C20orf135	-0.55175
XKR3	-2.584
CR1	0.307375
RPS6KA2	0.735857142857143
C20orf112	0.32075
MRPL22	-0.10725
C4orf23	0.467166666666667
GADD45B	1.20225
KLHDC1	1.8095
C2orf48	-2.775
ZNF287	1.3475
DAAM2	0.16725
DPPA2	-3.60183333333333
TCTN3	0.307166666666667
DNAJB11	-0.16
FPR1	3.467
DEFB4	0.061
PTCD2	-0.7962
SMOC2	5.22683333333333
CABP7	0.05925
SERPINB11	-0.512666666666667
MAGEF1	-0.21275
NDE1	-0.842166666666667
ITGA10	0.093
FSHB	0.507
ANXA2	1.2085
HORMAD2	0.105
HLCS	0.496
MCF2L	1.77225
FH	0.03075
TBC1D24	0.6865
KIAA1505	1.7845
LGALS2	-0.9145
CNBD1	-1.7185
SYNPO2L	-1.13966666666667
PTPN23	-0.218428571428571
C1orf183	-0.655
MAGEA8	-3.05475
DGCR8	-1.836
GSR	-0.68875
PAQR7	0.42075
ZNF676	-0.50275
CACNA1C	0.3868
SP7	0.176
PDCD6	-0.14525
NRN1L	-1.8545
BRI3BP	-1.04975
KIAA1183	1.68425
ASB4	0.557
CCL23	2.3486
OBSL1	-1.27325
SLC12A7	0.924333333333333
KIAA0240	1.023
CD1B	-2.30766666666667
FCGR2A	2.050625
MDC1	-1.66525
HTR1A	0.619333333333333
OCEL1	0.092
ATP11B	1.6954375
FBXO34	0.0311666666666667
PCDH12	4.0035
RPE	-0.5125
C17orf74	-0.158
CSDC2	0.926
PET112L	0.257
TMBIM1	0.895
P2RXL1	-0.037
TCHP	-0.89175
TRMT1	-1.7035
F2RL2	1.17183333333333
LRRC32	3.69366666666667
IMPG2	-0.137
BGLAP	0.00375000000000001
LOC493869	-0.0858333333333333
MRAS	2.31725
SLC35F5	0.599
CBWD1	-0.1325
AXL	-0.272375
ATP2C2	1.4275
TELO2	-1.26025
PNPLA3	-2.80225
PCDHB14	1.09125
CD276	0.26825
KRT80	-2.739875
DUSP28	1.001
CSNK1E	-0.57725
SRP14	1.2265
KCNQ4	-0.726
KRT72	-0.383
CCDC117	0.43175
C6orf89	0.259611111111111
TUBB2B	-2.0986
RTN4IP1	-0.773
CR1L	-3.93283333333333
CEND1	0.319
C12orf41	0.028
RNF31	-0.1255
UBN1	-0.341333333333333
C17orf32	0.455
SLC5A7	0.2575
GPR92	1.34416666666667
ESAM	3.1313
CTNNA1	0.801333333333333
HRBL	-0.2099
CBX4	-0.3365
TMEM182	0.8655
SH3TC2	-1.14966666666667
IL10	1.8105
PXMP4	0.669
RNF167	0.1966
PAK7	-0.395
ETV3	-0.5015
ATPIF1	-0.0748333333333333
LOC554207	-2.24066666666667
OR8H1	-0.061
WDFY3	1.184875
DPM1	-0.6245
GPSM1	-0.211
WDR92	-0.1089
LRP1	0.988
ANKH	-0.047625
THUMPD3	-1.403
POLR1B	-0.99225
OLFM4	1.19616666666667
RAD9B	0.8095
TSPY2	-3.766
PAX6	-2.163
SCG2	-0.145
SLC17A6	-0.335
FMO3	5.078375
PADI4	0.164714285714286
TUBB4	-0.6062
NLK	-0.75775
POU4F3	-1.5275
SDF4	-0.161
ITGBL1	3.841
NETO1	-2.09775
TAP2	0.03975
ABBA-1	-0.302916666666667
GNAI1	1.09475
VPS4B	1.3875
NOPE	0.3071
GALNT6	1.86483333333333
SESN1	1.11625
GBE1	-1.15144444444444
CLASP1	-0.2045
RASGEF1B	1.471625
ACOT11	-0.235714285714286
AFAP1	0.86475
OR2H2	0.19
DPY19L2P1	-1.3465
DZIP1	-1.217
SEC22C	-0.0359166666666667
GPR161	-0.293666666666667
RNF146	1.25975
WDR74	-1.4275
GALP	-0.9135
PURA	1.02875
DNPEP	0.444916666666667
RP11-78J21.1	-0.55675
ERBB2	1.950125
FANCM	-0.61275
NEO1	1.065
DDX3Y	-5.1398
RPS3A	0.665625
MXRA7	0.889142857142857
LGALS3	0.245
GLT8D1	0.521
CFL2	-0.815833333333333
UPB1	0.5715
NAP1L5	0.10025
CLDN14	-0.39025
DHX38	-0.805
BTBD1	0.1175
TARS2	-0.170333333333333
ABCF1	-0.7022
FCF1	-0.0331666666666666
LRRC49	0.22
GUCY1B2	-2.76
C1orf177	-0.0786666666666667
SMARCA4	-1.15607142857143
LRP8	-3.65566666666667
TAGLN3	-1.89875
MRPL14	-0.46025
TTRAP	0.44725
ZDHHC20	0.699
NFE2L3	-1.276
KIAA1377	1.6995
PALMD	2.4205
TMEM43	0.3045
TTL	-1.322875
STAT5B	-0.938166666666667
SSB	-1.0125
OR10H5	0.2525
SLC22A13	-1.11375
AKAP3	-0.36175
TIMM23	0.334666666666667
OAS2	1.807
KIAA0423	1.34775
TRIM11	0.426333333333333
GLIS3	1.951875
TMEM50B	1.21033333333333
ARHGEF4	-0.90475
DEGS1	0.235636363636364
TBL1XR1	1.16763333333333
G6PD	-1.94975
SP140	0.5167
MUC17	-0.253928571428571
NUDC	-0.7521
DNAJC5B	2.58033333333333
SCARA3	-0.640833333333333
CPA3	7.21966666666667
BCAT2	0.067625
MFN1	-0.3957
NRG3	0.531
SNX11	0.1125
PLEKHH1	-1.91366666666667
GPR177	-0.289666666666667
HCFC2	0.891
TCAP	-1.30225
MOCOS	-1.91275
C14orf93	-0.3395
PRDM10	-0.017
SLC16A4	0.714166666666667
SRGAP1	0.1065
VIP	1.25175
DUSP27	1.10483333333333
LILRA1	1.4012
MC2R	0.1085
MGC24103	-0.98375
MBTD1	-2.1175
FUT11	-0.403166666666667
USP33	0.6955
C15orf39	-1.20525
MAP3K12	-0.38725
PAAF1	-0.584166666666667
BARHL1	-0.121
FLJ16165	-0.1125
PIWIL2	-2.8925
SYNE1	0.7285
CMTM4	-0.0795
TSPYL1	1.5708
GUF1	-0.747166666666667
TMEM157	0.7675
WDR44	0.1835
HIST1H3C	-0.14775
DKFZp666G057	0.8215
RNPEP	0.58725
GAS2L2	-0.079
ADH4	-4.3165
GRPR	4.54616666666667
FBXL17	0.96975
ZBTB10	-0.101833333333333
Gcom1	1.36577777777778
HTRA1	2.2113
ZNF585A	-0.067
SLC26A2	0.204714285714286
OTOP3	0.477333333333333
WISP1	3.49544444444444
ATP2B4	-0.00258333333333332
FLJ10769	0.80225
CRAMP1L	-0.27175
CHST12	-1.22175
RAB22A	0.24925
TARDBP	-0.356785714285714
STAU1	-0.1115
CRB3	1.783
MIG7	-3.09775
CHMP1A	-0.492
ZNF160	-0.115625
B3GALT6	0.032
BARX1	-2.13383333333333
C6orf167	-1.8655
NXNL1	0.184
DHX29	0.787875
HADHB	0.26825
PLXNB2	0.756625
ILDR1	-1.274
SLC15A3	2.93175
GAS2	-4.539
C20orf69	-0.63275
NUMB	0.32475
TNIP1	0.18825
MESP1	0.958333333333333
PSKH1	-0.231
NSFL1C	0.09675
RHOG	0.24425
HEY1	-1.14116666666667
KNG1	-1.991375
ITGAX	2.0731
LIN9	-0.978166666666667
CANT1	0.488
XRN1	0.147785714285714
CCDC96	1.4346
HEATR6	-1.51233333333333
GNG7	0.553
RUNX2	1.4198125
SOX1	0.00283333333333335
FCRL5	-0.1484
ZNF99	0.406125
FAM9A	-1.248
SNX22	0.763333333333333
MBNL3	-2.50833333333333
ODC1	-2.0806
ADORA2B	-3.26883333333333
NR2F6	-0.18525
ZFYVE16	0.376666666666667
SYNJ2BP	0.9136
POLE	-1.6085
E2F2	-1.80875
THRA	0.113166666666667
PTGES2	-1.37616666666667
HIP1R	0.389
TMUB1	-0.871166666666667
ENO3	-2.64675
RSPH10B	-0.49
CXorf39	0.70575
IRGC	-0.04725
GPR109B	0.71325
FLJ13305	-0.967
LCE3A	-0.7925
TNFRSF18	-0.0575
DET1	0.323
TRPM3	-0.488916666666667
C16orf79	-2.436
FECH	0.4395
RAP2A	0.7
CRIP1	3.4185
AZIN1	0.012
SLC7A7	3.8235
IL10RA	1.3501
TMEM64	-1.58925
CDC42EP4	0.8509
C16orf58	-0.3244
ARG2	-3.179
POU5F1P4	-5.1345
FAM62B	-0.153625
DNAH8	-2.3359
ASH2L	-0.10575
TSLP	-2.09183333333333
CNTNAP5	-0.322
TMEM16C	4.57525
IFNA14	0.663
SLC1A3	1.12325
CABYR	1.11525
BCL7B	0.0804
NUDT13	-0.850833333333333
C13orf28	0.543
C1orf53	1.1665
ARL6IP4	0.3297
RPL35A	-0.1775
EMR3	0.955
RAB40C	0.18325
SLC41A1	-0.764666666666667
LRCH1	0.43525
LY6G5B	-1.4965
FAM124A	0.0297857142857143
MGC10981	-4.66183333333333
CLIP3	0.4687
MAP4K2	-0.789166666666667
CHIC1	0.7325
SULF1	3.93233333333333
C20orf30	0.540928571428571
PRDM5	0.04875
ELOVL1	0.3775
C11orf48	-1.23675
SLC39A10	-0.1045
KCNV1	-0.14275
ACP1	-0.583166666666667
ZMYM2	-0.0405
B3GNT6	-0.452666666666667
C9orf69	0.072
C2orf15	0.71075
C20orf166	0.3955
HSP90AA6P	-1.224
EDG7	-1.2355
NEURL	-0.31525
LPL	3.75716666666667
CLEC2D	0.161928571428571
GRRP1	3.02083333333333
CD8B	-2.3115
HIST1H3D	-0.996
SLC6A12	0.4005
FAM27L	-0.9775
CD84	2.7379
RASA1	0.1715
PHKG1	0.6345
MAGEA11	-2.355
IMPA1	-0.588
NPM3	-1.59975
RARRES1	2.9975
SH3BP1	0.08025
B3GNTL1	-0.7525
ARPC5L	-0.226333333333333
KLHL26	0.16475
SIM2	-1.062375
GJC1	0.508
C20orf194	0.3475
EXO1	-3.32275
SLC2A2	-2.8695
LOC285074	-0.60775
LRG1	2.6085
KIRREL	0.468
PIK3R1	2.043
C4orf34	1.66975
MAF	0.183055555555556
ADCY4	4.229
ZMIZ2	-0.0795
SLC46A3	2.34583333333333
STAMBP	-0.3595
CCDC16	0.6715
MS4A12	-0.2995
TCF20	0.02875
LRRC46	1.6045
C20orf152	0.2805
MRPS6	-0.344875
ABCB11	0.105
KCNC2	3.50416666666667
CDH19	-2.49066666666667
C9orf123	1.073
SSH3	0.8755
LDLRAD1	-2.4025
CCBE1	-0.1345
ZNF135	1.490625
TAAR1	0.877
WFDC12	0.099
CCDC42	0.201166666666667
FLJ12529	-0.7485
PER1	-0.424333333333333
TIMM50	-0.9285
SMARCAD1	-0.149
FAM26C	0.369
TP53TG3	-1.89533333333333
SH3RF1	1.8133
LMCD1	2.75675
GPR63	-0.545
FLJ21986	-0.675125
AIFM3	-1.05475
MICAL1	-0.0801666666666667
BLZF1	1.12133333333333
IQCA	2.16466666666667
PCDHGC3	-0.318
SAC	0.184
BCL6B	2.90233333333333
DDO	1.70025
MARCO	3.92125
DCHS1	1.52283333333333
C1orf170	0.432333333333333
CD200R1	2.492
C22orf15	-0.671
SEPT11	0.316166666666667
ADNP	-0.1965
UST	-0.2646
C13orf34	-1.46033333333333
RFFL	0.317928571428571
APBA3	-0.2485
C2orf60	-0.734125
CUTL1	-0.4195
PMS1	-0.694
ZNF689	-0.261
EIF3E	-0.3995
IL9	0.0776666666666667
RPL31	-0.3885
LY9	1.0165
ATP2B3	0.0265
KDELR2	0.500791666666667
TFCP2	0.46
NLRP12	0.850875
FLJ45422	-0.814
TLE4	-0.3992
ZNF570	-0.2935
FLJ43806	-0.5625
TLK2	-0.768
CIR	0.39675
MARS2	-0.035
COL24A1	0.58675
SDF2L1	-0.4655
HIBADH	0.351833333333333
IGFBP3	-1.68471428571429
C12orf23	1.173
PSPC1	-0.45575
C20orf43	0.09325
TRAV20	0.1315
ARHGAP24	1.65625
KIAA1975	-1.875125
C1QA	3.5678
DNTT	-4.9295
C10orf6	-0.0776666666666667
C11orf41	0.415375
HNRPF	0.481
COL11A1	6.46566666666667
UBAP2	-1.18633333333333
CDKN2AIPNL	-1.5955
C20orf174	4.42075
SPRED2	0.02175
PLA2G12A	0.386166666666667
ICEBERG	-2.31266666666667
SCN10A	0.3915
C11orf65	-0.09575
GBP5	4.489
PITPNC1	-1.19266666666667
POU3F3	1.2395
NCOA7	-0.84475
LIN7C	0.5225
LOC348840	-1.2845
NKX2-2	-3.00125
ANKRD13D	-0.45825
LOC123688	-0.555
FUT2	1.5715
TAAR8	0.0755
FZD4	1.30041666666667
PNMA3	-0.598166666666667
OR4L1	0.776
WIT1	-2.7475
EXOC3L	1.979
ATPBD4	-0.1402
KRBA1	-1.4275
UBXD6	0.4385
HOXB7	0.998142857142857
C7orf23	0.019
UNQ338	2.17125
STAB2	2.873
CDC20B	0.0315
IRF9	1.48175
CENTG1	0.373916666666667
TNPO2	-1.5885
MCPH1	0.092375
BMS1P5	-1.452
SLC26A7	1.7725
HIST1H3J	0.11525
C9orf3	0.5242
LBH	1.23675
MYO1D	0.96575
PTDSS2	-0.1395
NFU1	0.89125
DEPDC4	-1.77775
WNT7B	0.8711
GLP2R	-0.340166666666667
SETD4	-0.9976
DYNLT3	-0.00079999999999999
FKBP11	-0.559333333333333
SESTD1	1.00666666666667
FLII	0.22825
RPS16	-0.5275
CHPF	-0.334166666666667
CSNK2A1	-0.4295
SUMO1P1	0.3445
FKBP6	-1.332
ZNF214	1.44516666666667
TWIST1	0.983166666666667
DDX56	-0.920333333333333
TRAM1L1	2.8493
EPO	-3.23783333333333
MRPS18B	-0.5275
ZNF682	-0.138833333333333
RPL14	-0.5015
MAFF	-0.855
LOC51136	0.27775
LY96	1.1015
DDX20	-0.46475
ABTB1	0.7805
ARL5A	0.8761
CCT6A	-1.3095
HEPACAM	-0.281333333333333
EHHADH	0.391
RBAK	0.0761666666666667
CGB1	-0.18375
ITGB5	1.1643
YIPF3	-0.06675
FKBP2	-0.1495
NR1D1	-0.7577
TMEM110	0.8155
NEK2	-2.19216666666667
PRAMEF8	-3.435
C20orf52	-0.592833333333333
PCDHGA3	-1.003
VWA3B	0.15375
NDUFA5	0.566
THAP9	0.02025
FLVCR2	-0.09
AP1S1	-1.177125
SMAD6	-0.25725
SAV1	0.64175
SAT1	1.33325
ZNF251	0.1315
ADAMTS7	0.1943
RPP38	-0.24975
C1orf211	-2.9375
YPEL2	2.06565
RBMS1	0.49925
ZNF445	-0.374666666666667
NRXN2	0.635166666666667
PGBD4	-0.426875
UGT2B28	0.751
WBSCR16	-0.6327
NLRC3	0.50325
ASTL	0.18725
ST6GALNAC1	-1.8095
ZADH2	0.324375
MLLT4	0.159333333333333
ARL6	0.1895
MEF2C	1.75475
CBFA2T3	-0.689
AFF3	1.29071428571429
COG7	-0.0923333333333333
MYB	-0.0528333333333333
PLXNA3	0.0945
XRCC2	-1.97516666666667
MMS19	-0.48825
ST8SIA5	-1.284375
CHPT1	-0.5875
KIAA1712	-0.93475
OR6X1	-0.327
ACTR3	0.33
UGCG	1.65766666666667
OR4P4	0.03
ZAP70	-3.00425
LPP	1.341
ZNF485	0.07125
PTPRCAP	0.2625
IL12RB1	0.67
ATRX	0.5147
CHST8	0.686125
C14orf109	0.5785
ARV1	0.87025
NMB	0.492285714285714
COX5A	-1.0215
EIF6	-0.8175
MPPED2	-0.424333333333333
SEMG1	-1.541
CHRDL1	2.1055
TRAF3IP2	0.8715
WNK2	-1.3015
LILRA4	2.672
LAMA2	5.28725
PXT1	-0.05
RLBP1	-3.77
CD300C	1.23475
SLTM	-0.430125
FLJ10404	-0.8785
APOBEC3D	-1.71066666666667
RENBP	1.05483333333333
ATXN7L1	0.793375
NID1	1.4505
TUBGCP3	-0.82325
ITIH5	2.99855555555556
CCDC110	2.51725
C8A	-3.292
MGC87042	0.3215
HOXC13	-0.769
TFDP2	-1.027
HCP5	1.46275
POLI	0.6015
UCN	-1.51266666666667
ZNF764	0.388666666666667
C8orf45	0.271
FHL3	-0.51875
SPATA5L1	-1.136
MMRN2	3.65116666666667
NDST1	1.6025
COL20A1	-0.584166666666667
ZNF248	-0.5715
PELP1	-0.838166666666667
MBL2	-3.66566666666667
RNF41	0.380875
C5orf24	-0.226125
THOC5	-0.398125
SERINC3	0.553416666666667
RP11-151A6.2	1.5
CDCP2	-0.093
HIST1H2AA	0.6075
C11orf75	0.0401666666666666
FKBP7	1.03175
DDOST	-0.01575
GPNMB	1.464
TTF2	-1.8865
KCNT1	-0.326666666666667
SLC39A14	-1.03925
NGRN	0.4287
GPR137B	2.2815
MECP2	-0.24975
PSMA1	-0.3535
C16orf73	-5.99525
TMEM60	0.0503333333333333
CSN3	0.3945
NOS1	-0.0593333333333333
RAB7L1	0.46
YBX2	-1.294
KIAA1166	-0.148125
FUBP3	-0.157333333333333
ABCG1	0.712
ACACA	-0.628083333333333
ARL11	0.7329
ATOH1	0.0785
ODF1	0.0573333333333333
CREB3L3	-1.8175
TMEM127	1.39492857142857
DSCAML1	1.2305
PLN	4.0835
LYPLA1	0.645833333333333
PRDM9	-2.05475
SASP	0.64
PLUNC	0.170333333333333
INTU	0.51325
HISPPD1	-0.18975
LNPEP	0.684333333333333
YARS2	-0.689166666666667
APCDD1L	-1.2435
ZCCHC4	-0.1936
FBXO22	-0.350666666666667
TTLL13	-0.4285
ZNF669	0.129166666666667
PTGDR	4.12825
DDX27	-1.01175
KIAA0409	-0.224666666666667
GJB6	0.24425
ASB8	1.186
PLP2	-0.602166666666667
MEPE	0.22325
OR10J5	-0.1155
KRT222P	3.01625
COQ7	0.203
C1orf101	2.17725
RERG	2.7039
CHMP5	0.51475
THAP11	0.20575
ZNF43	0.449833333333333
ZRANB3	-0.785833333333333
KRT13	-1.269
MRPL19	-0.277
RBBP9	0.264625
SPATA17	1.004625
BXDC5	0.1365
PAFAH1B1	0.00775000000000002
MAGEE1	0.4125
OSTF1	0.6575
KIAA0323	-0.152
TXNDC13	0.063
CNTN4	2.514625
LCE1B	1.44
UNQ501	0.43125
ZNF154	0.6795
C3orf64	0.8155
SYT5	-0.2816
PON1	1.131
FLJ10357	0.166375
ATP4A	-1.4405
GNPDA1	-0.229
MGAT1	1.15466666666667
C14orf121	-0.39075
SLC35B2	-0.20475
MIER3	-0.119333333333333
CHEK1	-4.11775
ZNF8	-0.186833333333333
TXNDC1	0.147666666666667
CKB	-1.0563
RTN3	0.486214285714286
FZD2	-1.517
PART1	-0.98375
PSMB6	-0.2315
PCDHB8	-0.9475
PHC3	0.3158
PPP1R8	-0.415833333333333
NOVA2	2.47333333333333
TNFRSF11B	-2.475
GOLPH3	0.903333333333333
UBLCP1	-0.067
SUHW3	-1.2575
TTLL1	1.51775
OPN4	0.383
OR13G1	-0.104
ZPBP2	-0.000999999999999995
HSD17B11	-0.1485
C9orf50	-0.617
DHDDS	0.227357142857143
CTSW	1.7433
NEFM	-2.2035
MRPL28	-0.78475
SYN1	0.4105
PIGV	0.629833333333333
ZIM2	-0.9665
APBB1	0.517
SND1	-0.45
C1orf123	0.301666666666667
CHD3	-0.45625
BHLHB8	0.002
RNASE2	0.889833333333333
BCAP31	0.159375
SLC25A44	0.358666666666667
CHD6	-0.5905
PIB5PA	1.57453846153846
SELS	0.247625
LOC541471	0.241
FAT2	-1.542
ZNF81	-0.1005
OR4C16	0.2775
FLJ10081	-0.1462
LRRC4	1.69975
CS	-0.195666666666667
N4BP2	-0.7945
IGFBP7	3.183
ZNF318	-0.376083333333333
NDNL2	0.909125
ZNF609	0.236875
SIRT4	0.75275
EXOSC10	-0.76875
ECE2	0.01625
OVGP1	-0.4515
GTPBP3	-1.49975
PACS2	0.2685
C19orf36	-0.183333333333333
ARL4C	-0.360375
ATG4B	-0.520125
UBQLNL	0.63975
RHOXF2B	-3.777
PLEKHG2	-1.1585
GALR1	0.352
AQP4	-0.1168
HDAC7A	-0.192333333333333
DCUN1D3	0.6465
OR8A1	-1.0605
CCRN4L	0.152375
CBR4	0.184833333333333
KIFC1	-2.85116666666667
SLC7A14	-1.763
LHX5	0.607
TRPC7	-0.422
LPXN	-0.30275
SERPINA1	-1.54725
RPS13	-0.4142
BPIL3	-0.9345
PRKAA1	-0.8385
FADS2	-0.2854
ENAH	0.3845
PRO1768	-0.507
APBA2BP	-0.53375
LIPH	2.75483333333333
C3orf33	-0.244
RCC2	-0.209285714285714
ALDH1A2	-2.7213
RNF103	2.03275
AHCY	-0.923375
ALG12	0.332
CCL17	1.4335
ZNF543	0.934666666666667
ESRRG	3.0023
CNGA1	-0.993666666666667
RDH5	1.62766666666667
OTX1	-0.8506
PTGFR	0.388166666666667
CDR2	-0.099875
SELE	6.601
NLGN2	-0.892666666666667
EXOSC9	-1.1435
ZNF566	0.4125
KLRC2	-4.7555
GPR12	0.478
KIAA0196	0.36025
PDRG1	-0.208
SSR3	-0.385785714285714
MSI1	-1.132
CST9	3.8405
CC2D1A	-0.489375
PLAGL1	0.114222222222222
ZNF778	-0.5765
RNF2	1.738625
KLF6	0.621666666666667
THBD	3.92016666666667
tcag7.1314	0.9955
NR5A1	-0.0131666666666667
ABCD2	1.323
DNAJC7	-1.73475
CLEC4C	1.082
TM2D3	0.39525
CCDC4	0.421
PLAC2	-1.48875
DCD	0.081
FAAH	1.905
POLA1	-0.978
TM7SF2	-0.707
FLJ39822	0.224833333333333
FLOT2	-0.364375
