Hybridization REF	TCGA-A8-A08O-01A-21R-A056-07
CCDC86	-0.855
ZFP30	-0.47225
CTBP1	0.422666666666667
MAK10	-0.045
STXBP5	-1.14583333333333
LOR	0.6432
MAP6D1	0.796375
ARMC7	1.538
TMEM150	0.6658
NSL1	-0.305
KIF5A	-0.894875
ASCC2	-0.354666666666667
PSENEN	1.171
OPTC	-0.312
FCRL2	-0.1155
KBTBD11	0.651375
PCK1	-0.9815
CENTD3	-1.09075
MEGF8	0.611625
ALPPL2	0.034
OBFC2B	-0.330666666666667
ZFYVE20	0.038375
GALC	1.98033333333333
CTRB2	0.162
C20orf71	-0.160333333333333
TBKBP1	0.288833333333333
CAMLG	0.832625
TREML4	0.5845
RSAD1	0.828
TUBA3D	-0.5733
KIAA1833	0.62675
PNPLA1	0.1495
LRRC34	-1.74166666666667
CDH26	-1.20083333333333
ZNF167	0.202
ZBTB26	-0.2496
VWF	3.3983
VTN	-0.889
BAD	0.9505
PDS5B	0.492083333333333
ZNF644	0.5185
SH3GLB2	0.433375
SMPDL3A	-0.3135
NRG2	-0.281125
IL15	-0.009
GABARAPL1	0.800333333333333
LAT2	-0.1309
SLCO1A2	-2.3055
LIG4	-0.429666666666667
GSDMDC1	0.42175
BMP4	-2.0855
METT10D	-0.05275
SYCE1	0.636
SPANXD	-5.8365
SLC12A9	0.4085
MC1R	-1.1495
RNF168	-0.88625
TRIM69	0.171
GALNT7	1.457
ISG20L2	-0.15875
KIAA2026	0.5525
TNFAIP8L1	-1.3695
DPY19L2	-0.303
C12orf63	0.651
PRDX5	-0.193
MED6	-1.19025
TXNDC5	-0.657125
CD46	0.742166666666667
CCK	-1.2705
C17orf48	-0.505
ANUBL1	2.39575
SIT1	-1.388
TYSND1	0.146166666666667
DEF6	-0.675333333333333
GLT8D4	1.73125
UTP14A	-0.092875
RPH3AL	1.46575
NXF1	0.264166666666667
TRERF1	0.361166666666667
TUBB3	-0.934
SLC24A2	1.399
SEC22B	0.579916666666667
ZNF653	0.142
GGTL3	-0.622833333333333
CDKL2	-0.117
CTF8	-0.275
EPC1	1.101
CYP4A11	0.0385
THRSP	3.588
LELP1	0.106333333333333
TES	1.04425
C17orf87	0.6955
FERD3L	0.15425
SH3TC1	-0.6825
RAB36	1.7755
CRYGB	-1.2495
GRIA3	2.0161
BHLHB9	1.22275
C1QTNF9	1.64675
GOPC	0.127875
PNPLA8	0.3495
ZNF444	1.27375
FMO1	4.5085
POLR3C	0.0795
SLC35F3	0.6745
SGCG	-2.87416666666667
DCDC2	-0.488166666666667
NANP	-0.846
MGC23270	-0.388
BEX4	1.136
HYDIN	0.3626
RPS6KB2	-0.90775
ADRM1	-0.676166666666667
BAT3	-0.20825
RAB31	2.947
SCGB2A1	2.866875
SLC6A14	-2.751
DDX4	-0.59625
PRRC1	0.417166666666667
AP3B2	0.65
TRGV7	0.471666666666667
TMEM184B	1.21675
ADPRHL1	1.32583333333333
C21orf45	-1.12225
ARNTL	1.300875
AADAT	-0.659375
CCL2	0.0995
SNTB2	-0.4025
RGS9BP	-1.706
KPNA1	0.4595
TMEM41B	0.501166666666667
S100A11	0.376166666666667
DOT1L	-2.1575
EFHC2	0.119375
CLTC	0.3425
SRP9	0.720142857142857
ZNF521	1.14775
FAM26F	-2.83675
GPR88	0.894
COL13A1	-0.838333333333333
CHMP4B	0.7425
SIGLEC6	0.184
NFAM1	0.404375
PVRL2	1.8696
ALKBH4	0.11775
CCDC93	-0.2656875
NXT1	-0.0235
KCNK4	0.282
TROAP	-1.54533333333333
KCNA10	0.1885
CCDC114	0.290166666666667
RAN	-0.09275
LMTK2	0.3825
LOC400657	0.3185
UFC1	0.87075
UBE1DC1	-1.197
EEF1A1	-0.249166666666667
CHAC1	0.063
HMGA2	-4.9312
B3GALTL	-0.42075
ING2	1.1935
C1orf109	-0.30025
INTS3	0.46725
ZNF558	-0.201
TRPM4	2.25733333333333
LTB4R	-1.4795
ISYNA1	-0.6105
LSM7	-0.745
LRRC47	-0.2165
ZNF179	-2.60083333333333
EXDL1	-0.384166666666667
SLC4A10	-0.999375
ACSS2	-1.18716666666667
COPS7B	-0.4695
KIAA0040	2.32816666666667
C1orf95	-0.171
AP1GBP1	-0.17525
OR9A2	-0.2595
FAM71C	0.2115
RIN1	-1.35366666666667
ITGA4	-2.034125
DNAJC6	-0.141833333333333
CLOCK	1.0225
SLC35A4	0.434666666666667
DSG4	0.1565
LOC26010	0.18275
NSUN2	-0.37875
TMEM86B	-0.4377
C14orf135	-0.402
KIFC3	-1.2345
PHF5A	-0.72325
NCAPH	-1.970375
STK11IP	-0.2575
FLJ42953	0.71425
CCDC19	1.654
ZNF329	0.6255
TAX1BP1	0.669
ZDHHC18	-0.083
C10orf88	0.47275
TMBIM4	1.3241
NMUR1	-1.0035
KIR2DS4	0.2125
C9orf90	-0.139625
MGC87631	-1.693
KDR	2.7671
ST3GAL2	-0.791625
RLN2	4.0405
HPD	-3.8385
MOXD1	-2.1755
PDGFRL	2.02133333333333
SMYD4	-1.16215384615385
FAM103A1	0.0581666666666667
MFAP4	-0.311333333333333
LOC285141	-0.37025
TMEM45B	-1.41425
SMCR7L	-0.581357142857143
GZMH	1.541
CBLN1	-2.35333333333333
CNNM1	-0.728
PHF17	-0.540416666666667
NUP98	0.287416666666667
RMI1	-0.5455
PTPRS	-0.10475
ANKRD57	0.559875
CLDN15	-0.853
OR51A2	0.084
GUCA2B	1.096
DOCK9	1.05375
ITGB1BP1	-0.974
DLG2	-0.496125
BRAP	-0.165
SESN3	0.12075
ZC3H7B	0.3215
FAM101A	1.84733333333333
FKSG24	-0.54775
ZYG11B	-0.472
RFC2	-0.96825
SH2D3A	0.547666666666667
DVL3	0.101916666666667
ADFP	-1.11
KRIT1	-0.426375
SERTAD3	2.75283333333333
LEFTY2	-3.22225
KRT27	-0.493
SCFD2	0.19175
MN1	-0.9655
RORA	0.04475
PTPRD	-0.28675
PIAS2	-0.465333333333333
CYP4X1	3.22533333333333
FBXL15	0.38475
MYH15	-0.237333333333333
CRX	0.130666666666667
TBC1D13	1.124
SLC22A17	1.79666666666667
PLK2	0.758
ARHGAP9	0.32225
EIF1B	-0.28775
C20orf185	-0.278
DEFA7P	0.3495
PRIM1	-2.29366666666667
CRYAA	-1.47025
BACE1	0.381
AGTRL1	0.950166666666667
ACAD9	0.374375
GRASP	0.2805
RBP4	-2.26466666666667
TFB2M	0.028
METTL9	-0.6293
ATP5O	-0.54725
SP100	0.3568
CPSF1	-0.146333333333333
S100A4	-1.3305
LIME1	-0.92475
GPR137C	0.398
OR2A2	0.3875
C2orf29	-0.524
NUP188	-0.973
SDPR	-1.218
RAI1	0.198125
RPS20	-0.769
LAMB1	0.1155
ADM2	-0.231833333333333
ZNF229	0.5815
DKFZp434K1815	-0.565125
EPN3	3.378
CLIC3	-1.236
MEIG1	-0.24975
HMGB4	-0.0085
STARD10	2.221
KLF8	2.1065
EPB41L2	-0.4605
JMJD6	-0.307125
CTSL1	-0.760333333333333
GPR27	0.936
ELAVL4	0.757875
MMP21	0.3695
PPM1B	0.47375
SUV39H1	-0.8865
AAMP	-0.24625
TUSC4	0.519166666666667
MBD6	0.4825
KLK13	-1.194
FMNL3	0.268833333333333
TRIM13	0.30825
C15orf5	-0.64225
IQCF1	0.255875
CACNG8	0.214
SLC35D3	0.323166666666667
ZDHHC9	0.838
ODF3L1	-0.34425
C9orf86	-0.44
TSEN2	-0.65025
C17orf64	0.2255
SEPX1	0.2759
TSPO	0.592166666666667
SYMPK	0.5355
ADORA1	2.7885
TSPAN10	0.516
SEMA6C	0.1865
RTTN	-0.9304
IL2	0.285666666666667
ARRDC3	0.0583333333333333
TBPL1	-1.00516666666667
STX12	1.018
MRPL39	-0.99225
OR8H3	0.3025
IFIT5	1.168
CASC5	-2.383625
FAM46A	-1.27483333333333
HPCAL1	0.992625
CYLC1	0.4195
VGLL2	0.0765
C20orf191	0.0485
CDH1	2.21941666666667
ITPA	-0.605
CCDC101	-0.02125
D15Wsu75e	-0.56725
EDA	-1.05
CREG1	-0.567
OR7G2	0.4555
SAP18	1.21208333333333
IFIT1	0.98325
CALML3	2.345
FLJ37440	2.2805
FNDC5	-0.35575
SERPINB6	0.755285714285714
JUNB	1.8335
SYS1	1.089
SCN2A	0.112166666666667
ZKSCAN5	-0.5527
WNT7A	0.347666666666667
TSHZ3	3.012
RNF148	0.61175
H6PD	0.155375
CAD	-0.818333333333333
ZNF449	0.51425
DOCK10	-0.4565
FAIM2	-0.094
HEXDC	0.08225
PRB1	0.1075
C14orf148	-0.006
ETHE1	1.209
IRF5	-0.2662
GNMT	-0.439
MGC16291	-1.252625
RPAIN	-0.592428571428571
CAGE1	0.193
CNTNAP3	-2.492875
ACTR1B	-0.3385
EEF1E1	-1.146
MSX1	-0.482375
ESF1	-1.3494
HSPC171	-0.21425
MRPL2	-0.567666666666667
RDH12	-0.715166666666667
CELP	0.249
METRNL	-1.1675
C10orf116	3.841
C19orf48	-0.958
ZNF346	-0.00212499999999999
NCR1	-0.9455
C10orf64	0.9165
CD52	-0.47575
VPS18	0.885875
AP4S1	0.335166666666667
NPBWR1	0.4165
TPK1	0.995
UBA52	-1.17027777777778
RIPK1	0.7915
CPNE3	0.0707
HSPC159	-0.455625
C8orf38	0.1905
LRRC4B	-0.451
PARP10	0.7349
ANKRD50	1.353
CXCL9	4.72025
FGF18	0.250818181818182
EIF2A	-0.63625
SLC20A2	1.25216666666667
KIAA1549	0.61625
SPINT1	2.0168
ZNF584	0.1255
CRBN	0.278666666666667
ABCF3	0.0345
NCBP1	-0.4295
PLA2G4F	0.591666666666667
PCDH10	-0.795
TTC21A	0.051
C20orf144	0.351
FGFR1OP2	-0.2675
SLC9A1	0.256
CHRND	0.3
FOXF1	-3.51075
KIAA1467	1.098
TPO	0.525833333333333
LTF	3.4245
DNAJB9	0.2955
MRPS27	-0.305
bA16L21.2.1	0.41675
WBP2	-0.101666666666667
MRGPRX3	-1.82283333333333
PRPF18	0.8175
C10orf58	0.26775
SMOC1	-3.0299
ADAT3	-0.149
TMEM138	-0.10525
TMEM131	-0.295625
TIMM8B	-0.502
MYH7	-0.519333333333333
ST6GAL2	1.8925
KIF1C	0.55225
SUHW2	-1.1785
PAPSS1	1.34875
CABP2	-0.2385
HOXA4	-0.51025
ELF2	0.44575
SEMA3D	0.4388
MC5R	0.2335
OGFR	0.261
FLJ30092	0.636833333333333
TGFA	-0.3706
MMP17	0.5675
KIF15	-2.71675
CHIA	0.27875
CATSPER3	1.02025
CEACAM7	-0.10675
PADI2	0.940875
HOXA9	1.21
LNX2	1.36683333333333
TMEM144	1.97975
HIF1AN	1.014
METTL7A	-0.8884
C6orf165	2.05383333333333
KIAA1468	0.92675
DSG3	3.0195
ZNF180	0.974
EIF4E3	1.239125
SLC46A1	0.6305
DKK1	-6.0525
ZNF205	0.785666666666667
LOC162073	0.761722222222222
COX7A1	4.49475
MAGEA1	-4.9605
NEDD8	-0.32625
KLHDC5	-0.0758888888888889
C3orf19	-0.2005
MRPS2	-0.616
POLR3H	0.304428571428571
ABHD11	1.0593
TMEM17	0.4045
PAIP2B	-0.1137
MAT1A	-3.91075
LGI3	-0.15675
THUMPD2	-0.077
TKTL2	-0.00225000000000002
XAGE3	-1.42933333333333
CALM3	0.415333333333333
C6orf136	-0.406333333333333
KCNC4	0.0731666666666666
RGS9	1.74516666666667
ACIN1	-1.13883333333333
SPATS1	-0.667
XKR8	0.216
FAM84A	2.15058333333333
MS4A7	4.39827272727273
AGXT2L2	0.1685
OR1F1	-0.2605
SMAP1L	-0.563083333333333
IPO11	0.154625
ZC3H11A	0.1895
C1orf151	0.92425
RNASEH2A	-1.371
CCR10	-1.229
TXNDC11	-0.0869166666666667
TMEM112	0.533875
MAP1B	-0.991642857142857
NVL	-0.13025
PKM2	-1.05045
ARC	-0.63775
NUP54	-0.695
PPFIBP2	2.1245
STAT2	0.748125
PTAFR	1.577
ROBO2	-0.378125
RNF40	0.333166666666667
CCDC135	-0.4265
IFT81	-0.2347
MORF4	0.12625
TM7SF3	0.451375
OR10H3	0.3645
ABP1	-0.04525
CHRD	1.22075
PLEKHA8	0.111666666666667
NCALD	1.26891666666667
OR5AK2	0.60975
ACCN1	0.208833333333333
SLITRK1	-0.488
ARMET	-0.2455
C9orf52	-0.45525
REEP4	-1.17375
MTSS1	0.511625
ADH1B	4.17133333333333
DLD	-0.12625
CDK5	-0.3455
PPFIA1	0.0134374999999999
WFDC3	1.095
DNAJB12	1.2065
RANGRF	-0.233
MLANA	-4.65075
AMY2B	0.948
KIAA0319	-1.3095
RPS7	-1.232
JAK3	-0.2588
ARFGEF1	1.2695
CXCL5	0.565333333333333
TRAPPC4	-0.56775
CETN2	0.8935
HSPC111	-0.82175
RHOBTB3	-1.263
PHLPP	0.374
RGS10	-0.12825
TMEM58	1.16475
CHERP	-0.42775
HSP90AB3P	-0.452833333333333
FSTL3	-0.556
PEX11A	1.0445
OR5V1	0.5225
FCN3	2.03075
PTPN3	0.8525
NPTX1	-5.377
C21orf84	-1.1865
C11orf51	-0.08575
ZBED2	1.11825
FLJ90757	0.72075
NPY2R	1.115
PLD3	0.37875
SYT17	2.82883333333333
SGSM2	-0.00725
OR1A2	0.14125
FOXP1	0.74275
SLC5A1	1.4875
POFUT1	-0.4164
EPHB6	-2.92716666666667
MYO1G	-2.107375
STAC	-1.7719
KLHL17	-0.388333333333333
RGMA	1.8581
TJP2	-0.0062
FAM114A1	0.254666666666667
SERINC1	0.881333333333333
SLC9A8	0.653
PEX19	0.77175
EDN2	2.0105
PSMD7	-0.645222222222222
C3orf41	-1.711
UQCR	-0.699375
PPP1R3C	1.18675
LRP4	-1.8085
TM2D1	0.76475
TTC17	0.2810625
C4BPB	-4.733875
CCL25	0.47525
ZNF253	-0.492333333333333
CHRNA9	-3.57075
SOX11	-1.477625
HIVEP3	1.8645
CGN	2.81308333333333
C3orf35	0.061125
PKD2L1	2.489
SYVN1	0.325
PDE8B	-0.143125
LOC439951	0.55925
LTC4S	1.87216666666667
MIF4GD	0.0573333333333333
SMARCA2	1.5519375
TUBGCP6	0.039
CABLES1	0.716625
C16orf77	1.6675
ZNF791	0.354
FUT5	-1.337
ADH6	-2.4225
P4HB	0.26025
CLDND2	-1.024
ALKBH8	-0.2775
PLAC4	-1.90375
F11R	0.696357142857143
MGC35295	1.87433333333333
PDZD4	-0.482166666666667
LOC389073	-0.232
FAM80B	0.182666666666667
PSMB1	-0.52925
TXN	-0.607
VIPR1	1.4551
WBSCR18	0.3529
EXOSC6	-0.749
ACTA2	3.86983333333333
SP5	-3.88608333333333
ANKRD1	-0.96025
DDR1	2.775
ATP6V1D	-0.7015
PTGS1	-1.64691666666667
RNF157	-0.92975
DCC	0.70275
SPAG7	-0.057
FBXO18	0.1345
UBE3C	-0.2504
HOXC6	0.95075
LRP2BP	0.327166666666667
MYST2	0.2495
PDSS2	-0.529
ATE1	0.9235
ARAF	0.2965
KLF10	0.22875
PLA2G2E	0.0545
ASCL1	2.53566666666667
TSNAXIP1	0.844
FAM131B	0.155625
IFNA10	0.369
NUP43	-1.127875
FAM44B	0.836
L1TD1	-3.867
NMD3	-0.6505
C18orf54	-1.0696
PHOSPHO1	-0.6135
RAG2	-0.5985
EMILIN3	-0.516
METTL3	-0.902
VPS13C	0.31075
REXO2	-0.77775
ANXA4	0.04725
CA1	-1.21175
DCP1B	0.73
TULP3	-0.659666666666667
ATP2A2	0.208714285714286
ATIC	-0.81825
ADAM15	-0.82025
NPL	0.509333333333333
LGR4	0.283125
UEVLD	0.991833333333333
GAB1	1.873
SNAI2	0.718
ZGPAT	0.0081
SNF1LK	-0.085875
DLEU1	-2.211
UBE2Q1	0.410875
ZMYM6	0.3303125
JPH3	-1.52533333333333
FAM38A	-0.414416666666667
PXK	-0.504666666666667
DENND2D	2.73275
BAX	-0.9805
CP	-4.67309090909091
RPL37	-0.935
G6PC3	0.706
NCOA4	1.0195
LRRC14	0.155125
GORASP1	0.61475
FCHO2	0.8275
CYP24A1	-3.5642
FXYD3	2.40325
SMARCAL1	0.0585
ABCB8	0.354166666666667
CCDC44	0.2405
PRDM7	-3.06575
USH1C	-1.4995
DNAH5	1.4985
SRF	0.329583333333333
MAL2	2.06
PGPEP1	0.180916666666667
SIN3B	-0.795
SEMA3C	0.793833333333333
GRAMD3	2.1265
FBXO10	-0.222875
OR5D13	0.0525
FLJ31818	0.515
CACNA1I	0.269
S100A13	1.056
TP63	2.92692857142857
ANXA11	0.9781
WDR66	-0.4965
CSF2RB	-0.073
IFI44	-0.3425
DACT1	2.22533333333333
ANKRD23	-1.19875
ATP5G1	-0.58
C21orf70	-1.27183333333333
PPWD1	-0.805
DNAJC13	-0.271
PAH	-2.04116666666667
PTCH2	1.02125
TRMU	-0.9895
CCDC9	1.043
USP3	-0.0828
DCLRE1C	0.6891
FAM55C	0.6355
FRMD4B	1.1285
CYP2R1	0.18575
RFPL1	-0.2868
XPO5	-0.48325
ARL6IP2	0.183
OSBPL5	1.58525
MMP9	2.32572727272727
KIAA0802	0.414625
DHRS2	-2.66283333333333
SGEF	1.045
TXNDC10	-0.1319
EXOC6	1.59075
RPS27	-0.062
PNCK	-0.0763333333333334
FSTL1	0.198
AACS	0.57275
SLMAP	-0.271
SAMD4A	-0.9397
ABRA	-0.0495
SMARCD3	0.466
PKNOX2	-2.32166666666667
A4GNT	0.1025
C9orf39	-0.955166666666667
RALYL	0.12825
MGC33556	-2.672
C10orf25	-0.572
BBOX1	4.4305
NHEDC1	0.622
XDH	1.3185
GCSH	-1.1335
EDN1	-0.199166666666667
MTERF	-0.14375
CLK4	1.1345
ZNF799	1.35666666666667
KCNG1	-2.07425
CXCR4	-1.45033333333333
PTPRR	-2.48325
IRAK1	-0.29975
LOC401397	-0.5495
TMSB10	0.192
CXCL3	-3.1701
TMC4	3.077
OR7A10	0.062
STYK1	2.038
CHRNA10	0.4795
CCNI	0.8425
EP300	0.00792857142857143
LOC165186	-0.824166666666667
HIC2	-2.38675
SDR-O	-0.071
OR2W1	0.22
KCNA6	0.5145
TRIM74	-0.179
REEP6	0.112
ATP5G2	0.16125
ERG	0.679125
TMEM42	-0.42
PARN	0.238166666666667
SOD2	-1.3739375
DIRAS1	-0.668166666666667
PNPT1	-1.57475
JOSD3	-1.695
hCG_40738	-0.207
PDE1C	-1.34525
SEMA4D	-0.331875
AGPAT1	0.321666666666667
NOSTRIN	0.98575
MAP3K3	0.142
MAX	0.289214285714286
CAPS	1.41633333333333
SERPINA12	0.4055
OSBPL8	-0.940375
RICS	1.6093
NR4A2	-0.254166666666667
PPCS	1.34433333333333
LONP1	-1.2635
SCYL3	1.33775
HERC2P2	-0.736
FIBCD1	-0.3275
C15orf41	-1.67475
DMC1	-2.18166666666667
C20orf27	-1.3605
RPS6KA5	0.9394
FAHD1	0.0285
SLC12A4	-0.0605
BRCA1	-1.18916666666667
GBL	-0.07375
SLK	0.563166666666667
NUDT9P1	-0.2025
NOXO1	0.8815
USP52	-0.468
BAZ1B	0.341125
SLCO2B1	2.3785
BBS12	1.35816666666667
LRGUK	-0.692333333333333
TERF2IP	0.22575
COL1A1	5.5625
KIAA0090	0.01775
GRK5	-0.397
AP1S2	-2.0219
TMEM52	-1.02533333333333
CA11	0.326375
OR4A15	0.428166666666667
ACBD3	0.9048
SPAG11B	-0.07575
PRDM2	1.3717
FOXP3	0.19875
SMYD3	-0.0394
LOC389199	0.4515
LGI2	0.4335
NAPE-PLD	-0.2424
ANKRD6	1.336
WDR45	0.610333333333333
SHROOM1	-1.056
PSCD3	0.4635
PYY	1.2435
KCNC1	-0.7125
ARHGEF9	0.664
OR8J1	0.162
GPR55	-0.0808333333333333
NS3BP	-1.046
C10orf22	0.687833333333333
NAT8L	0.24775
DUSP4	-1.33583333333333
FOXM1	-1.708
GRAMD2	0.8431
ZBTB48	0.085
BUD31	-0.086
PABPC5	1.1795
CCDC41	0.17325
FBXO11	-0.0939166666666666
C6orf148	-1.225
RFXAP	-1.857
C6orf15	1.16533333333333
CDK8	-0.547333333333333
C6orf70	0.024875
TESSP2	0.2595
ALG2	0.132
PPP1R3D	0.20925
TPM3	0.647
SYT13	2.068
EPB42	-1.188
CETN3	-0.776
PRY	-0.2155
NTHL1	-0.111333333333333
POLR2B	0.396
RPS28	-1.112
P2RX3	0.3715
LYZL4	0.03375
WBP4	0.1546
PMM1	-0.48775
C11orf79	0.3245
CBLL1	-0.66675
IL1F10	0.604333333333333
VAX2	-0.804
SETDB1	0.291833333333333
LRAP	-3.7945
GCLM	-0.142
CPEB3	2.02225
PPM1A	0.8705
INTS1	0.06275
CAMTA1	0.190416666666667
SAMSN1	-2.6855
LOC158830	-2.675
GMPPA	-0.751
AIPL1	-0.14325
IL24	1.977
BDKRB1	-2.58883333333333
MLF1	0.4745
TAF12	0.32825
ID1	-2.155625
THADA	-0.217625
PIK3CB	-0.05675
OR4N5	-0.297
TBC1D17	0.238333333333333
COX8A	-0.2535
CDCA4	-1.194
C2orf44	-0.6165
ZNF534	-1.27675
IMMP1L	-0.09975
NIPSNAP3B	0.3195
FTMT	0.26275
PWP2	-0.7205
MMP15	-0.3972
DNAH11	-2.011
MTMR14	-0.044375
DNAL4	0.8495
IPP	0.76525
TMEM59	1.04125
C1orf157	0.4425
RGS4	1.43166666666667
DDX18	-0.744666666666667
SNX6	0.418
ZNHIT2	0.782333333333333
NCDN	0.353833333333333
FLJ33534	0.51025
RAG1	-1.6075
OR4D10	0.3675
PTPN5	-0.3825
POMT1	0.49575
LRRC8A	0.6615
CYP1A1	-1.67675
CAPN1	0.396333333333333
DDHD2	0.776125
GRIK2	-0.55175
GNRHR	0.5465
PPBP	0.41625
HTR3A	-0.882625
SLITRK4	0.9355
ANKRD49	-0.15875
BTF3	0.272
SARS	0.34825
C13orf18	-0.102333333333333
CACNB1	-0.229071428571429
QKI	-0.164318181818182
SETMAR	0.292
MAN2B1	0.643833333333333
EML3	0.143
ACADL	1.005
OFD1	0.09475
DEFB114	0.787
CGA	-3.5877
PEX16	0.308333333333333
LRRC10	-0.083
GNG12	-0.234
C1orf152	0.1295
CHRM1	0.456
CD53	-0.47225
DBH	-1.1025
TFAP2B	0.005375
HIST1H2BJ	-0.833
FAM46D	-0.7425
TMEM11	-0.70925
C3orf32	-3.21825
PCCB	-0.123125
IPO13	0.342875
C6orf105	-2.10775
COMMD5	0.546
SUV420H1	0.2149
LTBR	1.1215
ARHGAP15	-2.11675
HDHD2	0.49725
TDRKH	0.178333333333333
LOC401052	1.488
PSG4	-0.29275
GNB4	0.2327
SPATA4	2.06325
SLC9A3	0.229
OSBP	0.621333333333333
NBPF3	0.317166666666667
DOCK11	-2.046
SLC39A5	-1.51033333333333
PRR5	0.7215
C10orf63	0.293625
SMTNL2	-2.02375
ADRA1A	0.00724999999999996
ASAH1	1.8783
DOM3Z	0.2501
GIPR	0.5165
AHI1	-0.913583333333333
NADSYN1	0.0621666666666667
RGS14	-0.4726
IL18BP	0.4091
RTN4RL1	2.23633333333333
ARMC6	-0.84425
PSMD5	0.623
HK3	0.9743
OR4S1	0.68
RSU1	0.7766
MAD2L1	-2.06533333333333
EIF4A3	-0.70275
DLEC1	-0.625166666666667
E4F1	0.312
CHMP2B	0.3091
CAMSAP1	0.08025
RPS21	-1.4885
ARID5A	0.2175
UBE2N	0.3223
IGSF8	0.6015
MAGEB6	-1.7235
ACAD11	-1.6766
MGC4172	-0.57975
LMO4	-1.2825
KLKB1	-0.178
HP	-0.619
HDAC3	-0.0535
SCHIP1	0.5355
CLCA1	0.066
OLFML2A	1.68275
C1orf112	-1.25775
KIF19	0.848833333333333
HAPLN4	-0.1203
CXCR7	0.0055
GOT2	-0.369
RAB38	-1.740375
DCX	1.66375
PPM1H	0.194833333333333
NFYC	0.57
KIN	0.2025
ZNF228	1.3715
PLSCR4	2.36283333333333
HIG2	-0.0625
FAM79B	6.021
C21orf86	-0.859
KCNK10	-0.529
ZNF738	-1.231375
FSTL5	-1.19833333333333
OR6A2	2.2555
OTOA	0.6015
EXOC1	0.922875
AHRR	-3.073125
PDAP1	-1.18541666666667
C19orf6	-0.214125
ZAN	0.26725
LY6G6E	0.5505
EIF4E2	-0.6565
C20orf198	0.419
ZNF324	1.069
CYP3A5	-3.7535
ENTPD7	0.713333333333333
MBOAT5	0.552833333333333
GJB5	0.724
TTC13	-0.63825
S100Z	-1.81616666666667
KIAA0664	-0.6335
PDGFRB	2.6055
IL17D	-0.34325
OR56B4	0.1105
RDX	-2.649
SLC34A3	0.487
IL28B	-0.266
JUND	0.3705
CHRNB1	-0.180375
CAMK2B	0.24025
FETUB	-1.8175
CXorf23	0.990125
MRTO4	-1.189375
TTC3	0.783
NDUFB8	-0.109666666666667
EDG2	-0.62625
SEMA3G	0.9545
IL23A	-1.41275
GRHL1	1.4936
LOC441054	-1.444
WDR65	1.002625
PSTK	0.16425
STOML3	-0.150166666666667
R3HDM2	0.2632
C5	-2.12525
SLC2A10	1.63516666666667
C3orf22	0.56425
PAQR3	-1.61738461538462
ANKRD26	-0.48825
HCRTR1	-0.228
LOC399947	-0.958
PSD2	-0.406
TIGD2	0.406666666666667
SCRN1	-1.29475
COQ10A	-0.60925
DDI2	0.378
METTL7B	-0.739833333333333
UCN2	0.6295
FAM92A3	-1.48525
WDR16	0.24725
ZNF511	0.779
ZMYM5	-0.71975
POLR3G	-2.48475
ZNF586	0.08625
C1orf49	0.3905
TANK	0.588333333333333
RCAN1	-0.652
PELI3	0.762833333333333
LIMD2	-0.567583333333333
TMEM189	-0.467
NTN4	1.06075
LOC151300	-0.682
CLEC2A	-2.7995
GPR135	-0.315625
DPYSL4	-2.2383
JAK2	0.550333333333333
TSHZ1	1.02133333333333
TM9SF4	-0.185125
ZNF264	1.3585
SIRPG	0.679125
BICD1	-0.22325
HERC6	1.43183333333333
METTL5	-1.3095
CASP1	0.05575
PRRT1	-0.228
PLA2G4C	2.6555
ICA1L	-0.417785714285714
TPTE2	-0.0993333333333334
OTUD7A	0.449833333333333
AQP11	-0.62075
APOA2	-4.3631
KALRN	-0.4551
SECTM1	0.360666666666667
IFNAR1	-0.1475
TALDO1	0.236375
RAB11FIP4	-0.166166666666667
EIF5A	-1.2945
FAM49A	1.53575
NEGR1	0.597333333333333
YTHDC2	0.018625
EHD2	1.27925
NCF1	1.3739
SCRT2	0.9445
HOXA5	-0.6545
NUP133	0.332
FGF12	-0.812
SLMO2	-0.329
SNTA1	-0.449875
CACNG2	0.310375
GCM1	0.473
ELF1	0.726666666666667
TLR5	2.39225
TCFL5	-1.44591666666667
RBMY2FP	0.1195
LOC100125556	0.28675
FAM129B	0.52525
MAP3K7IP1	-0.200125
NCK2	0.2225
OXA1L	-1.1825
FMO9P	-0.079
ZSCAN12	0.14775
PSMD12	0.0604166666666667
HSCB	-0.827
CLDN10	-2.3735
MGC13053	-0.98
HPCAL4	-0.680333333333333
ASZ1	-0.6815
MEX3D	0.175833333333333
NFAT5	-0.8745
CSPG4LYP1	-0.226166666666667
FBXO3	1.3123
DVL1	-0.0348333333333333
CMKLR1	1.20883333333333
TYMS	-2.1085
PEF1	1.43
ZNF750	-0.1915
MCM5	-1.4461
MEGF11	-1.11
KCNK7	-0.2575
PTP4A3	-0.382
C1QTNF2	-1.3305
OR6S1	0.341
FAM122B	-0.67725
ZNF551	0.00475
HBQ1	-2.302
GEMIN6	-0.54275
ARSK	0.10325
RBP7	3.381
CPNE9	0.39625
DSC1	1.4615
LOC730112	0.10975
MAP2K4	-1.262125
HS3ST5	-0.441
EPB41L3	-0.09025
TEKT2	1.819
CDKN2B	0.860333333333334
ZNF480	-0.27225
MAP3K6	0.3624
MAP6	1.83233333333333
HN1	-1.1219
OR2L13	0.286333333333333
