Hybridization REF	TCGA-AO-A0JJ-01A-11R-A056-07
AGPAT1	-0.0836666666666667
NOSTRIN	1.8405
MAP3K3	0.0765
MAX	1.09528571428571
CAPS	1.199
SERPINA12	-0.383
OSBPL8	-0.45275
RICS	1.552
NR4A2	1.90616666666667
PPCS	1.32133333333333
LONP1	-1.0245
SCYL3	1.44025
HERC2P2	-2.277
FIBCD1	-0.937
C15orf41	-0.84825
DMC1	-0.310833333333333
C20orf27	-1.13775
RPS6KA5	0.4152
FAHD1	-0.670833333333333
SLC12A4	0.26625
BRCA1	-0.975
GBL	-0.3005
SLK	0.325666666666667
NUDT9P1	-0.121
NOXO1	1.5905
USP52	-1.3685
BAZ1B	0.4325
SLCO2B1	4.104
BBS12	1.28566666666667
LRGUK	-0.00266666666666669
TERF2IP	0.31725
COL1A1	4.9815
KIAA0090	0.303625
GRK5	0.2235
AP1S2	-0.7356
TMEM52	0.147
CA11	0.022375
OR4A15	0.151333333333333
ACBD3	1.4892
SPAG11B	1.185375
PRDM2	1.1666
FOXP3	0.61825
SMYD3	-0.0866
LOC389199	1.5865
LGI2	1.1035
NAPE-PLD	-0.2007
ANKRD6	1.015
WDR45	0.680666666666667
SHROOM1	2.865
PSCD3	-0.0695
PYY	0.6215
KCNC1	-2.6245
ARHGEF9	0.3475
OR8J1	0.451
GPR55	-0.0603333333333333
NS3BP	-2.4665
C10orf22	0.4295
NAT8L	-0.893
DUSP4	1.5665
FOXM1	-1.7325
GRAMD2	0.9738
ZBTB48	0.226
BUD31	-0.8075
PABPC5	2.9595
CCDC41	-1.39975
FBXO11	-0.196
C6orf148	-0.05275
RFXAP	-1.60975
C6orf15	0.8945
CDK8	-1.51033333333333
C6orf70	0.06775
TESSP2	0.8145
ALG2	0.70025
PPP1R3D	0.88375
TPM3	-0.00205555555555556
SYT13	-0.1165
EPB42	0.265333333333333
CETN3	-0.73
PRY	1.1825
NTHL1	-0.0443333333333333
POLR2B	-0.0095
RPS28	0.293333333333333
P2RX3	0.17125
LYZL4	-0.22475
WBP4	-0.6184
PMM1	0.24925
C11orf79	0.35575
CBLL1	-0.716
IL1F10	0.394
VAX2	-0.9645
SETDB1	0.1535
LRAP	-0.436666666666667
GCLM	-0.931833333333333
CPEB3	2.9815
PPM1A	0.3804375
INTS1	-0.8585
CAMTA1	0.338916666666667
SAMSN1	-0.98775
LOC158830	-1.53883333333333
GMPPA	-0.244625
AIPL1	0.867666666666667
IL24	-0.231818181818182
BDKRB1	-2.20916666666667
MLF1	0.7798
TAF12	0.03725
ID1	-1.354625
THADA	0.04325
PIK3CB	-0.4515
OR4N5	1.6305
TBC1D17	-0.282333333333333
COX8A	-0.15525
CDCA4	-0.96275
C2orf44	-0.53
ZNF534	-0.69625
IMMP1L	-0.1845
NIPSNAP3B	-0.074375
FTMT	0.22525
PWP2	-0.596833333333333
MMP15	-0.9729
DNAH11	-2.8615
MTMR14	-0.08375
DNAL4	1.12575
IPP	0.18575
TMEM59	1.58
C1orf157	1.2725
RGS4	0.386333333333333
DDX18	-0.391166666666667
SNX6	0.136
ZNHIT2	0.778833333333333
NCDN	-0.207166666666667
FLJ33534	-0.1445
RAG1	-1.547
OR4D10	0.78
PTPN5	0.679
POMT1	0.194375
LRRC8A	0.2377
CYP1A1	-1.717
CAPN1	0.175333333333333
DDHD2	-0.336125
GRIK2	-0.604
GNRHR	0.40775
PPBP	2.7955
HTR3A	-0.767375
SLITRK4	-0.19525
ANKRD49	0.0355
BTF3	0.0734
SARS	-0.01375
C13orf18	0.5225
CACNB1	-0.02
QKI	0.498227272727273
SETMAR	0.22975
MAN2B1	1.18133333333333
EML3	-0.49425
ACADL	1.47583333333333
OFD1	-0.162375
DEFB114	-0.098
CGA	-3.3518
PEX16	0.438333333333333
LRRC10	-1.038
GNG12	0.3825
C1orf152	-0.134833333333333
CHRM1	0.472
CD53	1.42325
DBH	-0.5575
TFAP2B	0.548625
HIST1H2BJ	-0.558666666666667
FAM46D	0.231
TMEM11	-0.1985
C3orf32	-2.45075
PCCB	-0.185125
IPO13	-0.123875
C6orf105	-3.203
COMMD5	0.56225
SUV420H1	-0.2654
LTBR	1.21825
ARHGAP15	-0.174375
HDHD2	0.316
TDRKH	-0.387666666666667
LOC401052	1.2815
PSG4	-1.92
GNB4	-0.9146
SPATA4	2.35525
SLC9A3	-0.5395
OSBP	0.434666666666667
NBPF3	-0.804166666666667
DOCK11	-0.8015
SLC39A5	-1.60416666666667
PRR5	1.3513
C10orf63	0.077875
SMTNL2	-0.92225
ADRA1A	0.0985
ASAH1	2.1389
DOM3Z	-0.4961
GIPR	1.16066666666667
AHI1	-0.879333333333333
NADSYN1	-0.125333333333333
RGS14	-0.1659
IL18BP	1.3306
RTN4RL1	2.00425
ARMC6	-0.1345
PSMD5	-0.185333333333333
HK3	1.6427
OR4S1	0.20075
RSU1	0.3768
MAD2L1	-2.71222222222222
EIF4A3	-0.26725
DLEC1	-0.083
E4F1	0.0223333333333333
CHMP2B	0.5016
CAMSAP1	-0.768
RPS21	-0.929833333333333
ARID5A	1.2985
UBE2N	-0.1882
IGSF8	1.119
MAGEB6	-1.4345
ACAD11	-1.445
MGC4172	-0.48075
LMO4	0.70975
KLKB1	-0.29175
HP	-2.573
HDAC3	-0.32
SCHIP1	0.49275
CLCA1	-0.322
OLFML2A	1.16525
C1orf112	-1.30275
KIF19	1.53508333333333
HAPLN4	-0.2047
CXCR7	-0.5425
GOT2	-0.794
RAB38	-1.74075
DCX	1.5245
PPM1H	0.241
NFYC	0.859
KIN	0.169125
ZNF228	1.18075
PLSCR4	3.14
HIG2	-1.041
FAM79B	7.3345
C21orf86	-0.7974
KCNK10	3.2955
ZNF738	-0.9915
FSTL5	-1.7946
OR6A2	1.23
OTOA	1.29066666666667
EXOC1	0.189625
AHRR	-3.922
PDAP1	-1.87308333333333
C19orf6	0.178875
ZAN	0.466
LY6G6E	-0.023
EIF4E2	-0.63075
C20orf198	-0.164
ZNF324	0.45325
CYP3A5	-2.8125
ENTPD7	1.2975
MBOAT5	0.167
GJB5	-0.3035
TTC13	-0.65275
S100Z	-1.354
KIAA0664	-0.669666666666667
PDGFRB	2.47033333333333
IL17D	0.30175
OR56B4	0.61
RDX	-1.89716666666667
SLC34A3	1.3485
IL28B	0.788
JUND	1.47975
CHRNB1	-0.271125
CAMK2B	0.3515
FETUB	-1.90575
CXorf23	1.29725
MRTO4	-1.3195
TTC3	-0.1188
NDUFB8	-0.0578333333333333
EDG2	0.24075
SEMA3G	2.3345
IL23A	-1.16875
GRHL1	1.201
LOC441054	-0.9355
WDR65	0.566875
PSTK	-0.6325
STOML3	1.3075
R3HDM2	-0.1203
C5	-1.6265
SLC2A10	1.31116666666667
C3orf22	0.427
PAQR3	-1.63253846153846
ANKRD26	-0.74025
HCRTR1	0.5285
LOC399947	-0.07275
PSD2	-0.0685
TIGD2	-0.2855
SCRN1	-1.3575
COQ10A	-0.90675
DDI2	-0.283
METTL7B	-1.10716666666667
UCN2	0.68925
FAM92A3	-1.47875
WDR16	0.17725
ZNF511	0.121333333333333
ZMYM5	-0.81775
POLR3G	-3.2485
ZNF586	0.56225
C1orf49	0.00860000000000001
TANK	0.102
RCAN1	0.2835
PELI3	1.68633333333333
LIMD2	0.196916666666667
TMEM189	-0.791
NTN4	1.816625
LOC151300	0.7095
CLEC2A	-1.3885
GPR135	-0.307875
DPYSL4	-2.8592
JAK2	0.383666666666667
TSHZ1	0.702833333333333
TM9SF4	-0.24
ZNF264	0.618333333333333
SIRPG	2.496125
BICD1	-0.87225
HERC6	1.86233333333333
METTL5	-0.8425
CASP1	1.69475
PRRT1	0.149
PLA2G4C	2.8675
ICA1L	-0.294461538461538
TPTE2	0.247333333333333
OTUD7A	1.37316666666667
AQP11	0.80825
APOA2	-3.9864
KALRN	-0.435
SECTM1	1.21975
IFNAR1	0.3525
TALDO1	-0.08525
RAB11FIP4	-0.447
EIF5A	-1.7345
FAM49A	2.19975
NEGR1	0.707333333333333
YTHDC2	-0.492875
EHD2	0.421625
NCF1	3.3861
SCRT2	1.653
HOXA5	0.342333333333333
NUP133	0.11225
FGF12	-1.3500625
SLMO2	-0.704875
SNTA1	0.608375
CACNG2	0.444125
GCM1	0.37825
ELF1	0.533833333333333
TLR5	3.265
TCFL5	-1.52025
RBMY2FP	-0.701
LOC100125556	0.47775
FAM129B	0.64775
MAP3K7IP1	0.070875
NCK2	0.109
OXA1L	-0.2745
FMO9P	1.0475
ZSCAN12	-0.1745
PSMD12	-0.521833333333333
HSCB	-0.352
CLDN10	-2.81325
MGC13053	-0.80175
HPCAL4	-1.1895
ASZ1	-2.9075
MEX3D	0.497
NFAT5	-0.7667
CSPG4LYP1	-1.19216666666667
FBXO3	0.8163
DVL1	-0.589166666666667
CMKLR1	2.27066666666667
TYMS	-2.43025
PEF1	1.146
ZNF750	3.09716666666667
MCM5	0.1185
MEGF11	-0.71025
KCNK7	-0.034
PTP4A3	0.2135
C1QTNF2	-0.768833333333333
OR6S1	-0.744
FAM122B	-1.56175
ZNF551	-0.628625
HBQ1	-2.0785
GEMIN6	-0.29475
ARSK	0.1595
RBP7	3.71583333333333
CPNE9	0.69475
DSC1	1.2685
LOC730112	-0.72075
MAP2K4	0.749
HS3ST5	-2.066
EPB41L3	0.02125
TEKT2	1.75825
CDKN2B	0.989166666666667
ZNF480	-0.453
MAP3K6	0.7925
MAP6	2.15433333333333
HN1	-0.222
OR2L13	0.163
SLC16A11	1.097
FAM96A	-0.76325
APOL1	0.69
C5orf32	-0.07825
RTP1	-0.963666666666667
RNF175	0.6195
ZBTB41	1.37125
AHCTF1	-0.4909
SAE2	-0.2851
ITGA2	-0.906
MME	0.4175
CCDC14	-1.41725
MAST4	1.70371428571429
KRT33B	-0.544
KCTD2	0.368333333333333
WDR26	0.304583333333333
MFI2	1.30425
NR4A3	0.619375
ARSA	1.62775
UNKL	-0.461833333333333
SULT6B1	0.0225
CCNA2	-2.46433333333333
SOX15	-0.2575
PPAPDC1B	1.06883333333333
C19orf44	0.866
MCAT	1.11216666666667
ARID1B	0.30825
OR52N1	1.414
C12orf48	-2.354
MAGI1	0.205125
NIPA2	-0.5135
GBX2	-2.00925
RSHL3	-0.115375
RAVER1	0.786833333333333
C15orf17	-0.32475
SLC30A2	0.65775
ZNF518	-0.3985
PCYT1B	-1.357
C10orf114	-1.11475
EIF3H	0.221833333333333
SLC25A39	-0.872666666666667
KIF1B	-0.759125
AMOTL2	0.38775
C6orf120	0.719
PSRC1	-1.929
PLA2G10	3.8905
KIF5C	1.173125
MRPL37	-0.4595
C17orf62	0.598833333333333
C9orf135	-1.9192
DUSP10	0.6127
CLCNKB	0.329
PSMA5	-0.315
C8orf53	-0.026
AMPD3	1.28216666666667
PIAS1	0.01575
ADCYAP1R1	-0.447
GYLTL1B	0.21775
CDH20	-0.312166666666667
FBXO7	-0.55825
TMEM134	0.736166666666667
FLJ14213	1.02266666666667
ZNF3	-0.4375
LRRFIP1	0.509208333333333
CNOT2	0.19025
ABI3	3.3395
ALDH5A1	-0.670916666666667
HNT	1.8117
SERPINA4	-2.055
TK2	0.65
STMN1	-1.76066666666667
GUCA2A	0.432166666666667
GALNT10	0.735357142857143
DPP6	-1.0796
C9orf93	-0.484625
PRELID2	0.236125
STK39	0.261
SFTPA1	-1.5535
CKS2	-1.62422222222222
RHO	0.5115
C20orf135	-0.25325
XKR3	-2.3405
CR1	-0.09025
RPS6KA2	0.297928571428571
C20orf112	0.70475
MRPL22	-0.14125
C4orf23	0.421833333333333
GADD45B	1.612
KLHDC1	1.51483333333333
C2orf48	-3.1775
ZNF287	1.25
DAAM2	-0.13875
DPPA2	-2.99266666666667
TCTN3	0.431333333333333
DNAJB11	-0.01875
FPR1	3.91075
DEFB4	-0.008
PTCD2	-1.1995
SMOC2	5.12183333333333
CABP7	0.353
SERPINB11	0.53125
MAGEF1	0.373
NDE1	-0.0566666666666667
ITGA10	0.738
FSHB	0.916
ANXA2	0.42775
HORMAD2	0.072
HLCS	0.2245
MCF2L	0.99625
FH	-0.531875
TBC1D24	0.709
KIAA1505	0.984
LGALS2	1.19125
CNBD1	-0.645
SYNPO2L	0.14625
PTPN23	0.248214285714286
C1orf183	-0.547
MAGEA8	-2.85775
DGCR8	-1.758125
GSR	-1.78575
PAQR7	0.59525
ZNF676	-0.953
CACNA1C	0.5975
SP7	-0.701
PDCD6	-0.4045
NRN1L	-1.092
BRI3BP	-0.557090909090909
KIAA1183	1.339
ASB4	0.335
CCL23	1.4734
OBSL1	-0.836125
SLC12A7	0.649083333333333
KIAA0240	1.185875
CD1B	-1.68083333333333
FCGR2A	2.267
MDC1	-1.378
HTR1A	0.462333333333333
OCEL1	0.57275
ATP11B	-1.4794375
FBXO34	0.298333333333333
PCDH12	3.84083333333333
RPE	-0.9735
C17orf74	0.2705
CSDC2	0.517166666666667
PET112L	0.12575
TMBIM1	0.8105
P2RXL1	-0.14675
TCHP	-0.8365
TRMT1	-1.0525
F2RL2	2.4005
LRRC32	3.4305
IMPG2	0.164
BGLAP	0.3795
LOC493869	-1.39733333333333
MRAS	1.754875
SLC35F5	0.894
CBWD1	-0.679
AXL	-0.50725
ATP2C2	2.409
TELO2	-0.53175
PNPLA3	-3.67675
PCDHB14	0.986
CD276	0.04925
KRT80	-1.636
DUSP28	0.2425
CSNK1E	-0.13225
SRP14	0.8095
KCNQ4	-0.62
KRT72	-0.368666666666667
CCDC117	0.51
C6orf89	0.126
TUBB2B	-2.31333333333333
RTN4IP1	-1.1805
CR1L	-3.1745
CEND1	0.775375
C12orf41	-0.533166666666667
RNF31	0.327
UBN1	-0.342166666666667
C17orf32	0.592375
SLC5A7	-0.03525
GPR92	2.3025
ESAM	2.9515
CTNNA1	0.552583333333333
HRBL	0.366
CBX4	0.30025
TMEM182	0.5175
SH3TC2	-0.740833333333333
IL10	1.19633333333333
PXMP4	0.868
RNF167	0.0285
PAK7	2.88833333333333
ETV3	-0.783
ATPIF1	0.00299999999999999
LOC554207	-1.49733333333333
OR8H1	-0.236
WDFY3	0.78675
DPM1	-1.2395
GPSM1	-0.3205
WDR92	-0.0111
LRP1	1.16283333333333
ANKH	0.344875
THUMPD3	-0.9415
POLR1B	-0.911
OLFM4	5.962
RAD9B	0.64125
TSPY2	-3.893
PAX6	-1.98433333333333
SCG2	-2.74275
SLC17A6	0.07525
FMO3	2.79925
PADI4	-0.271625
TUBB4	-0.8573
NLK	-0.12725
POU4F3	0.064
SDF4	0.2025
ITGBL1	2.815
NETO1	-2.23842857142857
TAP2	0.000624999999999997
ABBA-1	0.0949166666666667
GNAI1	0.65875
VPS4B	0.80575
NOPE	0.5032
GALNT6	2.22133333333333
SESN1	0.3755
GBE1	-1.69133333333333
CLASP1	-0.0815
RASGEF1B	1.787625
ACOT11	0.00664285714285718
AFAP1	0.59225
OR2H2	0.18575
DPY19L2P1	-1.29575
DZIP1	-2.2335
SEC22C	-0.518083333333333
GPR161	-0.827916666666667
RNF146	0.413
WDR74	-0.81425
GALP	-0.838
PURA	0.336
DNPEP	0.420666666666667
RP11-78J21.1	-0.998
ERBB2	1.63175
FANCM	-0.997166666666667
NEO1	0.760666666666667
DDX3Y	-3.3956
RPS3A	0.83625
MXRA7	-0.0432142857142857
LGALS3	-0.0248333333333333
GLT8D1	0.3475
CFL2	-1.116
UPB1	0.204
NAP1L5	0.377125
CLDN14	-1.21175
DHX38	-0.576
BTBD1	-0.333
TARS2	0.175166666666667
ABCF1	-0.8182
FCF1	-0.2195
LRRC49	0.1395
GUCY1B2	-1.814
C1orf177	0.112833333333333
SMARCA4	-0.676928571428571
LRP8	-3.22116666666667
TAGLN3	-0.664666666666667
MRPL14	-1.044
TTRAP	-0.534
ZDHHC20	-0.19425
NFE2L3	-1.6575
KIAA1377	0.7195
PALMD	2.0292
TMEM43	-0.31725
TTL	-2.060375
STAT5B	-1.30633333333333
SSB	-1.057
OR10H5	-0.2385
SLC22A13	-1.2985
AKAP3	0.12825
TIMM23	0.336
OAS2	2.47483333333333
KIAA0423	0.1885
TRIM11	0.586166666666667
GLIS3	0.36575
TMEM50B	1.13583333333333
ARHGEF4	-1.01125
DEGS1	0.347545454545455
TBL1XR1	1.1684
G6PD	-2.0185
SP140	1.0611
MUC17	0.0995384615384615
NUDC	-0.2511
DNAJC5B	2.03116666666667
SCARA3	-0.390833333333333
CPA3	7.0865
BCAT2	-0.079375
MFN1	-0.9726
NRG3	0.135
SNX11	0.61925
PLEKHH1	-1.03616666666667
GPR177	-0.160333333333333
HCFC2	0.2245
TCAP	-0.97025
MOCOS	-1.02575
C14orf93	0.012
PRDM10	-0.401
SLC16A4	-0.129083333333333
SRGAP1	0.142833333333333
VIP	0.415
DUSP27	1.713
LILRA1	1.7263
MC2R	-0.1495
MGC24103	-2.11
MBTD1	-2.344
FUT11	-0.102
USP33	0.9908
C15orf39	-0.9995
MAP3K12	-0.026875
PAAF1	-0.951
BARHL1	-0.0955
FLJ16165	-0.1875
PIWIL2	-1.879
SYNE1	0.560083333333333
CMTM4	-0.583
TSPYL1	0.8696
GUF1	-0.7205
TMEM157	1.2035
WDR44	0.305
HIST1H3C	0.36625
DKFZp666G057	0.56375
RNPEP	0.478
GAS2L2	-0.365
ADH4	-4.49925
GRPR	0.576
FBXL17	1.81375
ZBTB10	-0.274666666666667
Gcom1	1.07844444444444
HTRA1	2.3593
ZNF585A	-0.199833333333333
SLC26A2	0.145285714285714
OTOP3	0.426666666666667
WISP1	2.23244444444444
ATP2B4	-0.525833333333333
FLJ10769	0.24325
CRAMP1L	-0.713125
CHST12	-0.658
RAB22A	0.154583333333333
TARDBP	-0.317571428571429
STAU1	-0.13825
CRB3	2.29016666666667
MIG7	-1.2485
CHMP1A	-0.391333333333333
ZNF160	-0.2645
B3GALT6	-0.034375
BARX1	-1.32616666666667
C6orf167	-1.743625
NXNL1	0.4805
DHX29	0.183125
HADHB	-0.22125
PLXNB2	0.7615
ILDR1	-1.39625
SLC15A3	3.1535
GAS2	-3.33033333333333
C20orf69	-0.7865
NUMB	0.14725
TNIP1	0.3615
MESP1	0.062
PSKH1	-0.6905
NSFL1C	-0.00937499999999999
RHOG	0.64175
HEY1	-1.045
KNG1	-2.605625
ITGAX	2.407
LIN9	-0.458333333333333
CANT1	0.71375
XRN1	0.0557857142857143
CCDC96	1.5267
HEATR6	-0.931333333333333
GNG7	0.90925
RUNX2	1.05525
SOX1	0.828333333333333
FCRL5	1.433
ZNF99	-0.1745
FAM9A	-1.832
SNX22	0.166333333333333
MBNL3	-2.20216666666667
ODC1	-2.035
ADORA2B	-1.5875
NR2F6	-0.10075
ZFYVE16	-0.374166666666667
SYNJ2BP	0.1127
POLE	-1.30075
E2F2	-1.30275
THRA	1.13433333333333
PTGES2	-0.731
HIP1R	0.834166666666667
TMUB1	-0.538166666666667
ENO3	-2.1415
RSPH10B	-1.6255
CXorf39	0.52375
IRGC	0.237
GPR109B	1.07725
FLJ13305	-1.845
LCE3A	-0.643
TNFRSF18	0.8185
DET1	0.43775
TRPM3	-0.159545454545454
C16orf79	-1.4945
FECH	-0.558
RAP2A	-0.0958333333333333
CRIP1	2.3425
AZIN1	-0.40675
SLC7A7	3.92925
IL10RA	1.9419
TMEM64	-2.253
CDC42EP4	1.3661
C16orf58	0.0527
ARG2	-3.1065
POU5F1P4	-4.604
FAM62B	-0.418
DNAH8	-1.6696
ASH2L	-0.012625
TSLP	-1.56266666666667
CNTNAP5	-0.1215
TMEM16C	0.9365
IFNA14	-0.469
SLC1A3	0.76675
CABYR	1.88375
BCL7B	-0.0829
NUDT13	-1.2425
C13orf28	0.9175
C1orf53	1.21625
ARL6IP4	0.4639
RPL35A	-0.1105
EMR3	2.12375
RAB40C	0.345083333333333
SLC41A1	0.457
LRCH1	-0.15775
LY6G5B	-0.7755
FAM124A	0.0503846153846154
MGC10981	-3.74983333333333
CLIP3	0.7203
MAP4K2	0.197666666666667
CHIC1	0.48725
SULF1	2.216
C20orf30	-0.0446428571428571
PRDM5	-0.50025
ELOVL1	0.491
C11orf48	-0.817375
SLC39A10	-0.2375
KCNV1	0.7455
ACP1	-1.9095
ZMYM2	-1.11075
B3GNT6	0.0621666666666667
C9orf69	-0.25
C2orf15	0.451
C20orf166	-0.1795
HSP90AA6P	-1.718
EDG7	-2.0475
NEURL	2.025375
LPL	3.431
CLEC2D	-0.211142857142857
GRRP1	2.6265
CD8B	-1.5888
HIST1H3D	-1.42383333333333
SLC6A12	0.553625
FAM27L	0.8555
CD84	2.0631
RASA1	-0.2635
PHKG1	0.6445
MAGEA11	-1.491
IMPA1	-1.153
NPM3	-1.37175
RARRES1	3.47075
SH3BP1	0.716875
B3GNTL1	-0.0775
ARPC5L	-0.513333333333333
KLHL26	0.781
SIM2	-1.658125
GJC1	0.7225
C20orf194	-0.236
EXO1	-2.35075
SLC2A2	-2.617
LOC285074	-1.32925
LRG1	-1.20875
KIRREL	0.0195
PIK3R1	2.04328571428571
C4orf34	1.65
MAF	-0.104055555555556
ADCY4	4.21
ZMIZ2	0.2334
SLC46A3	1.26416666666667
STAMBP	-0.527833333333333
CCDC16	0.39125
MS4A12	0.0325
TCF20	0.0195
LRRC46	1.56375
C20orf152	0.55825
MRPS6	-0.8625
ABCB11	-0.3105
KCNC2	5.89083333333333
CDH19	-1.18283333333333
C9orf123	0.664166666666667
SSH3	0.989875
LDLRAD1	-0.6165
CCBE1	0.4465
ZNF135	-0.1415
TAAR1	0.31
WFDC12	-0.3245
CCDC42	0.826666666666667
FLJ12529	-0.56425
PER1	0.472666666666667
TIMM50	-0.618666666666667
SMARCAD1	-0.461666666666667
FAM26C	-0.26
TP53TG3	-1.952
SH3RF1	2.2013
LMCD1	2.36775
GPR63	-0.2155
FLJ21986	-1.97625
AIFM3	-0.7355
MICAL1	0.332666666666667
BLZF1	0.695833333333333
IQCA	0.608833333333333
PCDHGC3	-0.186
SAC	-0.065
BCL6B	2.68433333333333
DDO	0.43325
MARCO	2.33025
DCHS1	1.23733333333333
C1orf170	0.957666666666667
CD200R1	1.91466666666667
C22orf15	-0.2155
SEPT11	0.227333333333333
ADNP	-0.206
UST	0.318
C13orf34	-1.54633333333333
RFFL	0.664571428571429
APBA3	-0.0135
C2orf60	-0.84575
CUTL1	-0.2704
PMS1	-0.967
ZNF689	-0.131
EIF3E	-0.637333333333333
IL9	0.3308
RPL31	-0.21125
LY9	1.733
ATP2B3	0.2955
KDELR2	0.783916666666667
TFCP2	0.359375
NLRP12	0.332625
FLJ45422	-0.87075
TLE4	-0.1367
ZNF570	-0.2135
FLJ43806	-0.7745
TLK2	-0.678625
CIR	0.52675
MARS2	-0.39
COL24A1	0.2935
SDF2L1	0.173
HIBADH	-0.198666666666667
IGFBP3	-2.17771428571429
C12orf23	1.316625
PSPC1	-0.71925
C20orf43	0.0435
TRAV20	0.804
ARHGAP24	1.43775
KIAA1975	-1.312875
C1QA	3.989
DNTT	-4.2515
C10orf6	-0.417333333333333
C11orf41	-0.429375
HNRPF	0.457
COL11A1	3.54166666666667
UBAP2	-0.842333333333333
CDKN2AIPNL	-0.9435
C20orf174	4.76875
SPRED2	0.16475
PLA2G12A	0.136666666666667
ICEBERG	-2.3216
SCN10A	0.0145
C11orf65	0.00275
GBP5	4.76275
PITPNC1	-0.617166666666667
POU3F3	1.805
NCOA7	-0.426125
LIN7C	0.1465
LOC348840	-2.527
NKX2-2	-3.43033333333333
ANKRD13D	0.196125
LOC123688	0.2585
FUT2	2.33816666666667
TAAR8	0.0805
FZD4	1.21841666666667
PNMA3	-0.861666666666667
OR4L1	0.3395
WIT1	-3.664
EXOC3L	2.04525
ATPBD4	-0.0392
KRBA1	-1.2825
UBXD6	-0.5745
HOXB7	-0.551642857142857
C7orf23	-0.064
UNQ338	2.1465
STAB2	2.8775
CDC20B	-0.172
IRF9	2.556
CENTG1	1.392
TNPO2	-1.24925
MCPH1	0.283
BMS1P5	-1.62825
SLC26A7	1.118
HIST1H3J	0.50525
C9orf3	-0.5107
LBH	1.574375
MYO1D	0.354875
PTDSS2	-0.103
NFU1	0.561
DEPDC4	-1.657
WNT7B	0.4198
GLP2R	-0.5225
SETD4	-0.7146
DYNLT3	-0.2895
FKBP11	0.315833333333333
SESTD1	0.4745
FLII	0.14175
RPS16	0.1065
CHPF	-0.130833333333333
CSNK2A1	-0.437
SUMO1P1	-0.1905
FKBP6	-0.658
ZNF214	1.1255
TWIST1	0.200333333333333
DDX56	-0.6235
TRAM1L1	3.4929
EPO	-2.80016666666667
MRPS18B	-0.714
ZNF682	-0.642333333333333
RPL14	-0.107166666666667
MAFF	0.68325
LOC51136	-0.75375
LY96	0.62225
DDX20	-0.279
ABTB1	1.4585
ARL5A	0.3244
CCT6A	-1.54
HEPACAM	-0.174833333333333
EHHADH	-0.368333333333333
RBAK	-0.537166666666667
CGB1	0.1495
ITGB5	1.4072
YIPF3	-0.4425
FKBP2	0.2655
NR1D1	0.6907
TMEM110	0.99
NEK2	-1.50433333333333
PRAMEF8	-2.7035
C20orf52	-0.695
PCDHGA3	-0.7455
VWA3B	0.275
NDUFA5	-0.044625
THAP9	-0.60225
FLVCR2	-0.266833333333333
AP1S1	-1.032625
SMAD6	-0.5575
SAV1	0.662375
SAT1	0.461375
ZNF251	0.235
ADAMTS7	0.7542
RPP38	0.07
C1orf211	-1.5525
YPEL2	1.4315
RBMS1	-0.12925
ZNF445	-0.740666666666667
NRXN2	1.276
PGBD4	-1.114875
UGT2B28	-1.13775
WBSCR16	-0.8852
NLRC3	0.993875
ASTL	0.313
ST6GALNAC1	-1.64275
ZADH2	0.147875
MLLT4	-0.244583333333333
ARL6	-0.0326666666666667
MEF2C	1.2755
CBFA2T3	-0.4005
AFF3	2.09028571428571
COG7	-0.0486666666666667
MYB	-0.206833333333333
PLXNA3	-0.066
XRCC2	-2.37766666666667
MMS19	-0.6125
ST8SIA5	-1.040875
CHPT1	1.35433333333333
KIAA1712	-1.34725
OR6X1	2.508
ACTR3	-0.183
UGCG	1.9715
OR4P4	0.709
ZAP70	-1.8155
LPP	1.39875
ZNF485	-0.08025
PTPRCAP	1.28275
IL12RB1	1.0715
ATRX	0.0445
CHST8	-0.59375
C14orf109	0.425
ARV1	0.565
NMB	-0.0802857142857143
COX5A	-1.00616666666667
EIF6	-0.57825
MPPED2	0.642
SEMG1	-0.585
CHRDL1	1.5375
TRAF3IP2	0.98
WNK2	1.118
LILRA4	2.903
LAMA2	5.6145
PXT1	0.2075
RLBP1	-3.4195
CD300C	1.40775
SLTM	-0.01725
FLJ10404	-0.52
APOBEC3D	-1.28133333333333
RENBP	0.937166666666667
ATXN7L1	0.545125
NID1	0.658
TUBGCP3	-1.138125
ITIH5	2.14355555555556
CCDC110	2.08375
C8A	-2.8625
MGC87042	1.0445
HOXC13	-3.2445
TFDP2	-1.04
HCP5	1.956125
POLI	0.32925
UCN	-1.33983333333333
ZNF764	0.209833333333333
C8orf45	-0.10425
FHL3	-0.20825
SPATA5L1	-0.614
MMRN2	3.5695
NDST1	0.399666666666667
COL20A1	0.182
ZNF248	-0.713833333333333
PELP1	-0.233666666666667
MBL2	-2.20683333333333
RNF41	0.3
C5orf24	-0.043125
THOC5	-0.365875
SERINC3	0.362166666666667
RP11-151A6.2	0.34425
CDCP2	-0.47075
HIST1H2AA	-0.0533333333333333
C11orf75	0.97
FKBP7	-0.03425
DDOST	0.06075
GPNMB	0.397166666666667
TTF2	-2.205
KCNT1	-0.181666666666667
SLC39A14	-0.5055
NGRN	0.5635
GPR137B	0.99975
MECP2	-0.282375
PSMA1	-0.68475
C16orf73	-5.56475
TMEM60	0.274
CSN3	-0.369
NOS1	0.4666
RAB7L1	-0.2495
YBX2	-1.2675
KIAA1166	-0.3455
FUBP3	-0.177666666666667
