Hybridization REF	TCGA-BH-A0GY-01A-11R-A056-07
CD200R1	0.968
C22orf15	0.8875
SEPT11	0.537333333333333
ADNP	0.87675
UST	-1.3774
C13orf34	-1.33533333333333
RFFL	0.0396428571428571
APBA3	0.2665
C2orf60	-0.629
CUTL1	0.1242
PMS1	-1.352375
ZNF689	-1.755
EIF3E	0.759666666666667
IL9	0.344833333333333
RPL31	-0.9785
LY9	0.624833333333333
ATP2B3	0.711
KDELR2	0.625
TFCP2	-0.371625
NLRP12	1.603625
FLJ45422	-0.199
TLE4	-1.046
ZNF570	-0.255
FLJ43806	-0.5335
TLK2	-0.54725
CIR	0.2545
MARS2	0.376
COL24A1	0.78275
SDF2L1	-0.2705
HIBADH	-0.128
IGFBP3	-1.13492857142857
C12orf23	0.48125
PSPC1	0.73975
C20orf43	0.206
TRAV20	-0.244
ARHGAP24	0.373125
KIAA1975	1.842375
C1QA	3.6529
DNTT	-4.55066666666667
C10orf6	-0.594083333333333
C11orf41	0.127
HNRPF	0.638
COL11A1	5.81833333333333
UBAP2	-0.437833333333333
CDKN2AIPNL	-1.2085
C20orf174	4.014
SPRED2	-0.57025
PLA2G12A	-0.5645
ICEBERG	-2.3295
SCN10A	0.3325
C11orf65	-0.27325
GBP5	5.12525
PITPNC1	-1.02633333333333
POU3F3	1.314
NCOA7	0.121625
LIN7C	0.4076
LOC348840	-0.967
NKX2-2	-3.78275
ANKRD13D	0.442625
LOC123688	0.5205
FUT2	2.46266666666667
TAAR8	0.4575
FZD4	0.0681666666666667
PNMA3	-0.5335
OR4L1	0.4245
WIT1	-2.072
EXOC3L	1.8855
ATPBD4	0.657
KRBA1	-0.4295
UBXD6	-0.32075
HOXB7	-1.40428571428571
C7orf23	-1.2225
UNQ338	1.52975
STAB2	1.38975
CDC20B	2.806
IRF9	2.2815
CENTG1	0.517916666666667
TNPO2	-0.81875
MCPH1	0.009125
BMS1P5	-2.2135
SLC26A7	0.318333333333333
HIST1H3J	0.50875
C9orf3	0.5892
LBH	1.246
MYO1D	0.846375
PTDSS2	0.793
NFU1	-0.355
DEPDC4	-1.20675
WNT7B	2.5425
GLP2R	-0.889166666666667
SETD4	-0.1
DYNLT3	-0.6608
FKBP11	-1.7145
SESTD1	0.0601666666666667
FLII	0.3455
RPS16	-0.3019
CHPF	0.420166666666667
CSNK2A1	0.926666666666667
SUMO1P1	-0.112
FKBP6	-1.1065
ZNF214	-1.15016666666667
TWIST1	0.151333333333333
DDX56	0.404666666666667
TRAM1L1	0.5449
EPO	2.02483333333333
MRPS18B	-0.42725
ZNF682	-1.2195
RPL14	-0.902166666666667
MAFF	0.15375
LOC51136	-0.54425
LY96	0.123
DDX20	-0.68075
ABTB1	0.181666666666667
ARL5A	-0.2427
CCT6A	-0.031
HEPACAM	-1.27783333333333
EHHADH	-1.054
RBAK	0.788833333333333
CGB1	0.22625
ITGB5	0.6599
YIPF3	0.1385
FKBP2	-0.1015
NR1D1	-0.6616
TMEM110	0.544
NEK2	-0.8975
PRAMEF8	-3.2725
C20orf52	0.154666666666667
PCDHGA3	0.3725
VWA3B	0.50225
NDUFA5	-0.577
THAP9	0.1
FLVCR2	0.339
AP1S1	-0.674875
SMAD6	-0.88175
SAV1	0.214625
SAT1	0.888625
ZNF251	2.54725
ADAMTS7	0.1995
RPP38	0.76525
C1orf211	-2.2
YPEL2	0.427
RBMS1	-0.4895
ZNF445	-0.299833333333333
NRXN2	1.02583333333333
PGBD4	-0.7425
UGT2B28	-2.40125
WBSCR16	-0.8161
NLRC3	0.17925
ASTL	0.559
ST6GALNAC1	-1.08125
ZADH2	-1.3955
MLLT4	0.25825
ARL6	-0.0143333333333333
MEF2C	-0.05725
CBFA2T3	0.5575
AFF3	-0.300428571428571
COG7	0.4835
MYB	-0.890333333333333
PLXNA3	1.14
XRCC2	-1.71633333333333
MMS19	-0.33625
ST8SIA5	-1.502375
CHPT1	-0.131333333333333
KIAA1712	-0.81875
OR6X1	-0.197
ACTR3	0.267
UGCG	1.14383333333333
OR4P4	0.4905
ZAP70	-2.88975
LPP	0.246
ZNF485	0.4295
PTPRCAP	0.2165
IL12RB1	0.53
ATRX	0.1737
CHST8	-1.12325
C14orf109	-0.05525
ARV1	-0.422
NMB	1.39857142857143
COX5A	-0.531
EIF6	0.3085
MPPED2	2.72466666666667
SEMG1	-2.607
CHRDL1	-0.036
TRAF3IP2	0.914
WNK2	-0.598625
LILRA4	3.3975
LAMA2	4.26075
PXT1	1.3
RLBP1	-3.27625
CD300C	1.59875
SLTM	-0.35925
FLJ10404	-0.338875
APOBEC3D	-1.11766666666667
RENBP	0.431833333333333
ATXN7L1	0.00137500000000002
NID1	-0.05375
TUBGCP3	-0.70725
ITIH5	1.05382352941176
CCDC110	0.9225
C8A	-2.7985
MGC87042	-0.734
HOXC13	2.52525
TFDP2	-1.136
HCP5	1.1785
POLI	-0.286
UCN	-1.07133333333333
ZNF764	0.663166666666667
C8orf45	1.42125
FHL3	-0.145
SPATA5L1	0.12975
MMRN2	3.04083333333333
NDST1	0.550333333333333
COL20A1	-0.220333333333333
ZNF248	-1.08683333333333
PELP1	-0.586666666666667
MBL2	-3.76333333333333
RNF41	0.344125
C5orf24	0.366875
THOC5	-0.601875
SERINC3	-0.186333333333333
RP11-151A6.2	0.129
CDCP2	-0.3695
HIST1H2AA	0.07575
C11orf75	-0.0546666666666667
FKBP7	-0.68125
DDOST	-0.32775
GPNMB	1.08716666666667
TTF2	-1.82883333333333
KCNT1	-0.0906666666666666
SLC39A14	0.051375
NGRN	0.5907
GPR137B	2.59775
MECP2	0.23025
PSMA1	-0.301
C16orf73	-5.70975
TMEM60	-0.775833333333333
CSN3	0.478
NOS1	0.141833333333333
RAB7L1	0.24
YBX2	-0.1605
KIAA1166	0.061125
FUBP3	-0.00916666666666668
ABCG1	2.054
ACACA	-0.503583333333333
ARL11	0.5755
ATOH1	0.0025
ODF1	0.525666666666667
CREB3L3	-1.425
TMEM127	1.12471428571429
DSCAML1	-0.0535
PLN	2.763
LYPLA1	0.4075
PRDM9	-1.62375
SASP	-0.82825
PLUNC	4.26633333333333
INTU	-0.18875
HISPPD1	-0.12725
LNPEP	0.538333333333333
YARS2	-0.260666666666667
APCDD1L	-0.7895
ZCCHC4	-0.9685
FBXO22	-0.513833333333333
TTLL13	-0.2755
ZNF669	-0.312833333333333
PTGDR	1.74425
DDX27	1.18425
KIAA0409	0.0928333333333333
GJB6	0.629
ASB8	1.148
PLP2	0.282166666666667
MEPE	0.964
OR10J5	0.000999999999999994
KRT222P	0.666
COQ7	0.1945
C1orf101	-0.312
RERG	2.0265
CHMP5	0.112375
THAP11	-0.218375
ZNF43	-0.600166666666667
ZRANB3	-0.9505
KRT13	1.97325
MRPL19	-0.952125
RBBP9	0.48575
SPATA17	1.045375
BXDC5	1.0895
PAFAH1B1	0.27375
MAGEE1	1.32175
OSTF1	-0.31625
KIAA0323	-0.519916666666667
TXNDC13	0.226166666666667
CNTN4	1.178125
LCE1B	0.7685
UNQ501	0.37125
ZNF154	1.115
C3orf64	-0.19925
SYT5	1.6095
PON1	-0.493
FLJ10357	-0.387125
ATP4A	-2.16
GNPDA1	-0.9135
MGAT1	0.922333333333333
C14orf121	0.04425
SLC35B2	-0.57025
MIER3	0.221666666666667
CHEK1	-2.20625
ZNF8	-0.074
TXNDC1	-0.409166666666667
CKB	-0.2995
RTN3	1.05078571428571
FZD2	-0.587
PART1	-1.00228571428571
PSMB6	-0.25675
PCDHB8	-0.4445
PHC3	-0.5536
PPP1R8	-0.478833333333333
NOVA2	1.08516666666667
TNFRSF11B	-1.726375
GOLPH3	0.765166666666667
UBLCP1	-0.90175
SUHW3	-1.03825
TTLL1	0.40175
OPN4	0.8845
OR13G1	-0.2405
ZPBP2	0.545833333333333
HSD17B11	-1.8925
C9orf50	0.062
DHDDS	-0.0965714285714286
CTSW	0.3047
NEFM	-1.31
MRPL28	-0.1615
SYN1	1.12533333333333
PIGV	-1.51466666666667
ZIM2	4.32925
APBB1	0.771333333333333
SND1	-0.387
C1orf123	0.0701666666666667
CHD3	-0.511
BHLHB8	0.156
RNASE2	0.795333333333333
BCAP31	0.910625
SLC25A44	0.468333333333333
CHD6	0.5609
PIB5PA	1.78230769230769
SELS	0.70075
LOC541471	0.1005
FAT2	1.0135
ZNF81	-0.3355
OR4C16	0.347
FLJ10081	-0.6135
LRRC4	2.10475
CS	-0.162
N4BP2	-0.346375
IGFBP7	1.32175
ZNF318	-0.138666666666667
NDNL2	0.27325
ZNF609	0.142375
SIRT4	0.45525
EXOSC10	-0.272
ECE2	0.29025
OVGP1	-0.1855
GTPBP3	-1.04225
PACS2	-0.0153
C19orf36	-1.1775
ARL4C	0.388
ATG4B	0.099
UBQLNL	-0.86325
RHOXF2B	-3.4145
PLEKHG2	0
GALR1	-0.0125
AQP4	0.3472
HDAC7A	-0.269166666666667
DCUN1D3	0.80225
OR8A1	-0.97
CCRN4L	0.53875
CBR4	-0.755333333333333
KIFC1	-1.9495
SLC7A14	-1.66533333333333
LHX5	0.8625
TRPC7	0.00899999999999998
LPXN	-0.46975
SERPINA1	-1.6385
RPS13	-0.7011
BPIL3	0.034
PRKAA1	-1.19775
FADS2	0.4897
ENAH	0.283
PRO1768	0.012
APBA2BP	0.78475
LIPH	1.50216666666667
C3orf33	-0.83875
RCC2	0.184142857142857
ALDH1A2	-2.9658
RNF103	1.91225
AHCY	0.15425
ALG12	-0.011
CCL17	1.653
ZNF543	2.5505
ESRRG	-1.1742
CNGA1	0.7815
RDH5	-1.29066666666667
OTX1	-0.0818
PTGFR	-1.76666666666667
CDR2	0.2115
SELE	4.7375
NLGN2	-0.4725
EXOSC9	-0.96925
ZNF566	0.171
KLRC2	-3.916
GPR12	0.9545
KIAA0196	1.905
PDRG1	1.23325
SSR3	-0.693214285714286
MSI1	0.6945
CST9	-0.4695
CC2D1A	-0.343
PLAGL1	0.363111111111111
ZNF778	0.1005
RNF2	0.102125
KLF6	0.7555
THBD	1.7785
tcag7.1314	-0.93575
NR5A1	-0.0193333333333334
ABCD2	-0.907
DNAJC7	-0.69425
CLEC4C	0.8295
TM2D3	0.88125
CCDC4	-1.0035
PLAC2	3.55375
DCD	1.459
FAAH	2.0985
POLA1	-0.486333333333333
TM7SF2	1.183
FLJ39822	-0.890333333333333
FLOT2	-0.242375
MAP4K1	-0.602333333333333
SRP68	-0.039625
C21orf74	0.76
ARPC5	0.21925
LOC126075	1.221
HECW2	0.615625
ZDHHC4	-0.23125
ANKRD42	1.5448
PDE9A	-1.51066666666667
ABCA8	0.866
NDUFS2	0.1415
UBR5	1.10475
BTBD16	-3.26425
LOC554174	0.0895
ZNF20	0.1195
KIAA1843	0.593
WDR17	-1.13275
C15orf33	-0.3295
RNF113A	-0.078
CAMKK1	0.2459
CLCN2	-0.60075
ANXA6	0.051
LOC340069	0.2935
EMID1	0.590375
DPM3	-0.42
ELA1	0.262
SLC25A13	-1.3099
KRT24	-0.47325
SMPD1	0.0695
TH	2.113
COL6A2	0.867142857142857
ANKS1B	0.56125
GPR126	-0.3197
ZC3H12A	0.508666666666667
TMEM47	-0.172666666666667
C2orf51	-0.156833333333333
C1orf88	3.75933333333333
HSF2BP	1.35
AKAP10	-0.50825
RPAP3	-0.0295
KLHDC8B	1.071875
STOM	-0.3825
MUPCDH	0.12125
C10orf72	-0.36175
PLEKHA3	0.476916666666667
TCP11L1	-0.34625
CWF19L1	0.091875
SPEF1	2.95976923076923
YSK4	2.6005
ELN	1.5943
SAMD8	0.0543333333333333
MPI	-0.798333333333333
MEPCE	-0.3168
ABCC3	-1.893125
NANOGP1	-1.7435
KCNK17	0.94225
HLA-DMB	4.36166666666667
RRAGA	0.33425
ANGEL1	-0.58675
RBM32B	-0.104
CPN1	-3.172
MGC52282	0.0291
HLA-A	1.32183333333333
OR9G4	0.2895
EDNRB	-1.864375
SCD	-0.566357142857143
C14orf80	-0.285166666666667
BAGE2	0.5795
RABL4	0.281333333333333
RCVRN	0.283
SHANK1	0.59
NLRP7	2.4075
CD226	1.87425
STAT3	1.1840625
SYNJ2	-0.3381
TPCN2	1.2625
WDR36	-0.859666666666667
MBD4	0.21575
ROBO1	0.1589
ST3GAL6	-3.24025
SLAMF8	3.2115
ATN1	0.701166666666667
GPR141	0.8135
KRT36	-0.166
TPH1	0.228
DDX52	0.392
ZSCAN29	0.054
TRPT1	-0.469333333333333
DPEP3	0.90525
DENND4A	-0.751125
TSPAN16	-0.818
PTCHD2	-0.3095
LOC145814	-0.94125
CAP1	0.8725
EIF5A2	-0.8436
NT5DC3	-0.890625
SEPT9	-0.4175
SEZ6L2	0.3155
EGFLAM	4.0995
VPS11	0.80575
NDUFB5	-1.00833333333333
CIDEA	2.63183333333333
IER5L	0.467
N6AMT1	0.6435
FAM83C	-0.31375
OXR1	1.58208333333333
IRX1	0.34
DGKB	-0.496333333333333
GCN5L2	-1.6025
MIR16	0.658125
FBXW9	0.34925
WDR4	-0.878
PDC	0.4305
VPS33B	0.36125
HEXB	-0.48275
FLJ32214	0.99625
TCEB3	-0.60925
CRLF1	-3.217
ABI3BP	1.05925
C8orf22	-4.234
PYCR1	-1.0925
KIAA1706	0.56625
CDK5R2	0.91225
WAS	0.425
C12orf60	-0.66
CCBL2	-0.0155
MADD	-0.07325
C5orf34	-2.59625
WDR42A	0.7317
KLF12	-1.2895
HSPA1A	1.94525
ITM2C	-1.64633333333333
DAPK2	2.49316666666667
LOC442590	-1.0325
SUMF2	0.1265
CENPA	-1.77446153846154
TMED5	0.8135
CDH6	-1.5352
BRP44	-0.011625
THG1L	-0.54225
GABRA2	-2.44675
C14orf166	-0.70825
MYL1	-2.011
TNFSF18	-0.178
PAP2D	-1.6685
PPIB	-0.5315
KLHL4	-0.787125
SFN	0.22
CCDC127	0.08025
FRAP1	-0.71725
GOLGA5	0.37825
SDCCAG1	-0.44725
MGC21675	-0.257833333333333
C10orf95	-0.397
KIAA1345	-0.861833333333333
C1orf163	0.262
LACE1	-0.359833333333333
OR10K2	1.0445
CENPN	-2.24316
TMED2	1.0775
UGT1A6	0.318
ANG	-2.2405
U2AF1	-0.587833333333333
CASC2	-0.158
NMT2	-0.469666666666667
OSGEPL1	-1.153375
DFNB31	-1.229
SLC6A20	1.434625
DKC1	-0.22025
FXYD4	-0.9795
WDR64	0.086
MGC5590	0.0345
CREBZF	0.2615
DAZ1	-0.771
PRPSAP1	-0.918
GCHFR	-1.076
TTC7A	-0.149625
LOC196993	0.45675
UBD	1.012
S100A1	-0.92225
RPL6	0.1745
DNAJB6	0.83575
NAGS	0.2119
C2orf58	0.2
KERA	1.45166666666667
MT1X	-1.0546
UBE2B	0.9628
KEAP1	-0.40175
MST1	-3.12575
OMA1	0.9975
ABLIM2	1.6075
BCL2L13	-0.384416666666667
JAZF1	-0.515333333333333
TMEM63B	1.185
S100A8	4.554
ARFIP2	0.804
UROS	0.448
KHDRBS2	-0.876
POLQ	-2.49425
SOAT1	-0.7315
SPAG4	0.21525
MRPS30	-1.385
LOC494141	-0.73025
OR2T11	0.6845
ORAOV1	-0.1996
ZNF184	-0.762
TCEB3B	0.425
ADAM21	1.527
GDPD1	0.1585
SPINLW1	1.7975
PRR14	0.5795
KCTD9	-0.2558
NUDT3	0.3095
KIAA1822	0.8744
HIST1H4K	0.465
DFNA5	-1.83375
GABPA	-0.05175
C14orf44	0.23775
POLB	0.30975
PTAR1	-1.498
SEC31A	0.4643
TRIM58	-2.893
TAS2R14	-0.6755
VPS8	-0.16925
H1F0	1.3875
PRKCB1	-2.18016666666667
UGT2A1	0.3875
TOR1B	0.015
LSS	-0.9075
C2orf19	-0.151
HNRNPC	0.398642857142857
TMEM100	-1.41516666666667
LOC116349	-0.4755
OR51M1	-0.277
CCDC142	-0.7235
ISG15	2.147
ZCCHC14	-0.1905
CREBL2	0.1675
TGDS	-1.7865
DC2	-0.5235
CACNA2D3	-1.76735714285714
ZNF429	-1.3815
LYPD6	-2.01483333333333
SUCLG1	-0.689
OR51I1	-1.2775
MAGEH1	1.41975
PRPF40A	0.127
SMR3A	0.777
SPINK2	-1.4095
THAP2	-0.18975
NPY5R	-1.304625
IRF4	-1.8345
SPESP1	-1.567
OR10S1	0.202
DTD1	-0.60525
TUBE1	-1.30725
DDX19A	-0.7845
PDPN	-0.431625
TMEM34	0.14925
MGAM	0.194
COL3A1	5.97488888888889
GFM2	-0.1159
OR5A2	0.482
PSG9	3.12025
ARHGEF11	-0.142166666666667
IVNS1ABP	-0.87725
SIGIRR	1.81725
DUSP19	-1.32025
DNAJC14	0.0805
ACSS1	2.012
IL1RAPL2	0.05
C4orf30	-0.4335
SEPT4	1.14425
LANCL3	-2.06375
SPAG17	0.274833333333333
PRDX3	0.0737500000000001
HNF1A	-1.55025
P4HA2	0.02325
RFWD3	-0.951833333333333
MOV10	-0.54825
DNAJA5	-0.0615
LOC729440	0.92675
LOC200383	1.387
SMC2	-2.4415
MIXL1	-1.3455
TMEM9	0.65975
FAM86A	1.7235
ZNF174	0.7722
MYH14	-0.771
CCR8	0.45775
VPS37C	1.03883333333333
GPATCH1	0.4115
B3GNT8	3.0875
TBX4	-0.521
CNR2	0.731333333333333
PCDH1	1.4385
C5orf29	3.5655
OCIAD2	0.48425
PLCG2	-0.02125
KIAA0247	1.8695
HRH3	0.3332
CAPN13	2.713625
CCR1	0.7812
MGC15523	-0.386388888888889
UVRAG	0.362666666666667
DNAJA2	0.773
ITGA2B	-0.874166666666667
CLDN5	3.35775
PTPRN2	-2.16121428571429
ZNF512	-0.737
PSAP	1.34042857142857
CCDC140	-1.895
LRRC55	0.73925
CYP26C1	0.135
C8orf47	0.8425
LYN	0.04575
DUSP6	-1.038
TGFB3	3.0922
ELK1	-0.0888
PCDH11Y	-0.779166666666667
HGD	-0.51775
C17orf58	-0.308
MYO3A	0.2935
SERPINE2	-4.80983333333333
AARSD1	-0.836125
C14orf73	-2.146
ADAM33	-0.02475
ZNF491	-0.4435
MAPK6	-0.781333333333333
TCN1	1.22333333333333
SLC24A6	0.8075
UBE2R2	-0.2675
H1FNT	0.61825
TATDN2	0.000333333333333334
LILRB1	2.11325
P2RY5	0.1845
NUCB2	0.776
C2orf37	0.04425
SNX27	1.06283333333333
MTA3	0.27575
FOXO4	0.02075
ID4	-0.3225
SOX5	-3.04283333333333
PXMP3	0.26425
OR52M1	0.661
SFT2D3	-0.023
INA	-3.47133333333333
MCOLN1	0.78575
NFIX	-0.4654
CLEC14A	5.4505
HIBCH	-0.2225
PLA2G5	1.54375
TIMM10	-0.157333333333333
MED17	0.6599
COL4A4	-0.838
TPP1	0.668666666666667
GJA3	1.59666666666667
TMPRSS5	-1.50925
AADACL3	0.331
DNMBP	-0.787
ENPP5	1.63766666666667
NQO1	-0.2738
ZSCAN2	-0.20025
SEC24C	-0.310333333333333
GTF2A1L	0.86
AXIN2	-1.4354
FAM33A	-1.8725
C16orf13	0.4315
SPNS2	2.161
TAF1	-0.08825
AP1G2	0.0245
RBM42	0.261333333333333
HCN2	0.938666666666667
EFHB	2.732
RUSC1	0.236
GRIK5	0.232
USP21	-0.0788333333333333
ATAD3C	0.74225
ORMDL2	1.109
PRSS7	-3.50575
PSAT1	-5.496
FLJ13195	-0.906833333333333
TBC1D1	0.1385
IFNG	1.71625
OTOS	1.24116666666667
ZNF773	1.05616666666667
EMD	-0.71475
RETN	0.4645
CCL8	5.4385
APH1A	0.186875
COX18	-0.874625
GTF2IRD2	-0.016
CCDC82	-1.19758333333333
PAFAH2	0.495
NPEPL1	-1.0502
RP11-114G1.1	0.2455
TP53INP1	1.9165
ZNF300	-2.293
FOXL2	1.09825
LARP2	0.418083333333333
LATS1	0.26
HTR6	0.49
SPOCK2	1.07466666666667
RNF144B	1.997
HTATIP2	-0.800625
MGC10334	0.405916666666667
CENTA2	2.18883333333333
FGF2	-1.5635
FXYD7	0.05075
PHYHIPL	-2.051625
GPR34	4.81125
DDX6	0.579333333333333
OR10W1	0.4935
LHFPL1	-1.36
ZNF313	0.812357142857143
VPS28	1.935
AP3M1	-0.1808
AKR1CL2	1.795
TRAF4	0.652875
OR2B11	0.7135
C19orf12	0.708166666666667
AKAP9	-0.403833333333333
C1orf62	0.01375
SLC20A1	-0.647
FAM112A	0.07
LDB2	0.633375
MRPS23	-0.6315
KLK5	2.884625
SPTB	-0.6342
EFEMP2	0.82975
EFNB2	1.243625
PCM1	-0.224285714285714
NMNAT3	-0.14675
TSG101	0.734
C8orf40	0.5515
NOB1	-1.304
ABHD3	-2.30375
GTF3C4	-0.42425
PIGN	0.192833333333333
GALNTL1	1.24325
AEBP1	2.5695
OR9Q1	0.0175
ANKRD2	0.2835
CCL28	-0.368
TRIM38	0.454833333333333
TMCC1	0.34925
SMG5	0.481
LRRC7	-1.001
NCAPD2	-1.64966666666667
C6orf153	-0.33025
C1orf74	-0.38
OTUD6A	0.611
DCP2	-0.6185
TMEM24	0.6295
RPL18	0.0178333333333333
TMEM177	-0.271
LRRC37A3	-0.3645
C1D	-0.0376666666666667
LDHC	-1.21725
UBE4B	-0.327333333333333
NIT1	-0.09025
BTN3A3	0.214875
RASD1	0.717625
COMMD3	0.8115
SHFM1	-0.3745
BIRC8	0.00124999999999997
DUT	-1.36175
C12orf51	1.0895
LRRC59	-0.00483333333333334
LY6H	0.54725
WDR22	0.361666666666667
EDEM1	-0.0363571428571429
ADH1A	3.3345
PANX2	-0.382
CYP11B1	0.7565
CDC73	-0.16525
GPR172A	1.821
GSTM3	-0.987769230769231
KCNA5	-0.323625
SERAC1	1.06516666666667
NFATC2	0.4325
ANAPC5	-0.0812
C15orf24	0.125
NFATC2IP	-0.331666666666667
TNRC6C	0.353
MGC102966	-0.213125
FGD5	0.413166666666667
MED9	-0.059
RAB13	-0.0786666666666666
C15orf49	0.0775
CRYGS	-0.5633
C12orf53	-0.73
LOC283693	-0.377
COX6B2	0.69575
PHF14	0.52375
FAM3A	-0.187625
RPL13	-0.915
PRDX2	-0.2428
FLJ34047	-2.376
PRMT3	-0.6545
KCTD19	-1.717
TRIM10	-0.952666666666667
MGC26597	0.300833333333333
GCNT4	0.29725
GPRASP1	0.48925
CDKN1C	-0.410333333333333
RHBDL2	2.4304
HSPH1	1.375
AQP1	2.552875
COL17A1	0.8804
GFAP	0.236625
CDC16	-0.3075
KIAA1614	-0.04
C6orf118	2.91433333333333
ZSWIM5	-0.28425
FAM83F	3.00825
LYNX1	1.1299375
SYNPR	-0.76625
XG	2.91366666666667
PRSS16	-1.854375
KIF13B	0.944642857142857
PCDH9	0.5975
HIST1H2AH	0.778333333333333
RBM18	-1.10625
ZNF626	0.637
HEXIM2	-0.280333333333333
ITFG1	0.5485
TUBG2	-0.7095
SFRS7	0.0648333333333333
C9orf14	0.521
EXTL1	0.60175
GBP3	2.22883333333333
WDR5	-1.50625
RARG	0.621333333333333
MYO7A	-0.184875
CECR6	0.63075
C13orf3	-1.368
SFRS18	-1.382625
ACVR1B	0.627
PSMD1	-0.3547
C7orf31	-0.505666666666667
ILVBL	-0.81325
IFNGR1	0.9295
RNF186	2.117
NOL9	-0.605
MAGEL2	0.628
SLC29A2	-0.28525
NHSL1	-0.35875
RBMX	-0.754
PSORS1C2	0.57825
RAD51L3	-0.703833333333333
LCN6	1.00375
ORAI2	-0.47775
BRUNOL6	-0.2804
OR4K5	-0.5895
CDC123	0.05025
MSLN	-2.41866666666667
WWTR1	-0.384166666666667
ZNF700	-1.67816666666667
COBL	1.08425
PPP1R16B	-0.035375
GAS7	0.0573
MDN1	-0.87475
HAAO	-0.011
C9orf68	0.1145
TNFAIP2	0.86425
FOXN1	0.2885
hCG_2033311	0.461666666666667
ATP6V0D2	0.4327
RPL41	0.40025
SLC38A1	1.1415
ARHGAP6	-0.184083333333333
ADAD2	-0.2595
PHF20L1	1.7919375
MCM3AP	0.325666666666667
ST3GAL3	-0.338833333333333
SNX1	0.281833333333333
ELF5	4.91975
PARP3	-0.93175
RBM8A	-0.1666875
LINGO4	0.3955
ITGA9	0.107
ZFR	0.28475
ACSL6	-0.393875
FLJ20699	-1.245
DAOA	-0.111666666666667
FABP4	6.03325
KCNB1	-1.501
CANX	0.1517
SLC25A28	0.278333333333333
ADIPOR2	0.56275
ECHDC2	1.540875
SMA4	-0.079
FRZB	2.893
PABPC1	0.947333333333333
DMRTB1	-0.361875
APOBEC3G	-0.49625
CATSPER2	-0.734333333333333
CUEDC1	0.474333333333333
STARD9	-1.22175
CLDN8	2.98175
LOC23117	-0.9435
E2F6	-0.329
TMEM126B	-0.966666666666667
DPY19L4	1.90275
GIMAP5	3.2005
NDUFA9	-0.218833333333333
FAM77C	1.259
CTPS2	1.69425
LOC51035	0.359125
WDSOF1	1.3475
EGLN3	1.011375
PITX3	1.0595
OR52E8	0.048
GRM4	1.031
KLK1	-2.08783333333333
GPM6B	-1.952625
RRAGD	-0.715
PAGE5	-1.80675
UCHL5	-1.71583333333333
ULK3	-0.302333333333333
AIM2	1.21533333333333
PNO1	-0.400166666666667
OR2F2	-0.111
GNAT2	-0.6775
SIX1	2.49675
ST13	0.121666666666667
ZBTB44	-0.05675
TIMP2	-0.32
ZMAT4	-2.01575
GTF2IRD1	0.2075
ZNF19	-0.411
ZNF714	-1.14325
RSC1A1	0.3205
C9orf80	-0.438
PSMA8	-0.65075
TMEM141	0.551
COX4I1	-0.985857142857143
CTAGE1	-0.0478333333333333
DTWD1	-0.975
HSD11B1	2.01975
KRT6B	5.00625
ARID4B	0.58
LHFPL3	-0.00199999999999997
WWP2	0.0851666666666667
ZNF326	0.660333333333333
RGPD1	-1.9495
CTSH	1.07066666666667
FASTKD1	-1.442
PAF1	0.7375
TTC9C	-0.33175
IFT57	0.5661
PRSS36	-0.385
IL20RB	-2.394
ZNF592	0.0146666666666667
DCTD	-0.682
CFP	2.4325
MFNG	-0.927625
JMJD2B	1.1525
ALDH3B1	-0.8475
THSD4	0.7355
KCNJ5	2.563
LMNA	0.375
TBCD	0.64025
ZNF250	1.674
CASQ2	3.228
PEG10	-2.76625
PRAME	-5.0256
NP	0.424625
TRIM59	-1.2805
ZNF12	0.3355
XTP3TPA	0.621
SIGLEC7	0.5555
PANK4	-1.02125
FAM70A	-2.0895
SNED1	1.3165
HIP1	0.2696
RAET1E	-1.13816666666667
AMAC1L2	-1.272
AHNAK2	-0.09175
TOE1	-0.401333333333333
RECQL4	-0.0675
SPRYD3	1.1415
DPAGT1	0.21575
MAGED2	1.9162
ANKRD55	-0.56475
TRPS1	4.41075
DOK7	1.846
TFPI2	-1.1505
GTF2H3	-0.354166666666667
CYP4F11	-0.56425
LHX2	-3.761
ATG16L1	0.4245
ASB12	0.305
C1orf116	3.268125
NF2	-0.7576
POM121	-0.8416
PHYHD1	0.7939
TXNDC17	0.176166666666667
DKFZp779O175	-0.28675
NUP62	0.580857142857143
MYO18B	-2.07866666666667
PRAMEF1	0.3065
TCBA1	0.25525
TMEM168	-0.10675
FJX1	0.283
CLCF1	-0.15525
SEPN1	0.1375
IGSF2	1.32475
NUDCD1	1.502
TFF3	1.74183333333333
NDFIP1	0.348
CHCHD4	-0.47725
TNR	0.6285
CUTA	-0.277
USP44	-5.22925
DPP10	-1.15433333333333
IWS1	-0.1475
PCGF1	0.1165
SULT1C4	-0.147
NTF5	0.297
PTPN13	0.64075
SSTR5	2.2525
SFRP1	-1.065875
IDH3B	0.118625
SUOX	1.3225
TMCO5	0.6015
GOLT1B	-0.38825
MIB1	-0.621428571428571
PCDHGB1	1.9085
SUSD1	-0.24525
ICAM5	-2.1285
PAPOLB	0.356
URM1	-0.7005
TMEM106B	-0.575
LRIG2	-1.02575
SLC27A5	-0.419
CLIC6	1.5046
ZNF420	0.730166666666667
SCN9A	-1.8595
KIAA1909	-0.073
