Hybridization REF	TCGA-BH-A0DK-01A-21R-A056-07
ATP5G1	-1.6525
C21orf70	-0.378833333333333
PPWD1	-1.05675
DNAJC13	0.126
PAH	-5.8485
PTCH2	0.67825
TRMU	-1.6335
CCDC9	0.9645
USP3	-0.082
DCLRE1C	0.3957
FAM55C	1.0255
FRMD4B	1.53725
CYP2R1	-1.09325
RFPL1	-0.4842
XPO5	-0.9465
ARL6IP2	-0.6295
OSBPL5	1.04025
MMP9	4.10209090909091
KIAA0802	-0.308625
DHRS2	-0.704166666666667
SGEF	-0.11075
TXNDC10	-0.5645
EXOC6	0.4835
RPS27	0.578166666666667
PNCK	-1.7565
FSTL1	0.1555
AACS	0.6105
SLMAP	0.0648333333333333
SAMD4A	-0.5922
ABRA	-0.3755
SMARCD3	0.099
PKNOX2	-2.50633333333333
A4GNT	0.4775
C9orf39	0.1435
RALYL	2.06
MGC33556	-2.6705
C10orf25	-1.118
BBOX1	5.65025
NHEDC1	0.77125
XDH	-0.81875
GCSH	-2.3565
EDN1	1.82716666666667
MTERF	-0.0555
CLK4	-0.115625
ZNF799	0.789166666666667
KCNG1	-2.083125
CXCR4	2.045
PTPRR	-1.762
IRAK1	-0.836625
LOC401397	-0.753
TMSB10	1.35857142857143
CXCL3	-3.6069
TMC4	2.17025
OR7A10	0.922
STYK1	1.756
CHRNA10	-0.78975
CCNI	0.9255
EP300	1.77621428571429
LOC165186	0.192666666666667
HIC2	-2.45325
SDR-O	-0.5895
OR2W1	0.578
KCNA6	-0.131
TRIM74	-2.40825
REEP6	0.02825
ATP5G2	-0.1165
ERG	1.009375
TMEM42	-0.82925
PARN	-0.057
SOD2	-0.0113125
DIRAS1	-0.287
PNPT1	-0.40675
JOSD3	-2.04425
hCG_40738	-0.49
PDE1C	-2.205
SEMA4D	0.844875
AGPAT1	-0.043
NOSTRIN	0.984375
MAP3K3	0.3885
MAX	0.995
CAPS	3.53533333333333
SERPINA12	0.44
OSBPL8	0.024875
RICS	1.9807
NR4A2	3.28016666666667
PPCS	1.05766666666667
LONP1	-0.99525
SCYL3	0.7945
HERC2P2	-1.75
FIBCD1	-1.126
C15orf41	-1.1135
DMC1	-1.647
C20orf27	-0.9925
RPS6KA5	0.697
FAHD1	0.1005
SLC12A4	-0.34825
BRCA1	-1.73333333333333
GBL	-0.63725
SLK	0.276166666666667
NUDT9P1	-0.511
NOXO1	2.28
USP52	-1.84075
BAZ1B	0.486625
SLCO2B1	3.662
BBS12	1.2455
LRGUK	-1.372
TERF2IP	0.334
COL1A1	4.9085
KIAA0090	-0.42775
GRK5	0.273
AP1S2	-0.9178
TMEM52	-1.02566666666667
CA11	-0.63925
OR4A15	0.370666666666667
ACBD3	1.2348
SPAG11B	0.0735
PRDM2	0.873
FOXP3	0.95775
SMYD3	-0.445
LOC389199	1.503
LGI2	1.71983333333333
NAPE-PLD	-0.9976
ANKRD6	0.7385
WDR45	0.174333333333333
SHROOM1	-0.61525
PSCD3	0.4725
PYY	0.7615
KCNC1	-3.2965
ARHGEF9	0.438
OR8J1	0.4525
GPR55	0.721166666666667
NS3BP	-2.417
C10orf22	1.1555
NAT8L	-0.7075
DUSP4	0.3795
FOXM1	-1.84583333333333
GRAMD2	0.5629
ZBTB48	-0.354
BUD31	-0.619
PABPC5	0.806
CCDC41	-1.024
FBXO11	0.296666666666667
C6orf148	-1.4005
RFXAP	-1.75675
C6orf15	0.333166666666667
CDK8	-1.01933333333333
C6orf70	0.154375
TESSP2	-0.554
ALG2	0.837
PPP1R3D	1.743
TPM3	0.648166666666667
SYT13	4.70475
EPB42	-0.49
CETN3	-0.525
PRY	-0.478
NTHL1	-0.527
POLR2B	0.084
RPS28	0.383416666666667
P2RX3	0.30925
LYZL4	-0.3505
WBP4	-0.3836
PMM1	-0.2475
C11orf79	-0.05675
CBLL1	-0.52025
IL1F10	0.533333333333333
VAX2	0.3955
SETDB1	0.103833333333333
LRAP	-0.254833333333333
GCLM	-0.029
CPEB3	2.22125
PPM1A	0.3488125
INTS1	-0.79825
CAMTA1	0.910166666666667
SAMSN1	-0.493
LOC158830	-1.26283333333333
GMPPA	-0.278625
AIPL1	-0.290666666666667
IL24	0.828
BDKRB1	-0.983
MLF1	0.5537
TAF12	-0.68825
ID1	-2.1295
THADA	-0.2685
PIK3CB	-0.52525
OR4N5	0.6145
TBC1D17	-0.197833333333333
COX8A	-0.2365
CDCA4	-0.58025
C2orf44	-0.6485
ZNF534	-0.1355
IMMP1L	-0.551
NIPSNAP3B	-0.08925
FTMT	0.207
PWP2	-0.924166666666667
MMP15	-1.0808
DNAH11	-1.49675
MTMR14	0.253875
DNAL4	1.25525
IPP	0.52325
TMEM59	1.166375
C1orf157	0.54
RGS4	2.06433333333333
DDX18	-0.482166666666667
SNX6	0.149
ZNHIT2	0.465666666666667
NCDN	0.482166666666667
FLJ33534	-0.376
RAG1	-2.34014285714286
OR4D10	0.4035
PTPN5	-0.171666666666667
POMT1	-0.022125
LRRC8A	0.8688
CYP1A1	-1.68375
CAPN1	0.313166666666667
DDHD2	-0.33725
GRIK2	0.6165
GNRHR	0.1585
PPBP	1.3615
HTR3A	-1.043
SLITRK4	3.078
ANKRD49	-0.56575
BTF3	0.1982
SARS	-0.24625
C13orf18	0.6285
CACNB1	-0.317785714285714
QKI	0.593545454545455
SETMAR	0.53625
MAN2B1	1.1925
EML3	-0.514
ACADL	0.804
OFD1	-0.216125
DEFB114	0.9005
CGA	-3.1433
PEX16	-0.355833333333333
LRRC10	-0.676
GNG12	-0.225
C1orf152	-0.0526666666666667
CHRM1	0.317
CD53	1.455375
DBH	-0.824
TFAP2B	-0.095875
HIST1H2BJ	-0.6735
FAM46D	0.219
TMEM11	-0.4435
C3orf32	-2.3375
PCCB	-0.64025
IPO13	-0.064125
C6orf105	-2.945
COMMD5	0.47625
SUV420H1	0.3539
LTBR	0.238
ARHGAP15	0.488625
HDHD2	0.24925
TDRKH	-0.719833333333333
LOC401052	0.676
PSG4	-1.3885
GNB4	-0.5266
SPATA4	0.3925
SLC9A3	-0.5525
OSBP	0.323166666666667
NBPF3	-0.133166666666667
DOCK11	-0.02
SLC39A5	-2.00866666666667
PRR5	1.3065
C10orf63	0.505
SMTNL2	-1.6055
ADRA1A	0.21325
ASAH1	1.6458
DOM3Z	-0.602
GIPR	1.1215
AHI1	-0.486333333333333
NADSYN1	-0.6005
RGS14	-0.1999
IL18BP	1.392
RTN4RL1	1.67941666666667
ARMC6	-0.63
PSMD5	0.05
HK3	2.0303
OR4S1	0.10025
RSU1	0.903
MAD2L1	-1.78066666666667
EIF4A3	-0.19525
DLEC1	-0.435
E4F1	-0.277333333333333
CHMP2B	0.8364
CAMSAP1	-0.3195
RPS21	-0.707666666666667
ARID5A	0.62525
UBE2N	-0.1228
IGSF8	0.9965
MAGEB6	-1.7245
ACAD11	-2.0898
MGC4172	-1.7875
LMO4	-0.08575
KLKB1	-0.1545
HP	-1.209
HDAC3	-0.56925
SCHIP1	0.74525
CLCA1	0.9915
OLFML2A	1.80175
C1orf112	-1.2415
KIF19	1.4105
HAPLN4	-0.1091
CXCR7	0.401666666666667
GOT2	-0.3352
RAB38	-2.970875
DCX	0.87275
PPM1H	0.122666666666667
NFYC	0.531333333333333
KIN	0.1345
ZNF228	0.78575
PLSCR4	2.48883333333333
HIG2	-1.4465
FAM79B	6.282
C21orf86	-0.7334
KCNK10	0.7455
ZNF738	-2.2205
FSTL5	-1.50583333333333
OR6A2	1.057
OTOA	0.794333333333333
EXOC1	0.33175
AHRR	-3.530375
PDAP1	-0.936583333333333
C19orf6	-0.183625
ZAN	0.6215
LY6G6E	0.002
EIF4E2	-0.36375
C20orf198	0.62
ZNF324	0.18375
CYP3A5	0.1165
ENTPD7	1.644
MBOAT5	-0.798
GJB5	-1.34725
TTC13	0.35925
S100Z	-1.2305
KIAA0664	-0.780333333333333
PDGFRB	2.51025
IL17D	-0.61725
OR56B4	-0.3095
RDX	-2.08816666666667
SLC34A3	1.0525
IL28B	0.5305
JUND	1.73375
CHRNB1	-0.898875
CAMK2B	-0.28525
FETUB	-2.48325
CXorf23	1.339625
MRTO4	-1.69475
TTC3	0.962
NDUFB8	-0.259
EDG2	-0.6495
SEMA3G	1.846
IL23A	-0.984
GRHL1	0.8501
LOC441054	-2.467
WDR65	0.96225
PSTK	-0.568
STOML3	0.788666666666667
R3HDM2	-0.1499
C5	-1.8115
SLC2A10	2.102
C3orf22	0.51675
PAQR3	-0.910076923076923
ANKRD26	-0.688416666666667
HCRTR1	0.126
LOC399947	-0.28775
PSD2	0.362
TIGD2	-0.83
SCRN1	-0.692
COQ10A	-1.76475
DDI2	-0.225
METTL7B	-0.600666666666667
UCN2	0.74
FAM92A3	-1.61525
WDR16	-0.2475
ZNF511	0.208333333333333
ZMYM5	-0.82675
POLR3G	-3.0295
ZNF586	0.641
C1orf49	0.0576666666666667
TANK	0.141666666666667
RCAN1	-0.0503333333333333
PELI3	1.55966666666667
LIMD2	0.437083333333333
TMEM189	-0.1045
NTN4	0.375875
LOC151300	0.4845
CLEC2A	-1.0275
GPR135	-0.117625
DPYSL4	-2.8824
JAK2	0.216666666666667
TSHZ1	1.51416666666667
TM9SF4	-0.19875
ZNF264	1.673
SIRPG	2.82375
BICD1	0.08825
HERC6	3.61083333333333
METTL5	-0.9085
CASP1	1.36775
PRRT1	-0.0636666666666667
PLA2G4C	3.08816666666667
ICA1L	0.135
TPTE2	-0.6216
OTUD7A	1.37416666666667
AQP11	-1.75775
APOA2	-4.4902
KALRN	-0.0045
SECTM1	1.59483333333333
IFNAR1	0.20875
TALDO1	-0.250625
RAB11FIP4	-0.493333333333333
EIF5A	-1.9125
FAM49A	2.25125
NEGR1	0.341166666666667
YTHDC2	0.553
EHD2	-0.133875
NCF1	2.7035
SCRT2	1.902
HOXA5	-0.266
NUP133	-0.00125
FGF12	-0.452375
SLMO2	-0.36775
SNTA1	0.0845
CACNG2	-0.00787500000000003
GCM1	0.622875
ELF1	1.19283333333333
TLR5	3.4075
TCFL5	-0.870333333333333
RBMY2FP	-2.265
LOC100125556	0.387375
FAM129B	0.674875
MAP3K7IP1	-0.087625
NCK2	0.69
OXA1L	-0.85975
FMO9P	0.0105
ZSCAN12	0.0795
PSMD12	0.326416666666667
HSCB	-0.3105
CLDN10	-2.49325
MGC13053	-0.277666666666667
HPCAL4	-0.678666666666667
ASZ1	-0.3135
MEX3D	0.775333333333333
NFAT5	-0.6227
CSPG4LYP1	-0.774
FBXO3	-0.1542
DVL1	-1.139
CMKLR1	3.00716666666667
TYMS	-1.85975
PEF1	1.272
ZNF750	-0.596833333333333
MCM5	-0.0855
MEGF11	-1.22725
KCNK7	0.064
PTP4A3	0.2545
C1QTNF2	-1.2635
OR6S1	0.013
FAM122B	-1.8895
ZNF551	-0.3695
HBQ1	-2.113
GEMIN6	-0.63575
ARSK	-0.14125
RBP7	3.04533333333333
CPNE9	0.1955
DSC1	1.3685
LOC730112	-0.25425
MAP2K4	0.519375
HS3ST5	0.1565
EPB41L3	0.88375
TEKT2	-1.05825
CDKN2B	0.7635
ZNF480	-0.23375
MAP3K6	-0.172
MAP6	1.437
HN1	0.1724
OR2L13	0.492
SLC16A11	0.55725
FAM96A	-0.17125
APOL1	1.10125
C5orf32	-0.293
RTP1	-0.496666666666667
RNF175	0.0537500000000001
ZBTB41	2.065875
AHCTF1	0.3124
SAE2	-0.2737
ITGA2	1.21441666666667
MME	-0.0676666666666667
CCDC14	-1.1435
MAST4	2.208
KRT33B	-0.3195
KCTD2	0.233166666666667
WDR26	0.81625
MFI2	-0.45275
NR4A3	0.876375
ARSA	0.845
UNKL	0.283333333333333
SULT6B1	0.2365
CCNA2	-1.93833333333333
SOX15	-1.059
PPAPDC1B	0.570416666666667
C19orf44	-0.1875
MCAT	0.928583333333333
ARID1B	0.524125
OR52N1	0.264
C12orf48	-0.754
MAGI1	-0.07625
NIPA2	-0.28625
GBX2	-2.15175
RSHL3	0.047375
RAVER1	0.770333333333333
C15orf17	-0.7215
SLC30A2	0.580375
ZNF518	0.17825
PCYT1B	-1.9895
C10orf114	-1.2265
EIF3H	-0.1045
SLC25A39	-0.8155
KIF1B	-0.70875
AMOTL2	0.25475
C6orf120	0.80525
PSRC1	-1.57725
PLA2G10	3.385875
KIF5C	0.46475
MRPL37	-0.2365
C17orf62	0.378833333333333
C9orf135	-2.0008
DUSP10	0.9545
CLCNKB	-0.233
PSMA5	0.05075
C8orf53	0.47825
AMPD3	0.728333333333333
PIAS1	-0.01475
ADCYAP1R1	0.175
GYLTL1B	-0.439
CDH20	0.2145
FBXO7	-0.02375
TMEM134	1.011
FLJ14213	1.27116666666667
ZNF3	0.17975
LRRFIP1	0.399041666666667
CNOT2	0.45
ABI3	2.977
ALDH5A1	-0.341583333333333
HNT	3.4486
SERPINA4	-2.528
TK2	-0.0748333333333333
STMN1	-0.966
GUCA2A	-0.197166666666667
GALNT10	0.647642857142857
DPP6	-1.1184
C9orf93	-0.59975
PRELID2	-0.669875
STK39	1.345375
SFTPA1	-2.54525
CKS2	-0.420666666666667
RHO	0.263125
C20orf135	-0.19275
XKR3	-3.1795
CR1	1.18875
RPS6KA2	0.261571428571429
C20orf112	0.846
MRPL22	-0.40425
C4orf23	0.9745
GADD45B	1.749
KLHDC1	0.683
C2orf48	-2.531
ZNF287	1.4005
DAAM2	-0.40325
DPPA2	-3.55783333333333
TCTN3	0.547166666666667
DNAJB11	0.338875
FPR1	3.47525
DEFB4	0.0665
PTCD2	-0.6202
SMOC2	4.631
CABP7	0.658
SERPINB11	0.355
MAGEF1	1.21275
NDE1	-0.607833333333333
ITGA10	0.8385
FSHB	0.312
ANXA2	0.6555
HORMAD2	0.22425
HLCS	0.0155
MCF2L	1.68141666666667
FH	-0.62425
TBC1D24	1.15625
KIAA1505	0.93525
LGALS2	0.9095
CNBD1	-0.786
SYNPO2L	-0.457
PTPN23	-0.197285714285714
C1orf183	-0.248666666666667
MAGEA8	-3.1515
DGCR8	-2.121125
GSR	-0.49975
PAQR7	0.04175
ZNF676	-0.9825
CACNA1C	0.1612
SP7	-0.406
PDCD6	-0.37675
NRN1L	-1.2495
BRI3BP	0.0933333333333333
KIAA1183	1.34475
ASB4	0.10275
CCL23	1.7035
OBSL1	-1.190875
SLC12A7	0.90825
KIAA0240	1.210875
CD1B	-1.92016666666667
FCGR2A	2.477625
MDC1	-0.98275
HTR1A	0.784
OCEL1	0.1485
ATP11B	-0.9626875
FBXO34	0.3825
PCDH12	3.95266666666667
RPE	-1.13875
C17orf74	-0.248
CSDC2	0.6465
PET112L	-0.1915
TMBIM1	0.58875
P2RXL1	-0.460666666666667
TCHP	-0.368
TRMT1	-1.10716666666667
F2RL2	1.72983333333333
LRRC32	3.25766666666667
IMPG2	0.2515
BGLAP	-0.05625
LOC493869	-0.60525
MRAS	1.7525
SLC35F5	1.2965
CBWD1	-0.8085
AXL	-1.42525
ATP2C2	1.951
TELO2	-0.96575
PNPLA3	-1.0105
PCDHB14	1.039
CD276	0.77975
KRT80	-0.12675
DUSP28	-0.0335
CSNK1E	0.566416666666667
SRP14	1.1985
KCNQ4	-0.2725
KRT72	0.0643333333333333
CCDC117	2.940875
C6orf89	0.280944444444444
TUBB2B	-2.62466666666667
RTN4IP1	-1.35025
CR1L	-3.067
CEND1	0.54975
C12orf41	-0.395
RNF31	0.4425
UBN1	-0.430166666666667
C17orf32	0.048875
SLC5A7	0.30925
GPR92	1.64066666666667
ESAM	2.9943
CTNNA1	0.610083333333333
HRBL	-0.1189
CBX4	0.30475
TMEM182	-0.822
SH3TC2	-1.05066666666667
IL10	1.4825
PXMP4	-0.1855
RNF167	-0.4271
PAK7	2.92933333333333
ETV3	-0.2375
ATPIF1	-1.388
LOC554207	-2.36033333333333
OR8H1	0.2415
WDFY3	1.4825
DPM1	-1.25725
GPSM1	0.05
WDR92	-0.1587
LRP1	0.858166666666667
ANKH	-0.683125
THUMPD3	-1.073
POLR1B	-0.882
OLFM4	3.52633333333333
RAD9B	0.91025
TSPY2	-3.691
PAX6	-2.4655
SCG2	-1.946125
SLC17A6	0.3325
FMO3	3.641125
PADI4	-0.02725
TUBB4	-0.5441
NLK	-1.18175
POU4F3	-0.953
SDF4	-0.13175
ITGBL1	2.82583333333333
NETO1	-1.999
TAP2	0.37675
ABBA-1	-0.111916666666667
GNAI1	0.63
VPS4B	0.91475
NOPE	-0.1239
GALNT6	2.86133333333333
SESN1	0.92575
GBE1	-1.72877777777778
CLASP1	0.45025
RASGEF1B	1.582875
ACOT11	-0.270357142857143
AFAP1	1.5015
OR2H2	0.123
DPY19L2P1	-1.51425
DZIP1	-2.1135
SEC22C	-0.763
GPR161	0.267583333333333
RNF146	0.9705
WDR74	-1.06225
GALP	-0.0015
PURA	0.1525
DNPEP	1.33141666666667
RP11-78J21.1	-1.16075
ERBB2	0.997625
FANCM	-0.601083333333333
NEO1	0.9835
DDX3Y	-5.3315
RPS3A	0.108375
MXRA7	-0.1625
LGALS3	-0.912166666666666
GLT8D1	-0.31875
CFL2	-1.80116666666667
UPB1	0.3905
NAP1L5	0.0615
CLDN14	-0.174
DHX38	-0.78775
BTBD1	-0.08125
TARS2	0.125
ABCF1	-0.3634
FCF1	-0.0281666666666667
LRRC49	4.58825
GUCY1B2	0.3025
C1orf177	-0.128333333333333
SMARCA4	-0.482928571428571
LRP8	-1.82866666666667
TAGLN3	-1.60325
MRPL14	-0.4625
TTRAP	0.26175
ZDHHC20	0.43125
NFE2L3	-0.206
KIAA1377	2.111125
PALMD	1.7207
TMEM43	-0.0395
TTL	-1.154
STAT5B	-1.6325
SSB	-0.76175
OR10H5	-0.3335
SLC22A13	-1.54525
AKAP3	-0.99525
TIMM23	0.183666666666667
OAS2	3.77433333333333
KIAA0423	0.7935
TRIM11	0.882333333333333
GLIS3	1.517875
TMEM50B	0.642166666666667
ARHGEF4	-0.88175
DEGS1	-0.657
TBL1XR1	1.26403333333333
G6PD	-1.78675
SP140	1.6971
MUC17	0.387230769230769
NUDC	-0.8759
DNAJC5B	2.453
SCARA3	-0.768666666666667
CPA3	6.77583333333333
BCAT2	0.0825
MFN1	-0.1319
NRG3	0.441
SNX11	0.666
PLEKHH1	-0.774
GPR177	-0.2275
HCFC2	0.12875
TCAP	-1.133
MOCOS	-1.30425
C14orf93	-0.1875
PRDM10	-0.444
SLC16A4	0.0770833333333333
SRGAP1	1.70983333333333
VIP	0.19975
DUSP27	0.731833333333333
LILRA1	1.1163
MC2R	-0.1315
MGC24103	-2.76625
MBTD1	-0.908
FUT11	-0.744666666666667
USP33	0.6805
C15orf39	-0.53025
MAP3K12	-0.1355
PAAF1	-1.55083333333333
BARHL1	-0.481
FLJ16165	-0.068
PIWIL2	1.2765
SYNE1	0.796416666666667
CMTM4	-1.315875
TSPYL1	1.4003
GUF1	1.18683333333333
TMEM157	1.661
WDR44	0.482
HIST1H3C	0.51125
DKFZp666G057	0.179
RNPEP	0.49925
GAS2L2	0.215166666666667
ADH4	-5.13625
GRPR	0.598333333333333
FBXL17	1.673
ZBTB10	0.210583333333333
Gcom1	1.07055555555556
HTRA1	1.6463
ZNF585A	0.0515
SLC26A2	0.135642857142857
OTOP3	0.0618333333333333
WISP1	3.14844444444444
ATP2B4	-0.273083333333333
FLJ10769	0.0765
CRAMP1L	-0.49925
CHST12	-0.21275
RAB22A	0.495833333333333
TARDBP	-0.300285714285714
STAU1	-0.03075
CRB3	2.217
MIG7	-1.1595
CHMP1A	-0.1545
ZNF160	0.0825
B3GALT6	-0.458
BARX1	-1.14333333333333
C6orf167	-1.4423125
NXNL1	0.358
DHX29	0.586125
HADHB	-0.21775
PLXNB2	1.02575
ILDR1	-1.42275
SLC15A3	2.85925
GAS2	-3.47066666666667
C20orf69	0.0475
NUMB	-0.1995
TNIP1	0.56375
MESP1	0.143666666666667
PSKH1	-0.27975
NSFL1C	0.16525
RHOG	0.2135
HEY1	-0.979
KNG1	-2.41075
ITGAX	2.4516
LIN9	-0.0895
CANT1	1.4925
XRN1	0.740571428571429
CCDC96	1.4372
HEATR6	-0.308333333333333
GNG7	0.301583333333333
RUNX2	1.5645625
SOX1	0.959
FCRL5	1.9939
ZNF99	-0.057875
FAM9A	0.7275
SNX22	1.02766666666667
MBNL3	-2.05266666666667
ODC1	-2.0987
ADORA2B	-2.7965
NR2F6	0.6255
ZFYVE16	0.0445555555555555
SYNJ2BP	0.6154
POLE	-0.62175
E2F2	-0.988375
THRA	-0.433333333333333
PTGES2	-1.1125
HIP1R	1.04433333333333
TMUB1	-0.565666666666667
ENO3	-2.8515
RSPH10B	-0.2195
CXorf39	1.2265
IRGC	-0.05475
GPR109B	-0.4375
FLJ13305	-1.1785
LCE3A	-0.5035
TNFRSF18	-0.497166666666667
DET1	-0.1235
TRPM3	-0.506
C16orf79	-1.625
FECH	-0.0765
RAP2A	0.194166666666667
CRIP1	3.517
AZIN1	-0.343625
SLC7A7	3.752
IL10RA	1.8337
TMEM64	-1.1805
CDC42EP4	1.225
C16orf58	0.0071
ARG2	-2.1735
POU5F1P4	-4.9965
FAM62B	-0.316375
DNAH8	-1.7644
ASH2L	-0.14925
TSLP	-1.99366666666667
CNTNAP5	-1.022
TMEM16C	0.436
IFNA14	0.211
SLC1A3	1.14
CABYR	1.47925
BCL7B	0.0911
NUDT13	-1.91766666666667
C13orf28	0.42825
C1orf53	1.5815
ARL6IP4	0.5012
RPL35A	0.1685
EMR3	0.41825
RAB40C	0.546416666666667
SLC41A1	0.00433333333333333
LRCH1	-0.0827499999999999
LY6G5B	-1.504
FAM124A	-0.242642857142857
MGC10981	-4.108
CLIP3	0.4577
MAP4K2	-0.362666666666667
CHIC1	0.607
SULF1	3.72866666666667
C20orf30	0.283714285714286
PRDM5	0.6245
ELOVL1	-0.13325
C11orf48	-0.76175
SLC39A10	-0.436
KCNV1	1.133
ACP1	-0.641
ZMYM2	-0.72725
B3GNT6	-0.307166666666667
C9orf69	0.62825
C2orf15	0.7885
C20orf166	-0.0115
HSP90AA6P	-0.7315
EDG7	-0.966
NEURL	2.874
LPL	2.531
CLEC2D	0.392571428571429
GRRP1	2.36466666666667
CD8B	-1.9248
HIST1H3D	-0.597333333333333
SLC6A12	0.688375
FAM27L	-0.368
CD84	2.7032
RASA1	-0.042
PHKG1	0.2635
MAGEA11	-2.382
IMPA1	-0.9148
NPM3	-1.413
RARRES1	4.01475
SH3BP1	0.431125
B3GNTL1	-0.395
ARPC5L	-0.1285
KLHL26	0.5495
SIM2	-1.500125
GJC1	0.742
C20orf194	0.1035
EXO1	-1.65425
SLC2A2	-2.6285
LOC285074	-1.33125
LRG1	-0.272
KIRREL	0.213
PIK3R1	1.77214285714286
C4orf34	1.66725
MAF	-0.306388888888889
ADCY4	4.04016666666667
ZMIZ2	0.6324
SLC46A3	1.40533333333333
STAMBP	-0.107166666666667
CCDC16	0.004
MS4A12	0.4905
TCF20	0.4185
LRRC46	0.7605
C20orf152	-0.415
MRPS6	-0.727
ABCB11	-0.31
KCNC2	0.0976666666666667
CDH19	-2.62083333333333
C9orf123	-0.432666666666667
SSH3	0.767875
LDLRAD1	-2.94475
CCBE1	-0.8985
ZNF135	1.65675
TAAR1	0.7955
WFDC12	0.4625
CCDC42	0.225333333333333
FLJ12529	-0.61325
PER1	0.187666666666667
TIMM50	-0.384
SMARCAD1	-0.233666666666667
FAM26C	0.229
TP53TG3	-2.45
SH3RF1	2.5318
LMCD1	2.23475
GPR63	-0.147
FLJ21986	-1.49425
AIFM3	-1.68875
MICAL1	1.25566666666667
BLZF1	1.18816666666667
IQCA	0.912333333333333
PCDHGC3	-0.4935
SAC	0.30825
BCL6B	2.86083333333333
DDO	-0.17425
MARCO	2.63825
DCHS1	0.898333333333333
C1orf170	-0.744333333333333
CD200R1	2.34633333333333
C22orf15	-0.488
SEPT11	0.286166666666667
ADNP	0.1885
UST	1.4472
C13orf34	-1.69433333333333
RFFL	0.129357142857143
APBA3	-0.094
C2orf60	-0.471625
CUTL1	0.417
PMS1	-1.677375
ZNF689	1.5
EIF3E	-0.864833333333333
IL9	-0.0743333333333333
RPL31	-0.381375
LY9	2.2415
ATP2B3	-0.131
KDELR2	0.555583333333333
TFCP2	-0.072
NLRP12	-0.98425
FLJ45422	-0.2355
TLE4	-0.1439
ZNF570	-0.7665
FLJ43806	-0.917
TLK2	0.69575
CIR	0.778
MARS2	-0.2235
COL24A1	0.5015
SDF2L1	-0.092
HIBADH	-0.667833333333333
IGFBP3	-0.874071428571429
C12orf23	1.91925
PSPC1	-0.42975
C20orf43	-0.0275
TRAV20	-0.039
ARHGAP24	1.55325
KIAA1975	-1.553875
C1QA	3.6881
DNTT	-4.9215
C10orf6	0.363083333333333
C11orf41	0.17975
HNRPF	0.487625
COL11A1	5.86883333333333
UBAP2	-0.228
CDKN2AIPNL	-1.487
C20orf174	5.58575
SPRED2	0.626
PLA2G12A	0.335166666666667
ICEBERG	-2.48683333333333
SCN10A	0.6615
C11orf65	-0.73625
GBP5	5.49275
PITPNC1	0.0903333333333333
POU3F3	1.6165
NCOA7	0.656375
LIN7C	-0.2291
LOC348840	-1.8335
NKX2-2	-2.188
ANKRD13D	0.47925
LOC123688	-0.72025
FUT2	0.922
TAAR8	0.2735
FZD4	0.702916666666667
PNMA3	-1.164
OR4L1	0.1955
WIT1	-3.1105
EXOC3L	2.235
ATPBD4	-0.6734
KRBA1	-2.30325
UBXD6	-0.06525
HOXB7	0.790642857142857
C7orf23	-0.2535
UNQ338	0.8135
STAB2	0.58725
CDC20B	-0.471
IRF9	2.92375
CENTG1	1.07233333333333
TNPO2	-1.10625
MCPH1	0.333
BMS1P5	-2.147
SLC26A7	1.04325
HIST1H3J	0.71375
C9orf3	-0.2252
LBH	2.0275
MYO1D	0.864
PTDSS2	-0.91125
NFU1	0.4505
DEPDC4	-2.24975
WNT7B	1.072
GLP2R	-0.449833333333333
SETD4	-1.0932
DYNLT3	-0.3721
FKBP11	-0.2435
SESTD1	0.231666666666667
FLII	0.0445
RPS16	-0.1463
CHPF	0.267166666666667
CSNK2A1	-0.0851666666666667
SUMO1P1	-0.1735
FKBP6	-1.259
ZNF214	0.719
TWIST1	0.345
DDX56	-0.617333333333333
TRAM1L1	2.4189
EPO	-3.2825
MRPS18B	-0.58425
ZNF682	-0.0471666666666667
RPL14	-0.598333333333333
MAFF	1.0715
LOC51136	-0.841125
LY96	0.7525
DDX20	-0.06725
ABTB1	1.1205
ARL5A	0.8056
CCT6A	-1.20225
HEPACAM	-1.08166666666667
EHHADH	-0.1445
RBAK	0.515666666666667
CGB1	-0.192
ITGB5	1.2805
YIPF3	0.69225
FKBP2	-0.0035
NR1D1	-0.2181
TMEM110	0.1065
NEK2	-0.5695
PRAMEF8	-3.7565
C20orf52	-0.724333333333333
PCDHGA3	0.431
VWA3B	0.668
NDUFA5	0.183875
THAP9	-0.4155
FLVCR2	-0.124833333333333
AP1S1	-1.3165
SMAD6	-0.66325
SAV1	0.374375
SAT1	1.22575
ZNF251	0.432875
ADAMTS7	0.5377
RPP38	-0.05025
C1orf211	-2.531
YPEL2	1.95175
RBMS1	0.4765
ZNF445	-0.741666666666667
NRXN2	0.972833333333333
PGBD4	-0.422142857142857
UGT2B28	-2.51525
WBSCR16	-0.8049
NLRC3	1.271375
ASTL	0.147
ST6GALNAC1	-2.03825
ZADH2	0.71875
MLLT4	-0.431666666666667
ARL6	-0.614166666666667
MEF2C	1.558
CBFA2T3	0.006
AFF3	3.11064285714286
COG7	-0.109833333333333
MYB	-0.274666666666667
PLXNA3	0.0885
XRCC2	-1.80633333333333
MMS19	-0.574125
ST8SIA5	-1.13725
CHPT1	-0.408166666666667
KIAA1712	-1.008375
OR6X1	2.378
ACTR3	0.23025
UGCG	1.67383333333333
