Hybridization REF	TCGA-BH-A0AW-01A-11R-A056-07
LIME1	-0.12025
GPR137C	0.695
OR2A2	-0.4375
C2orf29	-0.959
NUP188	-0.638
SDPR	-1.6865
RAI1	0.069625
RPS20	0.7091
LAMB1	-1.6125
ADM2	1.2075
ZNF229	0.9285
DKFZp434K1815	-0.742125
EPN3	4.0455
CLIC3	2.95375
MEIG1	-0.547
HMGB4	-0.24025
STARD10	2.531375
KLF8	4.21625
EPB41L2	0.254333333333333
JMJD6	0.1525
CTSL1	-0.609833333333333
GPR27	-1.473
ELAVL4	0.176
MMP21	0.1605
PPM1B	0.185125
SUV39H1	-0.19925
AAMP	-0.29175
TUSC4	0.117333333333333
MBD6	-0.057
KLK13	-1.469
FMNL3	0.519
TRIM13	-0.000916666666666695
C15orf5	-2.32625
IQCF1	-0.06125
CACNG8	0.492
SLC35D3	0.3615
ZDHHC9	1.408
ODF3L1	-0.45275
C9orf86	0.3935
TSEN2	-1.867
C17orf64	0.8285
SEPX1	1.0266
TSPO	1.21366666666667
SYMPK	-0.2185
ADORA1	2.2255
TSPAN10	2.0735
SEMA6C	1.65966666666667
RTTN	-1.6964
IL2	1.20116666666667
ARRDC3	-0.865583333333333
TBPL1	-0.643333333333333
STX12	0.36025
MRPL39	-0.72725
OR8H3	0.989
IFIT5	0.857333333333333
CASC5	-1.3675
FAM46A	-0.529
HPCAL1	-1.131
CYLC1	0.806
VGLL2	0.116125
C20orf191	-0.938
CDH1	2.64766666666667
ITPA	0.25925
CCDC101	0.9215
D15Wsu75e	0.07275
EDA	-1.367
CREG1	-0.73725
OR7G2	0.511
SAP18	0.435916666666667
IFIT1	0.654
CALML3	1.30766666666667
FLJ37440	1.446
FNDC5	-0.823
SERPINB6	0.00871428571428572
JUNB	0.6126
SYS1	1.38675
SCN2A	0.4
ZKSCAN5	-0.9202
WNT7A	0.321
TSHZ3	1.6225
RNF148	0.96525
H6PD	0.05425
CAD	-1.24416666666667
ZNF449	0.2535
DOCK10	-1.1445
FAIM2	1.584
HEXDC	0.4535
PRB1	-0.13775
C14orf148	-1.8215
ETHE1	0.78625
IRF5	0.8865
GNMT	3.1865
MGC16291	-1.567375
RPAIN	-1.42707142857143
CAGE1	1.0235
CNTNAP3	-3.337625
ACTR1B	-0.74425
EEF1E1	-1.59375
MSX1	-0.39125
ESF1	-0.4636
HSPC171	0.71125
MRPL2	-0.130833333333333
RDH12	-0.00916666666666666
CELP	0.39
METRNL	0.325
C10orf116	4.59883333333333
C19orf48	-0.9775
ZNF346	-0.355375
NCR1	0.0715
C10orf64	2.0605
CD52	2.91675
VPS18	1.820875
AP4S1	-0.408
NPBWR1	2.5045
TPK1	1.7975
UBA52	-0.00816666666666662
RIPK1	0.899166666666667
CPNE3	1.6175
HSPC159	1.016125
C8orf38	0.244
LRRC4B	-0.1245
PARP10	1.5496
ANKRD50	1.579875
CXCL9	8.124
FGF18	1.223
EIF2A	-0.68375
SLC20A2	0.732
KIAA1549	0.723083333333333
SPINT1	2.0589
ZNF584	0.078
CRBN	-0.376833333333333
ABCF3	0.196833333333333
NCBP1	0.138333333333333
PLA2G4F	0.788
PCDH10	-0.69575
TTC21A	0.0185
C20orf144	1.436
FGFR1OP2	-0.6125
SLC9A1	0.2515
CHRND	0.0815
FOXF1	-2.3125
KIAA1467	0.61125
TPO	0.5465
LTF	4.16071428571429
DNAJB9	0.15475
MRPS27	-1.359
bA16L21.2.1	-0.705
WBP2	0.828166666666667
MRGPRX3	-2.028
PRPF18	0.07875
C10orf58	0.7865
SMOC1	-1.2392
ADAT3	1.47183333333333
TMEM138	-0.01425
TMEM131	-0.634
TIMM8B	1.259
MYH7	0.200333333333333
ST6GAL2	-0.10825
KIF1C	-0.08125
SUHW2	-2.3875
PAPSS1	0.385
CABP2	0.3815
HOXA4	-1.8035
ELF2	-0.068
SEMA3D	0.4993
MC5R	0.673
OGFR	1.357
FLJ30092	0.0776666666666667
TGFA	-1.1177
MMP17	2.42475
KIF15	-2.2845
CHIA	0.30875
CATSPER3	0.66025
CEACAM7	4.42116666666667
PADI2	4.23775
HOXA9	-0.222666666666667
LNX2	0.164333333333333
TMEM144	1.91525
HIF1AN	0.769
METTL7A	-0.3318
C6orf165	3.63266666666667
KIAA1468	-0.53225
DSG3	-0.278
ZNF180	0.556
EIF4E3	1.5445
SLC46A1	-0.051
DKK1	-6.086
ZNF205	1.797
LOC162073	0.419166666666667
COX7A1	5.7035
MAGEA1	-5.34583333333333
NEDD8	-0.47925
KLHDC5	-0.8115
C3orf19	0.5015
MRPS2	-0.86025
POLR3H	0.102214285714286
ABHD11	2.3658
TMEM17	0.73575
PAIP2B	0.0199
MAT1A	-3.835
LGI3	0.419
THUMPD2	-0.33625
TKTL2	0.05475
XAGE3	-2.543
CALM3	1.02
C6orf136	-0.200166666666667
KCNC4	0.1815
RGS9	0.308666666666667
ACIN1	-0.869833333333333
SPATS1	-0.101
XKR8	-0.189
FAM84A	4.1745
MS4A7	5.44063636363636
AGXT2L2	-0.12175
OR1F1	-0.274
SMAP1L	0.322666666666667
IPO11	0.243625
ZC3H11A	-0.404375
C1orf151	0.395125
RNASEH2A	-0.704
CCR10	-0.572
TXNDC11	0.17225
TMEM112	0.974625
MAP1B	-1.76571428571429
NVL	-0.15025
PKM2	-1.09465
ARC	-1.0785
NUP54	-1.417
PPFIBP2	2.0655
STAT2	0.909
PTAFR	3.16466666666667
ROBO2	2.4085
RNF40	0.417666666666667
CCDC135	-0.720833333333333
IFT81	-0.9117
MORF4	-1.42575
TM7SF3	-0.617625
OR10H3	0.465
ABP1	0.975875
CHRD	-0.1645
PLEKHA8	0.131333333333333
NCALD	2.54616666666667
OR5AK2	0.48725
ACCN1	-0.0443333333333333
SLITRK1	-0.39425
ARMET	-0.2525
C9orf52	1.403
REEP4	-0.1405
MTSS1	1.175625
ADH1B	2.3655
DLD	-0.5935
CDK5	-0.49
PPFIA1	-1.3275
WFDC3	1.3455
DNAJB12	0.772071428571429
RANGRF	-1.278
MLANA	-4.13725
AMY2B	-0.000750000000000028
KIAA0319	-1.87525
RPS7	-0.2725
JAK3	0.4533
ARFGEF1	0.66325
CXCL5	0.099
TRAPPC4	0.2005
CETN2	0.461
HSPC111	-1.12125
RHOBTB3	-1.3859
PHLPP	-1.4595
RGS10	1.71325
TMEM58	-0.039
CHERP	-0.49075
HSP90AB3P	-0.186166666666667
FSTL3	-0.324166666666667
PEX11A	1.601
OR5V1	0.729
FCN3	3.96475
PTPN3	0.415125
NPTX1	-4.81025
C21orf84	-1.7105
C11orf51	0.895875
ZBED2	4.86275
FLJ90757	1.87275
NPY2R	0.3105
PLD3	0.78975
SYT17	3.21716666666667
SGSM2	-0.878
OR1A2	0.3355
FOXP1	0.813
SLC5A1	-0.57925
POFUT1	-0.7134
EPHB6	-2.33466666666667
MYO1G	-0.42925
STAC	-1.731
KLHL17	0.181833333333333
RGMA	-0.2091
TJP2	-0.7459
FAM114A1	-1.1315
SERINC1	1.5745
SLC9A8	0.0285
PEX19	0.705
EDN2	0.8015
PSMD7	-0.939888888888889
C3orf41	-2.464
UQCR	0.0175
PPP1R3C	-0.161
LRP4	-2.23866666666667
TM2D1	-0.66925
TTC17	0.045125
C4BPB	-4.258625
CCL25	0.59575
ZNF253	0.658166666666667
CHRNA9	-4.29775
SOX11	4.330375
HIVEP3	0.87
CGN	1.24391666666667
C3orf35	-0.024375
PKD2L1	3.36125
SYVN1	-0.16775
PDE8B	-2.9835
LOC439951	2.275
LTC4S	3.5075
MIF4GD	0.1115
SMARCA2	1.094625
TUBGCP6	-0.637833333333333
CABLES1	0.329125
C16orf77	1.37966666666667
ZNF791	0.2325
FUT5	-0.711
ADH6	-2.12383333333333
P4HB	1.8365
CLDND2	0.21225
ALKBH8	-0.59325
PLAC4	-2.4265
F11R	1.13021428571429
MGC35295	0.292333333333333
PDZD4	-0.186666666666667
LOC389073	-0.418
FAM80B	-0.000833333333333343
PSMB1	0.595875
TXN	0.0556666666666667
VIPR1	2.2052
WBSCR18	0.4707
EXOSC6	-0.0221666666666666
ACTA2	3.86933333333333
SP5	-1.8015
ANKRD1	-3.418
DDR1	1.7248
ATP6V1D	-0.50575
PTGS1	-1.654
RNF157	-1.17375
DCC	-0.7475
SPAG7	-0.53125
FBXO18	-0.265
UBE3C	-0.3634
HOXC6	0.528
LRP2BP	-0.414333333333333
MYST2	2.334
PDSS2	0.64575
ATE1	-0.0235
ARAF	-0.4095
KLF10	-0.651
PLA2G2E	0.50475
ASCL1	-1.1475
TSNAXIP1	-0.95625
FAM131B	0.425625
IFNA10	-0.522
NUP43	-0.27275
FAM44B	-1.01625
L1TD1	-4.56033333333333
NMD3	-1.54091666666667
C18orf54	-0.7017
PHOSPHO1	0.214
RAG2	-1.7785
EMILIN3	-0.0475
METTL3	-1.485
VPS13C	-0.231625
REXO2	-1.71725
ANXA4	0.0545
CA1	-0.77025
DCP1B	-0.3245
TULP3	-1.22
ATP2A2	-0.551285714285714
ATIC	-1.28125
ADAM15	0.37725
NPL	2.03583333333333
LGR4	-1.0735
UEVLD	0.148333333333333
GAB1	1.1305
SNAI2	-0.512833333333333
ZGPAT	0.3553
SNF1LK	0.363125
DLEU1	-1.776
UBE2Q1	0.677875
ZMYM6	-0.22675
JPH3	-2.48866666666667
FAM38A	-0.417333333333333
PXK	-0.312
DENND2D	2.29025
BAX	-0.49075
CP	-4.65954545454546
RPL37	0.2531
G6PC3	-0.10075
NCOA4	-0.538666666666667
LRRC14	0.192125
GORASP1	0.133
FCHO2	1.102625
CYP24A1	-3.5692
FXYD3	1.589125
SMARCAL1	-0.18925
ABCB8	0.253166666666667
CCDC44	0.50925
PRDM7	-3.585
USH1C	-1.837
DNAH5	-0.402
SRF	-0.177333333333333
MAL2	2.90716666666667
PGPEP1	0.3535
SIN3B	-0.83375
SEMA3C	-0.432166666666667
GRAMD3	1.46725
FBXO10	-0.103375
OR5D13	0.4635
FLJ31818	-0.2085
CACNA1I	1.472875
S100A13	0.899
TP63	0.3685
ANXA11	-0.4255
WDR66	-0.00637500000000001
CSF2RB	0.789
IFI44	0.28475
DACT1	1.56766666666667
ANKRD23	0.923875
ATP5G1	2.52683333333333
C21orf70	-0.0531666666666667
PPWD1	-1.7445
DNAJC13	-0.65525
PAH	-5.04116666666667
PTCH2	0.71175
TRMU	-0.931
CCDC9	0.5835
USP3	-0.7509
DCLRE1C	0.0146
FAM55C	0.4215
FRMD4B	1.6195
CYP2R1	0.05125
RFPL1	-0.746
XPO5	-0.61025
ARL6IP2	-1.4675
OSBPL5	1.02375
MMP9	4.56690909090909
KIAA0802	-1.5935
DHRS2	-1.39766666666667
SGEF	1.629125
TXNDC10	-0.9559
EXOC6	-0.41975
RPS27	0.697166666666667
PNCK	-1.77666666666667
FSTL1	-1.0045
AACS	0.3095
SLMAP	-0.0941666666666667
SAMD4A	-0.542
ABRA	0.507
SMARCD3	-0.37775
PKNOX2	0.8845
A4GNT	0.1255
C9orf39	-0.477666666666667
RALYL	0.886
MGC33556	-2.1445
C10orf25	-0.4825
BBOX1	3.16
NHEDC1	0.55425
XDH	-0.1755
GCSH	-2.3005
EDN1	0.455333333333333
MTERF	-0.75275
CLK4	-0.46225
ZNF799	0.395833333333333
KCNG1	-1.498625
CXCR4	1.42383333333333
PTPRR	-2.58825
IRAK1	-0.6435
LOC401397	-0.56025
TMSB10	2.59735714285714
CXCL3	-3.0118
TMC4	-0.15675
OR7A10	0.0905
STYK1	-0.22625
CHRNA10	-0.82075
CCNI	-0.02425
EP300	0.454642857142857
LOC165186	-0.0583333333333333
HIC2	-2.073
SDR-O	0.17
OR2W1	0.04
KCNA6	-0.8115
TRIM74	-1.412
REEP6	2.16775
ATP5G2	0.54375
ERG	0.912
TMEM42	-0.46125
PARN	-0.180833333333333
SOD2	0.85075
DIRAS1	0.776833333333333
PNPT1	-1.203
JOSD3	-2.5115
hCG_40738	-0.181
PDE1C	-2.22525
SEMA4D	0.428625
AGPAT1	0.778
NOSTRIN	0.184
MAP3K3	0.145
MAX	0.437785714285714
CAPS	4.38083333333333
SERPINA12	0.046
OSBPL8	0.063625
RICS	1.3713
NR4A2	1.72416666666667
PPCS	0.896833333333333
LONP1	-1.19275
SCYL3	1.64475
HERC2P2	-1.82
FIBCD1	-0.4045
C15orf41	-0.538
DMC1	-1.39683333333333
C20orf27	-0.8525
RPS6KA5	0.0494
FAHD1	-0.484666666666667
SLC12A4	-0.46
BRCA1	-2.38791666666667
GBL	0.059
SLK	0.379333333333333
NUDT9P1	-1.194
NOXO1	3.219
USP52	-2.19825
BAZ1B	0.67225
SLCO2B1	3.5345
BBS12	-0.249166666666667
LRGUK	-0.903166666666667
TERF2IP	-0.21675
COL1A1	4.3935
KIAA0090	0.40925
GRK5	-0.2765
AP1S2	-1.1741
TMEM52	0.657
CA11	-0.644375
OR4A15	0.3085
ACBD3	0.7426
SPAG11B	0.47775
PRDM2	0.7967
FOXP3	0.97675
SMYD3	-0.4673
LOC389199	2.522
LGI2	2.112
NAPE-PLD	-0.326111111111111
ANKRD6	-0.304
WDR45	0.16
SHROOM1	-1.0255
PSCD3	-0.229
PYY	0.606
KCNC1	0.689
ARHGEF9	0.5237
OR8J1	0.07
GPR55	0.199166666666667
NS3BP	-1.653
C10orf22	0.0895
NAT8L	-2.196
DUSP4	1.99033333333333
FOXM1	-1.426
GRAMD2	1.7479
ZBTB48	0.135666666666667
BUD31	-0.359
PABPC5	0.161
CCDC41	-0.74975
FBXO11	0.09675
C6orf148	-1.159
RFXAP	-2.2215
C6orf15	-0.280833333333333
CDK8	-1.2925
C6orf70	0.910875
TESSP2	0.2565
ALG2	-0.283
PPP1R3D	1.91325
TPM3	0.653722222222222
SYT13	3.30925
EPB42	-0.796333333333333
CETN3	-1.1185
PRY	0.3665
NTHL1	-0.249166666666667
POLR2B	-0.751
RPS28	0.42275
P2RX3	0.85775
LYZL4	1.08575
WBP4	-0.7638
PMM1	-0.665
C11orf79	0.158
CBLL1	0.043
IL1F10	1.13616666666667
VAX2	0.85
SETDB1	0.0458333333333333
LRAP	-0.994166666666667
GCLM	-1.06816666666667
CPEB3	1.1675
PPM1A	-0.0146875
INTS1	-0.382
CAMTA1	-0.115583333333333
SAMSN1	-1.098
LOC158830	-0.75
GMPPA	-0.675375
AIPL1	-0.95225
IL24	-0.0285
BDKRB1	-2.129
MLF1	0.9898
TAF12	-0.30825
ID1	-1.555375
THADA	-0.199875
PIK3CB	-0.5105
OR4N5	-0.032
TBC1D17	-0.3005
COX8A	0.759
CDCA4	-1.0525
C2orf44	-0.527
ZNF534	-0.7905
IMMP1L	0.05575
NIPSNAP3B	0.02325
FTMT	0.674
PWP2	-0.476666666666667
MMP15	0.8719
DNAH11	-1.61775
MTMR14	-0.099375
DNAL4	0.39575
IPP	-0.295
TMEM59	0.8575
C1orf157	0.2705
RGS4	-0.963166666666667
DDX18	-0.394333333333333
SNX6	-0.3015
ZNHIT2	1.176
NCDN	0.567
FLJ33534	1.521
RAG1	-2.19157142857143
OR4D10	0.815
PTPN5	0.882166666666667
POMT1	0.806375
LRRC8A	0.261
CYP1A1	-1.34075
CAPN1	0.101
DDHD2	-0.375875
GRIK2	0.05425
GNRHR	-0.04325
PPBP	0.85725
HTR3A	-0.8785
SLITRK4	1.9045
ANKRD49	-0.5505
BTF3	-0.9139
SARS	-0.40875
C13orf18	-0.249666666666667
CACNB1	-0.735692307692308
QKI	0.0271428571428572
SETMAR	0.36325
MAN2B1	1.702
EML3	-1.04125
ACADL	-0.1084
OFD1	-0.65325
DEFB114	0.434
CGA	-3.1391
PEX16	0.440666666666667
LRRC10	-1.6155
GNG12	0.2445
C1orf152	0.211166666666667
CHRM1	0.821
CD53	1.512
DBH	-0.49
TFAP2B	5.4435
HIST1H2BJ	-0.0181666666666666
FAM46D	-0.0025
TMEM11	1.358
C3orf32	-2.24725
PCCB	-0.418625
IPO13	0.5255
C6orf105	-2.36825
COMMD5	1.1945
SUV420H1	-0.3443
LTBR	1.04475
ARHGAP15	-0.036625
HDHD2	-0.512
TDRKH	0.528
LOC401052	1.617
PSG4	-1.76666666666667
GNB4	-1.0494
SPATA4	0.743
SLC9A3	0.186
OSBP	0.539833333333333
NBPF3	-0.569666666666667
DOCK11	-0.376
SLC39A5	-1.30866666666667
PRR5	1.4862
C10orf63	0.159
SMTNL2	-2.0375
ADRA1A	0.1495
ASAH1	1.4844
DOM3Z	0.3006
GIPR	1.91966666666667
AHI1	-0.0910833333333333
NADSYN1	0.015
RGS14	-0.1347
IL18BP	2.0123
RTN4RL1	1.462
ARMC6	0.06725
PSMD5	0.1945
HK3	2.876
OR4S1	0.81875
RSU1	0.8265
MAD2L1	-2.56188888888889
EIF4A3	0.29825
DLEC1	-0.422666666666667
E4F1	0.256166666666667
CHMP2B	0.4027
CAMSAP1	-0.35225
RPS21	-0.0603333333333333
ARID5A	1.0305
UBE2N	0.139
IGSF8	2.163
MAGEB6	-1.4755
ACAD11	-1.9869
MGC4172	-0.1625
LMO4	1.35625
KLKB1	-0.554
HP	-0.701
HDAC3	-0.58925
SCHIP1	-0.09675
CLCA1	0.573
OLFML2A	0.805
C1orf112	-0.458
KIF19	0.666916666666667
HAPLN4	-0.3606
CXCR7	-0.492
GOT2	-0.2778
RAB38	-1.72475
DCX	-1.05125
PPM1H	-0.36975
NFYC	1.03158333333333
KIN	0.14875
ZNF228	1.004
PLSCR4	1.4135
HIG2	-0.54375
FAM79B	1.38
C21orf86	-0.185
KCNK10	0.5135
ZNF738	-0.974625
FSTL5	-0.798833333333333
OR6A2	-3.7525
OTOA	1.41933333333333
EXOC1	-0.197875
AHRR	-3.011375
PDAP1	-1.26091666666667
C19orf6	-0.124
ZAN	0.64725
LY6G6E	-0.6045
EIF4E2	-0.5715
C20orf198	0.54425
ZNF324	0.62425
CYP3A5	-3.7665
ENTPD7	1.72783333333333
MBOAT5	0.129833333333333
GJB5	-1.02425
TTC13	-0.3405
S100Z	-1.592
KIAA0664	-0.141166666666667
PDGFRB	1.85091666666667
IL17D	-1.85
OR56B4	0.2755
RDX	-1.49466666666667
SLC34A3	1.8375
IL28B	0.2655
JUND	0.7735
CHRNB1	-0.170125
CAMK2B	-0.41225
FETUB	-1.8815
CXorf23	1.48925
MRTO4	-0.749375
TTC3	1.1101
NDUFB8	0.324333333333333
EDG2	-1.28825
SEMA3G	1.07325
IL23A	-1.21325
GRHL1	0.6224
LOC441054	-1.121
WDR65	-0.100375
PSTK	0.64375
STOML3	0.991
R3HDM2	-0.4603
C5	-1.95975
SLC2A10	1.66033333333333
C3orf22	1.0425
PAQR3	-1.51215384615385
ANKRD26	-1.54766666666667
HCRTR1	0.95
LOC399947	-0.72475
PSD2	-0.706
TIGD2	-0.1305
SCRN1	-0.450875
COQ10A	-2.197
DDI2	-0.0475
METTL7B	-0.2235
UCN2	1.6225
FAM92A3	-1.211
WDR16	0.42
ZNF511	-0.1555
ZMYM5	-1.22525
POLR3G	-2.447
ZNF586	-0.24875
C1orf49	0.348333333333333
TANK	-0.463666666666667
RCAN1	-1.10833333333333
PELI3	0.428666666666667
LIMD2	1.06866666666667
TMEM189	0.702
NTN4	-2.67775
LOC151300	-0.2205
CLEC2A	-1.5935
GPR135	-0.525625
DPYSL4	-2.406
JAK2	0.017
TSHZ1	0.225666666666667
TM9SF4	-0.124
ZNF264	0.806833333333333
SIRPG	3.138125
BICD1	-0.94725
HERC6	0.808166666666667
METTL5	-0.432
CASP1	1.22125
PRRT1	-0.122666666666667
PLA2G4C	2.15583333333333
ICA1L	-1.01864285714286
TPTE2	0.153666666666667
OTUD7A	1.89966666666667
AQP11	-0.8345
APOA2	-3.7671
KALRN	0.5427
SECTM1	0.553583333333333
IFNAR1	0.67875
TALDO1	-0.139125
RAB11FIP4	-0.5675
EIF5A	-1.5275
FAM49A	2.34675
NEGR1	-0.3402
YTHDC2	0.094875
EHD2	-0.57325
NCF1	3.2583
SCRT2	2.7355
HOXA5	-0.0045
NUP133	-0.517
FGF12	1.1451875
SLMO2	-0.322375
SNTA1	1.2775
CACNG2	0.79875
GCM1	0.67275
ELF1	-0.309166666666667
TLR5	3.383
TCFL5	-0.818583333333333
RBMY2FP	-0.3405
LOC100125556	0.021
FAM129B	0.706375
MAP3K7IP1	-0.239625
NCK2	0.1875
OXA1L	-0.79325
FMO9P	1.186
ZSCAN12	0.4865
PSMD12	0.335083333333333
HSCB	0.0565
CLDN10	-3.01025
MGC13053	-0.46275
HPCAL4	-0.360166666666667
ASZ1	-0.4985
MEX3D	1.05458333333333
NFAT5	-0.5754
CSPG4LYP1	-0.476666666666667
FBXO3	0.2784
DVL1	0.270166666666667
CMKLR1	3.48416666666667
TYMS	-3.831
PEF1	1.1425
ZNF750	2.74083333333333
MCM5	-0.5353
MEGF11	-1.71225
KCNK7	0.6275
PTP4A3	0.3385
C1QTNF2	0.190666666666667
OR6S1	-0.5155
FAM122B	-1.18925
ZNF551	-0.164875
HBQ1	-1.652
GEMIN6	0.13675
ARSK	-0.67675
RBP7	2.7945
CPNE9	0.3975
DSC1	0.6965
LOC730112	-0.4955
MAP2K4	0.227125
HS3ST5	-0.875
EPB41L3	-1.013
TEKT2	-0.47475
CDKN2B	-0.320333333333333
ZNF480	0.8845
MAP3K6	0.9483
MAP6	0.9475
HN1	1.786
OR2L13	0.00300000000000002
SLC16A11	0.6455
FAM96A	-1.29975
APOL1	0.8785
C5orf32	-1.68975
RTP1	-1.06033333333333
RNF175	-0.71575
ZBTB41	0.991
AHCTF1	-0.1177
SAE2	-0.4364
ITGA2	-0.74175
MME	-1.1925
CCDC14	-1.58925
MAST4	1.35592857142857
KRT33B	-1.1445
KCTD2	0.479833333333333
WDR26	0.383916666666667
MFI2	-1.0215
NR4A3	-0.048375
ARSA	1.73075
UNKL	-0.0346666666666667
SULT6B1	0.117
CCNA2	-2.5845
SOX15	0.145
PPAPDC1B	0.426583333333333
C19orf44	0.1125
MCAT	1.14741666666667
ARID1B	0.91
OR52N1	0.877
C12orf48	-1.3325
MAGI1	-0.766375
NIPA2	-0.386
GBX2	-1.69425
RSHL3	-0.188625
RAVER1	1.172
C15orf17	-0.81625
SLC30A2	1.722
ZNF518	-0.4125
PCYT1B	-1.999
C10orf114	-1.54875
EIF3H	0.04775
SLC25A39	-1.04983333333333
KIF1B	-0.104625
AMOTL2	-1.4755
C6orf120	1.195375
PSRC1	-1.61975
PLA2G10	-0.524875
KIF5C	1.047125
MRPL37	-0.694
C17orf62	1.597
C9orf135	-1.1518
DUSP10	1.1371
CLCNKB	0.1945
PSMA5	-0.224625
C8orf53	0.6725
AMPD3	0.881
PIAS1	-0.28775
ADCYAP1R1	0.00749999999999999
GYLTL1B	0.80075
CDH20	0.271833333333333
FBXO7	-0.90675
TMEM134	1.255
FLJ14213	0.842833333333333
ZNF3	-0.2675
LRRFIP1	-0.0274583333333334
CNOT2	0.293416666666667
ABI3	3.35325
ALDH5A1	-1.52791666666667
HNT	1.7282
SERPINA4	-2.42675
TK2	1.31158333333333
STMN1	-0.489111111111111
GUCA2A	0.095
GALNT10	0.612928571428571
DPP6	-0.79115
C9orf93	-0.800875
PRELID2	-0.865875
STK39	0.2705
SFTPA1	-0.70575
CKS2	-0.617
RHO	0.289
C20orf135	0.353
XKR3	-2.4565
CR1	0.2335
RPS6KA2	2.12007142857143
C20orf112	-0.13275
MRPL22	-0.6095
C4orf23	0.127333333333333
GADD45B	0.58025
KLHDC1	0.0198333333333333
C2orf48	-2.2535
ZNF287	-0.138
DAAM2	-1.0765
DPPA2	-2.407
TCTN3	0.212833333333333
DNAJB11	0.526
FPR1	4.31925
DEFB4	0.426
PTCD2	-1.3179
SMOC2	4.40733333333333
CABP7	1.60375
SERPINB11	-0.247666666666667
MAGEF1	0.0655
NDE1	0.0366666666666667
ITGA10	0.6945
FSHB	-1.159
ANXA2	-0.4395
HORMAD2	0.0175
HLCS	0.61275
MCF2L	1.5765
FH	-0.254375
TBC1D24	2.78925
KIAA1505	0.5625
LGALS2	2.3395
CNBD1	-0.119
SYNPO2L	-0.623
PTPN23	-0.0467142857142857
C1orf183	0.343166666666667
MAGEA8	-2.5835
DGCR8	-1.6575
GSR	0.439
PAQR7	0.209
ZNF676	-0.26475
CACNA1C	-0.1736
SP7	0.3145
PDCD6	-0.43775
NRN1L	-1.359
BRI3BP	1.20975
KIAA1183	0.39025
ASB4	0.7145
CCL23	1.6505
OBSL1	0.19675
SLC12A7	0.489166666666667
KIAA0240	1.02125
CD1B	-1.276
FCGR2A	2.280625
MDC1	-1.33625
HTR1A	1.08866666666667
OCEL1	0.14675
ATP11B	0.2376875
FBXO34	-0.388666666666667
PCDH12	4.2605
RPE	-1.14775
C17orf74	0.5665
CSDC2	0.817833333333333
PET112L	0.21975
TMBIM1	0.8
P2RXL1	-0.058
TCHP	-1.1495
TRMT1	-1.34983333333333
F2RL2	0.168833333333333
LRRC32	3.00216666666667
IMPG2	0.339
BGLAP	0.11775
LOC493869	-2.33725
MRAS	1.44475
SLC35F5	0.258
CBWD1	-0.835
AXL	-1.6345
ATP2C2	3.52225
TELO2	0.196
PNPLA3	-4.48
PCDHB14	0.6465
CD276	0.2195
KRT80	-1.615875
DUSP28	-0.4255
CSNK1E	-0.9625
SRP14	0.855
KCNQ4	0.364
KRT72	0.274166666666667
CCDC117	0.78725
C6orf89	-0.127166666666667
TUBB2B	-3.022
RTN4IP1	0.08875
CR1L	-2.30816666666667
CEND1	1.173875
C12orf41	-0.853666666666667
RNF31	-0.3005
UBN1	0.2505
C17orf32	2.30575
SLC5A7	-0.2955
GPR92	1.6485
ESAM	3.1203
CTNNA1	0.563083333333333
HRBL	0.2258
CBX4	0.06275
TMEM182	-1.18
SH3TC2	-1.6885
IL10	1.55516666666667
PXMP4	3.1025
RNF167	-0.1158
PAK7	0.0318333333333333
ETV3	0.08
ATPIF1	0.237833333333333
LOC554207	-2.23833333333333
OR8H1	0.317
WDFY3	0.37875
DPM1	-0.8435
GPSM1	-0.3715
WDR92	-0.0072
LRP1	0.849
ANKH	-1.137875
THUMPD3	-1.03125
POLR1B	-0.886
OLFM4	1.4375
RAD9B	1.11075
TSPY2	-2.547
PAX6	-2.2925
SCG2	-2.207
SLC17A6	-0.12275
FMO3	3.550875
PADI4	0.590625
TUBB4	-0.2785
NLK	1.23325
POU4F3	-0.536
SDF4	0.3315
ITGBL1	2.882
NETO1	-1.443
TAP2	-0.161
ABBA-1	0.388166666666667
GNAI1	1.32925
VPS4B	-0.3605
NOPE	-0.2527
GALNT6	2.99566666666667
SESN1	0.914625
GBE1	-1.73711111111111
CLASP1	0.27475
RASGEF1B	1.063125
ACOT11	-0.169071428571429
AFAP1	0.28675
OR2H2	0.25825
DPY19L2P1	-1.388
DZIP1	-2.39275
SEC22C	-0.026
GPR161	-0.709333333333333
RNF146	0.18125
WDR74	-0.996625
GALP	-0.00349999999999998
PURA	-0.52875
DNPEP	0.145166666666667
RP11-78J21.1	-1.76875
ERBB2	5.908875
FANCM	-0.815666666666667
NEO1	-0.376333333333333
DDX3Y	-4.669
RPS3A	0.478375
MXRA7	1.04278571428571
LGALS3	-0.4995
GLT8D1	-0.998
CFL2	-2.70383333333333
UPB1	0.41925
NAP1L5	-0.08525
CLDN14	0.229
DHX38	-0.57175
BTBD1	-1.01575
TARS2	0.809666666666667
ABCF1	-0.0674
FCF1	-0.258666666666667
LRRC49	-1.651
GUCY1B2	-0.803
C1orf177	-0.0316666666666667
SMARCA4	-0.182142857142857
LRP8	-2.74316666666667
TAGLN3	-1.64025
MRPL14	0.2225
TTRAP	-0.6795
ZDHHC20	0.769
NFE2L3	-0.74525
KIAA1377	0.93075
PALMD	1.4517
TMEM43	-0.4465
TTL	-0.8605
